Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Accord Financial Corp.,ACD,2021,1,6,6.86,Financial Services,Credit Services,58710000.0,N/A,N/A,0.65,0.0282,N/A,N/A
Accord Financial Corp.,ACD,2021,1,7,6.85,Financial Services,Credit Services,58630000.0,N/A,N/A,0.65,0.0292,N/A,N/A
Accord Financial Corp.,ACD,2021,1,8,6.85,Financial Services,Credit Services,58630000.0,N/A,N/A,0.65,0.0292,N/A,N/A
Accord Financial Corp.,ACD,2021,1,11,6.8,Financial Services,Credit Services,58200000.0,N/A,N/A,0.64,0.0292,N/A,N/A
Accord Financial Corp.,ACD,2021,1,12,6.72,Financial Services,Credit Services,57520000.0,N/A,N/A,0.64,0.0292,N/A,N/A
Accord Financial Corp.,ACD,2021,1,13,6.68,Financial Services,Credit Services,57170000.0,N/A,N/A,0.63,0.0298,N/A,N/A
Accord Financial Corp.,ACD,2021,1,14,6.73,Financial Services,Credit Services,57600000.0,N/A,N/A,0.64,0.029900000000000003,N/A,N/A
Accord Financial Corp.,ACD,2021,1,15,6.99,Financial Services,Credit Services,59830000.0,N/A,N/A,0.66,0.0297,N/A,N/A
Accord Financial Corp.,ACD,2021,1,18,6.82,Financial Services,Credit Services,58370000.0,N/A,N/A,0.65,0.0297,N/A,N/A
Accord Financial Corp.,ACD,2021,1,19,6.78,Financial Services,Credit Services,58030000.0,N/A,N/A,0.64,0.0286,N/A,N/A
Accord Financial Corp.,ACD,2021,1,20,6.75,Financial Services,Credit Services,57770000.0,N/A,N/A,0.64,0.029500000000000002,N/A,N/A
Accord Financial Corp.,ACD,2021,1,21,6.7,Financial Services,Credit Services,57340000.0,N/A,N/A,0.63,0.0296,N/A,N/A
Accord Financial Corp.,ACD,2021,1,22,6.7,Financial Services,Credit Services,57340000.0,N/A,N/A,0.63,0.029900000000000003,N/A,N/A
Accord Financial Corp.,ACD,2021,1,25,6.78,Financial Services,Credit Services,58030000.0,N/A,N/A,0.64,0.029900000000000003,N/A,N/A
Accord Financial Corp.,ACD,2021,1,26,6.8,Financial Services,Credit Services,58200000.0,N/A,N/A,0.64,0.029900000000000003,N/A,N/A
Accord Financial Corp.,ACD,2021,1,27,6.65,Financial Services,Credit Services,56920000.0,N/A,N/A,0.63,0.0294,N/A,N/A
Accord Financial Corp.,ACD,2021,1,28,6.64,Financial Services,Credit Services,56830000.0,N/A,N/A,0.63,0.0294,N/A,N/A
Accord Financial Corp.,ACD,2021,1,29,6.65,Financial Services,Credit Services,56920000.0,N/A,N/A,0.63,0.0301,N/A,N/A
Accord Financial Corp.,ACD,2021,2,1,6.75,Financial Services,Credit Services,57770000.0,N/A,N/A,0.64,0.0301,N/A,N/A
Accord Financial Corp.,ACD,2021,2,1,6.75,Financial Services,Credit Services,57770000.0,N/A,N/A,0.64,0.0301,N/A,N/A
Accord Financial Corp.,ACD,2021,2,2,6.65,Financial Services,Credit Services,56920000.0,N/A,N/A,0.63,0.0301,N/A,N/A
Accord Financial Corp.,ACD,2021,2,3,6.81,Financial Services,Credit Services,58290000.0,N/A,N/A,0.65,0.0301,N/A,N/A
Accord Financial Corp.,ACD,2021,2,4,6.81,Financial Services,Credit Services,58290000.0,N/A,N/A,0.65,0.0301,N/A,N/A
Accord Financial Corp.,ACD,2021,2,5,7.0,Financial Services,Credit Services,59910000.0,N/A,N/A,0.66,0.0301,N/A,N/A
Accord Financial Corp.,ACD,2021,2,8,6.98,Financial Services,Credit Services,59740000.0,N/A,N/A,0.66,0.0294,N/A,N/A
Accord Financial Corp.,ACD,2021,2,9,7.0,Financial Services,Credit Services,59910000.0,N/A,N/A,0.66,0.0286,N/A,N/A
Accord Financial Corp.,ACD,2021,2,10,7.0,Financial Services,Credit Services,59910000.0,N/A,N/A,0.66,0.0286,N/A,N/A
Accord Financial Corp.,ACD,2021,2,11,6.95,Financial Services,Credit Services,59480000.0,N/A,N/A,0.66,0.0286,N/A,N/A
Accord Financial Corp.,ACD,2021,2,12,7.0,Financial Services,Credit Services,59910000.0,N/A,N/A,0.66,0.0288,N/A,N/A
Accord Financial Corp.,ACD,2021,2,16,6.76,Financial Services,Credit Services,57860000.0,N/A,N/A,0.64,0.0288,N/A,N/A
Accord Financial Corp.,ACD,2021,2,17,6.85,Financial Services,Credit Services,58630000.0,N/A,N/A,0.65,0.0286,N/A,N/A
Accord Financial Corp.,ACD,2021,2,18,6.9,Financial Services,Credit Services,59060000.0,N/A,N/A,0.65,0.0292,N/A,N/A
Accord Financial Corp.,ACD,2021,2,19,6.99,Financial Services,Credit Services,59830000.0,N/A,N/A,0.66,0.028999999999999998,N/A,N/A
Accord Financial Corp.,ACD,2021,2,22,6.8,Financial Services,Credit Services,58200000.0,N/A,N/A,0.64,0.0286,N/A,N/A
Accord Financial Corp.,ACD,2021,2,22,6.8,Financial Services,Credit Services,58200000.0,N/A,N/A,0.64,0.0286,N/A,N/A
Accord Financial Corp.,ACD,2021,2,24,7.0,Financial Services,Credit Services,59910000.0,N/A,N/A,0.66,0.0294,N/A,N/A
