Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Agnico Eagle Mines Limited,AEM,2021,1,6,95.79,Basic Materials,Gold,23210000000.0,36.41,N/A,4.23,0.019,0.2925,151.14259077526987
Agnico Eagle Mines Limited,AEM,2021,1,7,96.68,Basic Materials,Gold,23430000000.0,36.75,N/A,4.27,0.0187,0.2925,154.04191616766465
Agnico Eagle Mines Limited,AEM,2021,1,8,91.62,Basic Materials,Gold,22200000000.0,34.82,N/A,4.05,0.018500000000000003,0.2925,138.45949926362297
Agnico Eagle Mines Limited,AEM,2021,1,11,88.64,Basic Materials,Gold,21480000000.0,33.69,N/A,3.92,0.0195,0.2925,129.53879352623832
Agnico Eagle Mines Limited,AEM,2021,1,12,89.41,Basic Materials,Gold,21670000000.0,33.98,N/A,3.95,0.0202,0.2925,131.56341893746324
Agnico Eagle Mines Limited,AEM,2021,1,13,88.94,Basic Materials,Gold,21550000000.0,33.8,N/A,3.93,0.02,0.2925,130.22941176470587
Agnico Eagle Mines Limited,AEM,2021,1,14,88.35,Basic Materials,Gold,21410000000.0,33.58,N/A,3.9,0.020099999999999996,0.2925,128.38153122242917
Agnico Eagle Mines Limited,AEM,2021,1,15,87.39,Basic Materials,Gold,21180000000.0,33.22,N/A,3.86,0.0202,0.2925,125.69025681238972
Agnico Eagle Mines Limited,AEM,2021,1,18,87.14,Basic Materials,Gold,21120000000.0,33.12,N/A,3.85,0.0204,0.2925,124.9627597020776
Agnico Eagle Mines Limited,AEM,2021,1,19,87.23,Basic Materials,Gold,21140000000.0,33.15,N/A,3.85,0.020499999999999997,0.2925,125.06369426751593
