Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
AGF Management Limited,AGF-B,2021,1,6,6.22,Financial Services,Asset Management,434930000.0,5.75,-1.92,0.5,0.052000000000000005,0.2963,2.732889733840304
AGF Management Limited,AGF-B,2021,1,7,6.18,Financial Services,Asset Management,432130000.0,5.71,-1.92,0.5,0.051399999999999994,0.2963,2.7154270496480883
AGF Management Limited,AGF-B,2021,1,8,6.15,Financial Services,Asset Management,430030000.0,5.68,-1.95,0.5,0.0518,0.2963,2.700133105153071
AGF Management Limited,AGF-B,2021,1,11,6.21,Financial Services,Asset Management,434230000.0,5.74,-1.95,0.5,0.052000000000000005,0.2963,2.7281368821292777
AGF Management Limited,AGF-B,2021,1,12,6.43,Financial Services,Asset Management,449610000.0,5.94,-3.15,0.52,0.051500000000000004,0.2963,2.9375178316690445
AGF Management Limited,AGF-B,2021,1,13,6.28,Financial Services,Asset Management,439120000.0,5.8,-1.95,0.51,0.049800000000000004,0.2963,2.8176795580110494
AGF Management Limited,AGF-B,2021,1,14,6.29,Financial Services,Asset Management,439820000.0,5.81,-1.95,0.51,0.051,0.2963,2.819314938154139
AGF Management Limited,AGF-B,2021,1,15,6.3,Financial Services,Asset Management,440520000.0,5.82,-1.98,0.51,0.0509,0.2963,2.824436197544962
AGF Management Limited,AGF-B,2021,1,18,6.39,Financial Services,Asset Management,446810000.0,5.91,-1.98,0.52,0.0508,0.2963,2.9246288542063197
AGF Management Limited,AGF-B,2021,1,19,6.31,Financial Services,Asset Management,441220000.0,5.83,-1.98,0.51,0.0501,0.2963,2.831444624321493
AGF Management Limited,AGF-B,2021,1,20,6.35,Financial Services,Asset Management,444020000.0,5.87,-1.99,0.52,0.0507,0.2963,2.905110878461978
