Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
AKITA Drilling Ltd.,AKT-A,2021,1,6,0.59,Energy,Oil & Gas Drilling,23690000.0,N/A,0.0,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,7,0.57,Energy,Oil & Gas Drilling,23220000.0,N/A,0.0,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,8,0.55,Energy,Oil & Gas Drilling,22450000.0,N/A,-0.01,0.12,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,11,0.57,Energy,Oil & Gas Drilling,23330000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,12,0.55,Energy,Oil & Gas Drilling,22450000.0,N/A,-0.01,0.12,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,13,0.57,Energy,Oil & Gas Drilling,23330000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,14,0.6,Energy,Oil & Gas Drilling,24500000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,15,0.6,Energy,Oil & Gas Drilling,24410000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,18,0.57,Energy,Oil & Gas Drilling,23190000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,19,0.59,Energy,Oil & Gas Drilling,24090000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,20,0.6,Energy,Oil & Gas Drilling,24440000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,21,0.56,Energy,Oil & Gas Drilling,22780000.0,N/A,-0.01,0.12,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,22,0.56,Energy,Oil & Gas Drilling,22890000.0,N/A,-0.01,0.12,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,25,0.6,Energy,Oil & Gas Drilling,24530000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,26,0.6,Energy,Oil & Gas Drilling,24410000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,27,0.6,Energy,Oil & Gas Drilling,24410000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,28,0.61,Energy,Oil & Gas Drilling,24820000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,1,29,0.6,Energy,Oil & Gas Drilling,24410000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,1,0.59,Energy,Oil & Gas Drilling,24000000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,2,0.59,Energy,Oil & Gas Drilling,24030000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,3,0.57,Energy,Oil & Gas Drilling,23220000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,4,0.63,Energy,Oil & Gas Drilling,25720000.0,N/A,-0.01,0.14,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,5,0.6,Energy,Oil & Gas Drilling,24330000.0,N/A,-0.01,0.13,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,8,0.64,Energy,Oil & Gas Drilling,26040000.0,N/A,-0.01,0.14,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,9,0.62,Energy,Oil & Gas Drilling,25120000.0,N/A,-0.01,0.14,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,9,0.62,Energy,Oil & Gas Drilling,25120000.0,N/A,-0.01,0.14,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,10,0.68,Energy,Oil & Gas Drilling,27600000.0,N/A,-0.01,0.15,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,11,0.74,Energy,Oil & Gas Drilling,29870000.0,N/A,-0.01,0.16,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,12,0.78,Energy,Oil & Gas Drilling,31330000.0,N/A,-0.01,0.17,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,16,0.92,Energy,Oil & Gas Drilling,36870000.0,N/A,-0.01,0.2,N/A,0.0,N/A
AKITA Drilling Ltd.,AKT-A,2021,2,17,0.87,Energy,Oil & Gas Drilling,35480000.0,N/A,-0.01,0.19,N/A,0.0,N/A
