Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,6,38.01,Real Estate,REIT—Office,4840000000.0,6.83,N/A,0.79,0.0432,0.2891,5.172258435582823
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,7,38.15,Real Estate,REIT—Office,4850000000.0,6.85,N/A,0.79,0.0434,0.2891,5.186409814069388
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,8,38.45,Real Estate,REIT—Office,4890000000.0,6.91,N/A,0.8,0.0433,0.2891,5.298571839355891
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,11,37.61,Real Estate,REIT—Office,4790000000.0,6.75,N/A,0.78,0.0429,0.2891,5.048422667561608
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,12,37.46,Real Estate,REIT—Office,4770000000.0,6.73,N/A,0.78,0.043899999999999995,0.2891,5.0286425902864265
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,13,37.97,Real Estate,REIT—Office,4830000000.0,6.82,N/A,0.79,0.044000000000000004,0.2891,5.160727969348659
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,14,38.21,Real Estate,REIT—Office,4860000000.0,6.86,N/A,0.79,0.0435,0.2891,5.193483469094394
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,15,38.0,Real Estate,REIT—Office,4840000000.0,6.82,N/A,0.79,0.0432,0.2891,5.164685582822087
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,18,38.51,Real Estate,REIT—Office,4900000000.0,6.92,N/A,0.8,0.0434,0.2891,5.305731263178072
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,19,38.67,Real Estate,REIT—Office,4920000000.0,6.95,N/A,0.8,0.044199999999999996,0.2891,5.324650450105344
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,20,38.99,Real Estate,REIT—Office,4960000000.0,7.0,N/A,0.81,0.044000000000000004,0.2891,5.43103448275862
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,21,38.63,Real Estate,REIT—Office,4920000000.0,6.94,N/A,0.8,0.0436,0.2891,5.3200459946339596
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,22,38.2,Real Estate,REIT—Office,4860000000.0,6.86,N/A,0.79,0.044000000000000004,0.2891,5.190996168582376
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,25,37.73,Real Estate,REIT—Office,4800000000.0,6.78,N/A,0.78,0.044500000000000005,0.2891,5.063092388702729
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,26,37.79,Real Estate,REIT—Office,4810000000.0,6.79,N/A,0.78,0.0451,0.2891,5.067649028801072
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,27,36.88,Real Estate,REIT—Office,4690000000.0,6.62,N/A,0.76,0.045,0.2891,4.814545454545455
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,28,36.72,Real Estate,REIT—Office,4670000000.0,6.59,N/A,0.76,0.0461,0.2891,4.787687601567727
Allied Properties Real Estate Investment Trust,AP-UN,2021,1,29,36.29,Real Estate,REIT—Office,4620000000.0,6.52,N/A,0.75,0.046900000000000004,0.2891,4.670933231445219
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,1,36.65,Real Estate,REIT—Office,4660000000.0,6.58,N/A,0.76,0.046900000000000004,0.2891,4.776769509981851
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,2,36.55,Real Estate,REIT—Office,4650000000.0,6.56,N/A,0.76,0.0464,0.2891,4.764525993883792
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,3,37.04,Real Estate,REIT—Office,4710000000.0,6.65,N/A,0.77,0.04650000000000001,0.2891,4.8929765886287635
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,4,37.91,Real Estate,REIT—Office,4820000000.0,9.43,N/A,0.78,0.04650000000000001,0.2891,7.028571428571429
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,5,36.99,Real Estate,REIT—Office,4710000000.0,9.2,N/A,0.76,0.0449,0.4104,6.691549430567518
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,8,36.93,Real Estate,REIT—Office,4700000000.0,9.19,N/A,0.76,0.046,0.4104,6.677246653919694
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,9,36.43,Real Estate,REIT—Office,4640000000.0,9.06,N/A,0.75,0.046,0.4104,6.496175908221797
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,10,36.36,Real Estate,REIT—Office,4630000000.0,9.04,N/A,0.75,0.0467,0.4104,6.47750071653769
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,11,36.19,Real Estate,REIT—Office,4610000000.0,9.0,N/A,0.75,0.046799999999999994,0.4104,6.448223156285824
Allied Properties Real Estate Investment Trust,AP-UN,2021,2,12,36.12,Real Estate,REIT—Office,4600000000.0,8.99,N/A,0.74,0.047,0.4104,6.353963705826171
