Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Aptose Biosciences Inc.,APS,2021,1,6,5.63,Healthcare,Biotechnology,500290000.0,N/A,N/A,3.87,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,7,5.77,Healthcare,Biotechnology,512730000.0,N/A,N/A,3.97,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,8,5.82,Healthcare,Biotechnology,517179999.99999994,N/A,N/A,4.01,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,11,5.95,Healthcare,Biotechnology,528730000.0,N/A,N/A,4.09,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,12,5.69,Healthcare,Biotechnology,505620000.0,N/A,N/A,3.92,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,13,5.83,Healthcare,Biotechnology,518059999.99999994,N/A,N/A,4.01,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,14,5.57,Healthcare,Biotechnology,494960000.0,N/A,N/A,3.83,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,15,5.63,Healthcare,Biotechnology,500290000.0,N/A,N/A,3.87,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,18,5.66,Healthcare,Biotechnology,502960000.0,N/A,N/A,3.9,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,19,5.68,Healthcare,Biotechnology,504730000.0,N/A,N/A,3.91,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,20,5.48,Healthcare,Biotechnology,486960000.0,N/A,N/A,3.77,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,21,5.55,Healthcare,Biotechnology,493180000.0,N/A,N/A,3.82,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,22,5.59,Healthcare,Biotechnology,496740000.0,N/A,N/A,3.85,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,25,5.59,Healthcare,Biotechnology,496740000.0,N/A,N/A,3.85,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,26,5.45,Healthcare,Biotechnology,484300000.0,N/A,N/A,3.75,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,27,5.39,Healthcare,Biotechnology,478960000.0,N/A,N/A,3.71,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,28,5.41,Healthcare,Biotechnology,480740000.0,N/A,N/A,3.72,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,1,29,5.28,Healthcare,Biotechnology,469190000.0,N/A,N/A,3.63,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,2,1,5.62,Healthcare,Biotechnology,499400000.0,N/A,N/A,3.87,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,2,2,5.74,Healthcare,Biotechnology,510070000.0,N/A,N/A,3.95,N/A,0.0,N/A
Aptose Biosciences Inc.,APS,2021,2,3,5.63,Healthcare,Biotechnology,500290000.0,N/A,N/A,3.87,N/A,0.0,N/A
