Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Acerus Pharmaceuticals Corporation,ASP,2021,1,6,0.04,Healthcare,Drug Manufacturers—Specialty & Generic,61500000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,7,0.04,Healthcare,Drug Manufacturers—Specialty & Generic,61500000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,8,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,11,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,12,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,13,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,14,0.04,Healthcare,Drug Manufacturers—Specialty & Generic,61500000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,15,0.04,Healthcare,Drug Manufacturers—Specialty & Generic,61500000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,18,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,19,0.04,Healthcare,Drug Manufacturers—Specialty & Generic,61500000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,20,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,21,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,22,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,25,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,26,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,27,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,28,0.04,Healthcare,Drug Manufacturers—Specialty & Generic,61500000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,1,29,0.04,Healthcare,Drug Manufacturers—Specialty & Generic,61500000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,1,0.04,Healthcare,Drug Manufacturers—Specialty & Generic,61500000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,2,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,3,0.045,Healthcare,Drug Manufacturers—Specialty & Generic,69190000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,4,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,5,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,8,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,9,0.06,Healthcare,Drug Manufacturers—Specialty & Generic,92260000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,9,0.06,Healthcare,Drug Manufacturers—Specialty & Generic,92260000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,10,0.06,Healthcare,Drug Manufacturers—Specialty & Generic,92260000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,11,0.055,Healthcare,Drug Manufacturers—Specialty & Generic,84570000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,12,0.06,Healthcare,Drug Manufacturers—Specialty & Generic,92260000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,16,0.06,Healthcare,Drug Manufacturers—Specialty & Generic,92260000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,17,0.055,Healthcare,Drug Manufacturers—Specialty & Generic,84570000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,18,0.055,Healthcare,Drug Manufacturers—Specialty & Generic,84570000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,19,0.055,Healthcare,Drug Manufacturers—Specialty & Generic,84570000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,22,0.055,Healthcare,Drug Manufacturers—Specialty & Generic,84570000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,23,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,24,0.055,Healthcare,Drug Manufacturers—Specialty & Generic,84570000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,25,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,2,26,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,3,1,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,3,2,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,3,3,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,3,4,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,3,5,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,3,8,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
Acerus Pharmaceuticals Corporation,ASP,2021,3,9,0.05,Healthcare,Drug Manufacturers—Specialty & Generic,76880000.0,N/A,N/A,N/A,N/A,0.0,N/A
