Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
AcuityAds Holdings Inc.,AT,2021,1,6,13.63,Communication Services,Internet Content & Information,719700000.0,439.68,N/A,45.59,N/A,0.0,20045.0112
AcuityAds Holdings Inc.,AT,2021,1,7,16.39,Communication Services,Internet Content & Information,865440000.0,528.71,N/A,54.82,N/A,0.0,28983.882200000004
AcuityAds Holdings Inc.,AT,2021,1,8,16.84,Communication Services,Internet Content & Information,889200000.0,543.23,N/A,56.32,N/A,0.0,30594.713600000003
AcuityAds Holdings Inc.,AT,2021,1,11,17.31,Communication Services,Internet Content & Information,914020000.0,558.39,N/A,57.89,N/A,0.0,32325.1971
AcuityAds Holdings Inc.,AT,2021,1,12,17.61,Communication Services,Internet Content & Information,929860000.0,568.06,N/A,58.9,N/A,0.0,33458.734
AcuityAds Holdings Inc.,AT,2021,1,13,17.2,Communication Services,Internet Content & Information,908210000.0,554.84,N/A,57.53,N/A,0.0,31919.945200000002
AcuityAds Holdings Inc.,AT,2021,1,14,17.07,Communication Services,Internet Content & Information,901350000.0,550.65,N/A,57.09,N/A,0.0,31436.608500000002
AcuityAds Holdings Inc.,AT,2021,1,15,16.38,Communication Services,Internet Content & Information,864910000.0,528.39,N/A,54.78,N/A,0.0,28945.2042
AcuityAds Holdings Inc.,AT,2021,1,18,15.73,Communication Services,Internet Content & Information,830590000.0,507.42,N/A,52.61,N/A,0.0,26695.3662
AcuityAds Holdings Inc.,AT,2021,1,19,17.7,Communication Services,Internet Content & Information,934610000.0,570.97,N/A,59.2,N/A,0.0,33801.424000000006
AcuityAds Holdings Inc.,AT,2021,1,20,17.08,Communication Services,Internet Content & Information,901870000.0,550.97,N/A,57.12,N/A,0.0,31471.4064
AcuityAds Holdings Inc.,AT,2021,1,21,17.5,Communication Services,Internet Content & Information,924050000.0,564.52,N/A,58.53,N/A,0.0,33041.3556
AcuityAds Holdings Inc.,AT,2021,1,22,20.23,Communication Services,Internet Content & Information,1070000000.0000001,652.58,N/A,67.66,N/A,0.0,44153.5628
AcuityAds Holdings Inc.,AT,2021,1,25,21.92,Communication Services,Internet Content & Information,1160000000.0,707.1,N/A,73.31,N/A,0.0,51837.501000000004
AcuityAds Holdings Inc.,AT,2021,1,26,21.32,Communication Services,Internet Content & Information,1130000000.0,687.74,N/A,71.3,N/A,0.0,49035.862
AcuityAds Holdings Inc.,AT,2021,1,27,20.42,Communication Services,Internet Content & Information,1080000000.0,658.71,N/A,68.29,N/A,0.0,44983.30590000001
AcuityAds Holdings Inc.,AT,2021,1,28,19.37,Communication Services,Internet Content & Information,1020000000.0,624.84,N/A,64.78,N/A,0.0,40477.135200000004
AcuityAds Holdings Inc.,AT,2021,1,29,18.67,Communication Services,Internet Content & Information,985830000.0,602.26,N/A,62.44,N/A,0.0,37605.1144
AcuityAds Holdings Inc.,AT,2021,2,1,20.5,Communication Services,Internet Content & Information,1080000000.0,661.29,N/A,68.56,N/A,0.0,45338.0424
AcuityAds Holdings Inc.,AT,2021,2,1,20.5,Communication Services,Internet Content & Information,1080000000.0,661.29,N/A,68.56,N/A,0.0,45338.0424
AcuityAds Holdings Inc.,AT,2021,2,2,20.93,Communication Services,Internet Content & Information,1110000000.0,675.16,N/A,70.0,N/A,0.0,47261.2
AcuityAds Holdings Inc.,AT,2021,2,3,20.9,Communication Services,Internet Content & Information,1100000000.0,674.19,N/A,69.9,N/A,0.0,47125.88100000001
AcuityAds Holdings Inc.,AT,2021,2,4,21.69,Communication Services,Internet Content & Information,1150000000.0,699.68,N/A,72.54,N/A,0.0,50754.7872
AcuityAds Holdings Inc.,AT,2021,2,5,26.07,Communication Services,Internet Content & Information,1380000000.0,840.97,N/A,87.19,N/A,0.0,73324.1743
AcuityAds Holdings Inc.,AT,2021,2,8,27.72,Communication Services,Internet Content & Information,1460000000.0,894.19,N/A,92.71,N/A,0.0,82900.3549
AcuityAds Holdings Inc.,AT,2021,2,9,31.09,Communication Services,Internet Content & Information,1640000000.0,1002.9,N/A,103.98,N/A,0.0,104281.542
AcuityAds Holdings Inc.,AT,2021,2,10,32.16,Communication Services,Internet Content & Information,1700000000.0,1037.42,N/A,107.56,N/A,0.0,111584.89520000001
AcuityAds Holdings Inc.,AT,2021,2,11,29.46,Communication Services,Internet Content & Information,1560000000.0,950.32,N/A,98.53,N/A,0.0,93635.02960000001
AcuityAds Holdings Inc.,AT,2021,2,12,30.03,Communication Services,Internet Content & Information,1590000000.0,968.71,N/A,100.43,N/A,0.0,97287.54530000001
AcuityAds Holdings Inc.,AT,2021,2,16,30.9,Communication Services,Internet Content & Information,1630000000.0,996.77,N/A,103.34,N/A,0.0,103006.2118
AcuityAds Holdings Inc.,AT,2021,2,17,30.04,Communication Services,Internet Content & Information,1590000000.0,969.03,N/A,100.47,N/A,0.0,97358.4441
AcuityAds Holdings Inc.,AT,2021,2,18,30.34,Communication Services,Internet Content & Information,1600000000.0,978.71,N/A,101.47,N/A,0.0,99309.7037
AcuityAds Holdings Inc.,AT,2021,2,19,32.32,Communication Services,Internet Content & Information,1710000000.0,1042.58,N/A,108.09,N/A,0.0,112692.47219999999
