Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
ATS Automation Tooling Systems Inc.,ATA,2021,1,6,24.09,Industrials,Specialty Industrial Machinery,2220000000.0,58.76,5.4,2.49,N/A,0.0,146.3124
ATS Automation Tooling Systems Inc.,ATA,2021,1,7,24.72,Industrials,Specialty Industrial Machinery,2270000000.0,60.29,5.4,2.55,N/A,0.0,153.7395
ATS Automation Tooling Systems Inc.,ATA,2021,1,8,24.91,Industrials,Specialty Industrial Machinery,2290000000.0,60.76,5.87,2.57,N/A,0.0,156.1532
ATS Automation Tooling Systems Inc.,ATA,2021,1,11,24.69,Industrials,Specialty Industrial Machinery,2270000000.0,60.22,5.87,2.55,N/A,0.0,153.56099999999998
ATS Automation Tooling Systems Inc.,ATA,2021,1,12,24.4,Industrials,Specialty Industrial Machinery,2250000000.0,59.51,5.87,2.52,N/A,0.0,149.9652
ATS Automation Tooling Systems Inc.,ATA,2021,1,13,23.98,Industrials,Specialty Industrial Machinery,2210000000.0,58.49,5.87,2.48,N/A,0.0,145.0552
ATS Automation Tooling Systems Inc.,ATA,2021,1,14,23.98,Industrials,Specialty Industrial Machinery,2210000000.0,58.49,5.87,2.48,N/A,0.0,145.0552
ATS Automation Tooling Systems Inc.,ATA,2021,1,15,23.99,Industrials,Specialty Industrial Machinery,2210000000.0,58.51,5.69,2.48,N/A,0.0,145.10479999999998
ATS Automation Tooling Systems Inc.,ATA,2021,1,18,24.09,Industrials,Specialty Industrial Machinery,2220000000.0,58.76,5.69,2.49,N/A,0.0,146.3124
ATS Automation Tooling Systems Inc.,ATA,2021,1,19,23.96,Industrials,Specialty Industrial Machinery,2200000000.0,58.44,5.69,2.47,N/A,0.0,144.3468
ATS Automation Tooling Systems Inc.,ATA,2021,1,20,24.11,Industrials,Specialty Industrial Machinery,2220000000.0,58.8,5.69,2.49,N/A,0.0,146.412
ATS Automation Tooling Systems Inc.,ATA,2021,1,21,23.48,Industrials,Specialty Industrial Machinery,2160000000.0,57.27,5.66,2.42,N/A,0.0,138.5934
ATS Automation Tooling Systems Inc.,ATA,2021,1,22,23.07,Industrials,Specialty Industrial Machinery,2120000000.0,56.27,5.66,2.38,N/A,0.0,133.9226
ATS Automation Tooling Systems Inc.,ATA,2021,1,25,23.07,Industrials,Specialty Industrial Machinery,2120000000.0,56.27,5.66,2.38,N/A,0.0,133.9226
ATS Automation Tooling Systems Inc.,ATA,2021,1,26,23.2,Industrials,Specialty Industrial Machinery,2130000000.0,56.59,8.38,2.4,N/A,0.0,135.816
ATS Automation Tooling Systems Inc.,ATA,2021,1,27,21.74,Industrials,Specialty Industrial Machinery,2000000000.0,53.02,5.53,2.24,N/A,0.0,118.76480000000002
ATS Automation Tooling Systems Inc.,ATA,2021,1,28,22.55,Industrials,Specialty Industrial Machinery,2069999999.9999998,55.0,5.53,2.33,N/A,0.0,128.15
ATS Automation Tooling Systems Inc.,ATA,2021,1,29,21.94,Industrials,Specialty Industrial Machinery,2020000000.0,53.51,5.53,2.27,N/A,0.0,121.4677
ATS Automation Tooling Systems Inc.,ATA,2021,2,1,22.36,Industrials,Specialty Industrial Machinery,2060000000.0,54.54,5.53,2.31,N/A,0.0,125.9874
ATS Automation Tooling Systems Inc.,ATA,2021,2,2,22.78,Industrials,Specialty Industrial Machinery,2100000000.0,55.56,5.53,2.35,N/A,0.0,130.566
ATS Automation Tooling Systems Inc.,ATA,2021,2,3,26.0,Industrials,Specialty Industrial Machinery,2390000000.0,63.41,5.53,2.68,N/A,0.0,169.93880000000001
ATS Automation Tooling Systems Inc.,ATA,2021,2,4,25.88,Industrials,Specialty Industrial Machinery,2380000000.0,44.62,5.42,2.7,N/A,0.0,120.474
ATS Automation Tooling Systems Inc.,ATA,2021,2,5,26.01,Industrials,Specialty Industrial Machinery,2390000000.0,44.92,5.42,2.65,N/A,0.0,119.038
ATS Automation Tooling Systems Inc.,ATA,2021,2,8,25.7,Industrials,Specialty Industrial Machinery,2370000000.0,44.39,5.42,2.62,N/A,0.0,116.3018
ATS Automation Tooling Systems Inc.,ATA,2021,2,9,26.68,Industrials,Specialty Industrial Machinery,2460000000.0,46.08,5.37,2.72,N/A,0.0,125.33760000000001
ATS Automation Tooling Systems Inc.,ATA,2021,2,10,28.21,Industrials,Specialty Industrial Machinery,2600000000.0,48.72,5.37,2.87,N/A,0.0,139.8264
ATS Automation Tooling Systems Inc.,ATA,2021,2,11,27.89,Industrials,Specialty Industrial Machinery,2570000000.0,48.17,5.37,2.84,N/A,0.0,136.8028
