Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Aurinia Pharmaceuticals Inc.,AUP,2021,1,6,16.59,Healthcare,Biotechnology,2100000000.0,N/A,N/A,5.26,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,7,16.72,Healthcare,Biotechnology,2120000000.0,N/A,N/A,5.3,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,8,16.98,Healthcare,Biotechnology,2150000000.0,N/A,N/A,5.38,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,11,18.01,Healthcare,Biotechnology,2280000000.0,N/A,N/A,5.71,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,12,18.05,Healthcare,Biotechnology,2280000000.0,N/A,N/A,5.72,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,13,17.66,Healthcare,Biotechnology,2240000000.0,N/A,N/A,5.6,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,14,18.24,Healthcare,Biotechnology,2310000000.0,N/A,N/A,5.78,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,15,16.92,Healthcare,Biotechnology,2140000000.0000002,N/A,N/A,5.36,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,18,17.96,Healthcare,Biotechnology,2270000000.0,N/A,N/A,5.69,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,19,17.34,Healthcare,Biotechnology,2190000000.0,N/A,N/A,5.5,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,20,18.49,Healthcare,Biotechnology,2340000000.0,N/A,N/A,5.86,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,21,19.15,Healthcare,Biotechnology,2420000000.0,N/A,N/A,6.07,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,22,18.87,Healthcare,Biotechnology,2390000000.0,N/A,N/A,5.98,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,25,23.91,Healthcare,Biotechnology,3030000000.0,N/A,N/A,7.58,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,26,22.3,Healthcare,Biotechnology,2820000000.0,N/A,N/A,7.07,N/A,0.0,N/A
Aurinia Pharmaceuticals Inc.,AUP,2021,1,27,20.5,Healthcare,Biotechnology,2590000000.0,N/A,N/A,6.5,N/A,0.0,N/A
