Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Azarga Uranium Corp.,AZZ,2021,1,6,0.24,Energy,Uranium,55540000.0,N/A,N/A,1.29,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,7,0.24,Energy,Uranium,55540000.0,N/A,N/A,1.29,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,8,0.235,Energy,Uranium,54380000.0,N/A,N/A,1.26,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,11,0.23,Energy,Uranium,53230000.0,N/A,N/A,1.24,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,12,0.21,Energy,Uranium,48600000.0,N/A,N/A,1.13,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,13,0.22,Energy,Uranium,50910000.0,N/A,N/A,1.18,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,14,0.245,Energy,Uranium,56700000.0,N/A,N/A,1.32,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,15,0.23,Energy,Uranium,53230000.0,N/A,N/A,1.24,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,18,0.23,Energy,Uranium,53230000.0,N/A,N/A,1.24,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,19,0.22,Energy,Uranium,50910000.0,N/A,N/A,1.18,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,20,0.23,Energy,Uranium,53230000.0,N/A,N/A,1.24,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,21,0.22,Energy,Uranium,50910000.0,N/A,N/A,1.18,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,22,0.225,Energy,Uranium,52070000.0,N/A,N/A,1.21,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,25,0.22,Energy,Uranium,50910000.0,N/A,N/A,1.18,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,26,0.225,Energy,Uranium,52070000.0,N/A,N/A,1.21,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,27,0.205,Energy,Uranium,47440000.0,N/A,N/A,1.1,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,28,0.195,Energy,Uranium,45130000.0,N/A,N/A,1.05,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,1,29,0.19,Energy,Uranium,43970000.0,N/A,N/A,1.02,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,2,1,0.215,Energy,Uranium,49750000.0,N/A,N/A,1.16,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,2,2,0.21,Energy,Uranium,48600000.0,N/A,N/A,1.13,N/A,0.0,N/A
Azarga Uranium Corp.,AZZ,2021,2,3,0.235,Energy,Uranium,54380000.0,N/A,N/A,1.26,N/A,0.0,N/A
