Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,6,33.77,Real Estate,REIT由esidential,1720000000.0,N/A,N/A,0.51,0.0301,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,7,34.22,Real Estate,REIT由esidential,1750000000.0,N/A,N/A,0.52,0.0298,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,8,34.35,Real Estate,REIT由esidential,1750000000.0,N/A,N/A,0.52,0.0292,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,11,34.55,Real Estate,REIT由esidential,1760000000.0,N/A,N/A,0.52,0.0291,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,12,34.37,Real Estate,REIT由esidential,1750000000.0,N/A,N/A,0.52,0.0291,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,13,34.7,Real Estate,REIT由esidential,1770000000.0,N/A,N/A,0.53,0.028999999999999998,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,14,35.22,Real Estate,REIT由esidential,1800000000.0,N/A,N/A,0.53,0.0291,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,15,34.85,Real Estate,REIT由esidential,1780000000.0,N/A,N/A,0.53,0.028399999999999998,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,18,35.42,Real Estate,REIT由esidential,1810000000.0,N/A,N/A,0.54,0.0287,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,19,36.17,Real Estate,REIT由esidential,1850000000.0,N/A,N/A,0.55,0.0287,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,20,36.88,Real Estate,REIT由esidential,1880000000.0,N/A,N/A,0.56,0.028300000000000002,N/A,N/A
Boardwalk Real Estate Investment Trust,BEI-UN,2021,1,21,36.77,Real Estate,REIT由esidential,1880000000.0,N/A,N/A,0.56,0.0277,N/A,N/A
