Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,6,5.98,Financial Services,Asset Management,96170000.0,N/A,N/A,N/A,0.1012,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,7,5.85,Financial Services,Asset Management,94080000.0,N/A,N/A,N/A,0.10099999999999999,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,8,5.81,Financial Services,Asset Management,93440000.0,N/A,N/A,N/A,0.1026,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,11,5.79,Financial Services,Asset Management,93120000.0,N/A,N/A,N/A,0.1026,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,12,5.78,Financial Services,Asset Management,92960000.0,N/A,N/A,N/A,0.1036,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,13,5.77,Financial Services,Asset Management,92800000.0,N/A,N/A,N/A,0.1036,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,14,5.9,Financial Services,Asset Management,94890000.0,N/A,N/A,N/A,0.1038,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,15,6.0,Financial Services,Asset Management,96500000.0,N/A,N/A,N/A,0.1017,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,18,5.91,Financial Services,Asset Management,95050000.0,N/A,N/A,N/A,0.1017,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,19,5.94,Financial Services,Asset Management,95530000.0,N/A,N/A,N/A,0.1015,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,20,5.95,Financial Services,Asset Management,95690000.0,N/A,N/A,N/A,0.1015,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,21,5.93,Financial Services,Asset Management,95370000.0,N/A,N/A,N/A,0.10099999999999999,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,22,5.93,Financial Services,Asset Management,95370000.0,N/A,N/A,N/A,0.1012,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,25,5.85,Financial Services,Asset Management,94080000.0,N/A,N/A,N/A,0.1012,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,26,5.85,Financial Services,Asset Management,94080000.0,N/A,N/A,N/A,0.1026,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,27,5.8,Financial Services,Asset Management,93280000.0,N/A,N/A,N/A,0.1026,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,28,5.86,Financial Services,Asset Management,94240000.0,N/A,N/A,N/A,0.1026,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,1,29,5.8,Financial Services,Asset Management,93280000.0,N/A,N/A,N/A,0.1024,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,1,5.88,Financial Services,Asset Management,94570000.0,N/A,N/A,N/A,0.1024,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,2,5.86,Financial Services,Asset Management,94240000.0,N/A,N/A,N/A,0.102,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,3,5.83,Financial Services,Asset Management,93760000.0,N/A,N/A,N/A,0.102,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,4,5.84,Financial Services,Asset Management,93920000.0,N/A,N/A,N/A,0.102,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,5,5.82,Financial Services,Asset Management,93600000.0,N/A,N/A,N/A,0.1027,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,8,5.91,Financial Services,Asset Management,95050000.0,N/A,N/A,N/A,0.1027,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,9,5.85,Financial Services,Asset Management,94080000.0,N/A,N/A,N/A,0.1015,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,9,5.85,Financial Services,Asset Management,94080000.0,N/A,N/A,N/A,0.1015,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,10,5.96,Financial Services,Asset Management,95850000.0,N/A,N/A,N/A,0.1015,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,11,6.02,Financial Services,Asset Management,96820000.0,N/A,N/A,N/A,0.1026,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,12,6.0,Financial Services,Asset Management,96500000.0,N/A,N/A,N/A,0.09970000000000001,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,16,5.95,Financial Services,Asset Management,95690000.0,N/A,N/A,N/A,0.09970000000000001,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,17,6.01,Financial Services,Asset Management,96660000.0,N/A,N/A,N/A,0.1008,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,18,6.05,Financial Services,Asset Management,97300000.0,N/A,N/A,N/A,0.1008,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,19,6.02,Financial Services,Asset Management,96820000.0,N/A,N/A,N/A,0.0998,N/A,N/A
Brookfield Global Infrastructure Securities Income Fund,BGI-UN,2021,2,22,6.09,Financial Services,Asset Management,97940000.0,N/A,N/A,N/A,0.09970000000000001,N/A,N/A
