Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
BELLUS Health Inc.,BLU,2021,1,6,3.92,Healthcare,Biotechnology,307080000.0,N/A,N/A,2.04,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,7,3.99,Healthcare,Biotechnology,312570000.0,N/A,N/A,2.08,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,8,3.97,Healthcare,Biotechnology,311000000.0,N/A,N/A,2.07,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,11,4.46,Healthcare,Biotechnology,349380000.0,N/A,N/A,2.33,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,12,4.36,Healthcare,Biotechnology,341550000.0,N/A,N/A,2.27,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,13,4.28,Healthcare,Biotechnology,335280000.0,N/A,N/A,2.23,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,14,4.36,Healthcare,Biotechnology,341550000.0,N/A,N/A,2.27,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,15,4.7,Healthcare,Biotechnology,368190000.0,N/A,N/A,2.45,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,18,5.14,Healthcare,Biotechnology,402650000.0,N/A,N/A,2.68,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,19,5.07,Healthcare,Biotechnology,397170000.0,N/A,N/A,2.64,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,20,4.99,Healthcare,Biotechnology,390900000.0,N/A,N/A,2.6,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,21,4.92,Healthcare,Biotechnology,385420000.0,N/A,N/A,2.57,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,22,4.86,Healthcare,Biotechnology,380720000.0,N/A,N/A,2.54,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,25,4.78,Healthcare,Biotechnology,374450000.0,N/A,N/A,2.49,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,26,4.68,Healthcare,Biotechnology,366620000.0,N/A,N/A,2.44,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,27,4.31,Healthcare,Biotechnology,337630000.0,N/A,N/A,2.25,N/A,0.0,N/A
BELLUS Health Inc.,BLU,2021,1,28,4.0,Healthcare,Biotechnology,313350000.0,N/A,N/A,2.09,N/A,0.0,N/A
