Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Boralex Inc.,BLX,2021,1,6,49.65,Utilities,Utilities由enewable,5090000000.0,1601.61,2.15,5.25,0.0139,33.0,8293.177335042903
Boralex Inc.,BLX,2021,1,7,52.4,Utilities,Utilities由enewable,5370000000.0,1690.32,2.26,5.55,0.013300000000000001,33.0,9258.142702062567
Boralex Inc.,BLX,2021,1,8,55.31,Utilities,Utilities由enewable,5670000000.0,1784.19,2.38,5.85,0.0126,33.0,10307.63529527948
Boralex Inc.,BLX,2021,1,11,55.57,Utilities,Utilities由enewable,5700000000.0,1792.58,2.38,5.88,0.011899999999999999,33.0,10416.415060776757
Boralex Inc.,BLX,2021,1,12,55.59,Utilities,Utilities由enewable,5700000000.0,1793.23,2.38,5.88,0.011899999999999999,33.0,10420.192113845242
Boralex Inc.,BLX,2021,1,13,55.4,Utilities,Utilities由enewable,5680000000.0,1787.1,2.38,5.86,0.011899999999999999,33.0,10349.249925882004
Boralex Inc.,BLX,2021,1,14,53.12,Utilities,Utilities由enewable,5450000000.0,1713.55,2.38,5.62,0.011899999999999999,33.0,9516.899891293606
Boralex Inc.,BLX,2021,1,15,54.06,Utilities,Utilities由enewable,5540000000.0,1743.87,2.41,5.72,0.0124,33.0,9852.762149348082
Boralex Inc.,BLX,2021,1,18,52.8,Utilities,Utilities由enewable,5410000000.0,1703.23,2.41,5.59,0.012199999999999999,33.0,9406.298853981425
Boralex Inc.,BLX,2021,1,19,52.9,Utilities,Utilities由enewable,5420000000.0,1706.45,2.41,5.6,0.0125,33.0,9438.143209876542
