Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Bonterra Energy Corp.,BNE,2021,1,6,2.7,Energy,Oil & Gas E&P,90150000.0,N/A,N/A,0.43,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,7,2.8,Energy,Oil & Gas E&P,93490000.0,N/A,N/A,0.45,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,8,2.79,Energy,Oil & Gas E&P,93150000.0,N/A,N/A,0.45,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,11,2.83,Energy,Oil & Gas E&P,94490000.0,N/A,N/A,0.46,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,12,2.87,Energy,Oil & Gas E&P,95830000.0,N/A,N/A,0.46,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,13,2.78,Energy,Oil & Gas E&P,92820000.0,N/A,N/A,0.45,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,14,2.66,Energy,Oil & Gas E&P,88810000.0,N/A,N/A,0.43,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,15,2.68,Energy,Oil & Gas E&P,89480000.0,N/A,N/A,0.43,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,18,2.65,Energy,Oil & Gas E&P,88480000.0,N/A,N/A,0.43,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,19,2.73,Energy,Oil & Gas E&P,91150000.0,N/A,N/A,0.44,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,20,2.7,Energy,Oil & Gas E&P,90150000.0,N/A,N/A,0.43,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,21,2.65,Energy,Oil & Gas E&P,88480000.0,N/A,N/A,0.43,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,22,2.68,Energy,Oil & Gas E&P,89480000.0,N/A,N/A,0.43,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,25,2.58,Energy,Oil & Gas E&P,86140000.0,N/A,N/A,0.42,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,26,2.48,Energy,Oil & Gas E&P,82800000.0,N/A,N/A,0.4,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,27,2.52,Energy,Oil & Gas E&P,84140000.0,N/A,N/A,0.41,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,28,2.5,Energy,Oil & Gas E&P,83470000.0,N/A,N/A,0.4,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,1,29,2.37,Energy,Oil & Gas E&P,79130000.0,N/A,N/A,0.38,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,2,1,2.54,Energy,Oil & Gas E&P,84810000.0,N/A,N/A,0.41,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,2,1,2.54,Energy,Oil & Gas E&P,84810000.0,N/A,N/A,0.41,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,2,2,2.53,Energy,Oil & Gas E&P,84470000.0,N/A,N/A,0.41,N/A,N/A,N/A
Bonterra Energy Corp.,BNE,2021,2,3,2.68,Energy,Oil & Gas E&P,89480000.0,N/A,N/A,0.43,N/A,N/A,N/A
