Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Brookfield Property Partners L.P.,BPY-UN,2021,1,6,21.61,Real Estate,Real Estate Services,20130000000.0,N/A,N/A,0.8,0.0789,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,7,21.38,Real Estate,Real Estate Services,19920000000.0,N/A,N/A,0.79,0.0789,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,8,21.48,Real Estate,Real Estate Services,20010000000.0,N/A,N/A,0.79,0.0785,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,11,21.39,Real Estate,Real Estate Services,19930000000.0,N/A,N/A,0.79,0.079,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,12,21.42,Real Estate,Real Estate Services,19960000000.0,N/A,N/A,0.79,0.0793,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,13,21.6,Real Estate,Real Estate Services,20120000000.0,N/A,N/A,0.8,0.07919999999999999,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,14,21.66,Real Estate,Real Estate Services,20180000000.0,N/A,N/A,0.8,0.07919999999999999,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,15,21.94,Real Estate,Real Estate Services,20440000000.0,N/A,N/A,0.81,0.0785,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,18,21.66,Real Estate,Real Estate Services,20180000000.0,N/A,N/A,0.8,0.07730000000000001,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,19,21.89,Real Estate,Real Estate Services,20390000000.0,N/A,N/A,0.81,0.0783,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,20,22.0,Real Estate,Real Estate Services,20500000000.0,N/A,N/A,0.81,0.0775,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,21,21.53,Real Estate,Real Estate Services,20060000000.0,N/A,N/A,0.8,0.0775,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,22,21.71,Real Estate,Real Estate Services,20230000000.0,N/A,N/A,0.8,0.0771,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,25,21.65,Real Estate,Real Estate Services,20170000000.0,N/A,N/A,0.8,0.0781,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,26,21.74,Real Estate,Real Estate Services,20250000000.0,N/A,N/A,0.8,0.0783,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,27,21.64,Real Estate,Real Estate Services,20160000000.0,N/A,N/A,0.8,0.078,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,28,21.83,Real Estate,Real Estate Services,20340000000.0,N/A,N/A,0.81,0.078,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,1,29,21.75,Real Estate,Real Estate Services,20260000000.0,N/A,N/A,0.8,0.078,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,2,1,21.96,Real Estate,Real Estate Services,20460000000.0,N/A,N/A,0.81,0.078,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,2,2,22.14,Real Estate,Real Estate Services,20630000000.0,N/A,N/A,0.82,0.07719999999999999,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,2,3,21.97,Real Estate,Real Estate Services,20470000000.0,N/A,N/A,0.81,0.0766,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,2,4,22.0,Real Estate,Real Estate Services,20500000000.0,N/A,N/A,0.81,0.0766,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,2,5,22.08,Real Estate,Real Estate Services,20570000000.0,N/A,N/A,0.82,0.07780000000000001,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,2,8,22.26,Real Estate,Real Estate Services,20740000000.0,N/A,N/A,0.82,0.0774,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,2,9,22.22,Real Estate,Real Estate Services,N/A,N/A,N/A,0.82,N/A,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,2,10,22.24,Real Estate,Real Estate Services,20720000000.0,N/A,N/A,0.82,0.07690000000000001,N/A,N/A
