Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,6,4.29,Financial Services,Asset Management,25920000.0,N/A,N/A,N/A,0.1379,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,7,4.16,Financial Services,Asset Management,25140000.0,N/A,N/A,N/A,0.1399,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,8,4.18,Financial Services,Asset Management,25260000.0,N/A,N/A,N/A,0.1442,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,11,3.91,Financial Services,Asset Management,23630000.0,N/A,N/A,N/A,0.1442,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,12,4.1,Financial Services,Asset Management,24780000.0,N/A,N/A,N/A,0.1535,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,13,4.07,Financial Services,Asset Management,24590000.0,N/A,N/A,N/A,0.1535,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,14,4.17,Financial Services,Asset Management,25200000.0,N/A,N/A,N/A,0.1474,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,15,4.22,Financial Services,Asset Management,25500000.0,N/A,N/A,N/A,0.1439,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,18,4.36,Financial Services,Asset Management,26350000.0,N/A,N/A,N/A,0.1439,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,19,4.4,Financial Services,Asset Management,26590000.0,N/A,N/A,N/A,0.1376,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,20,4.55,Financial Services,Asset Management,27500000.0,N/A,N/A,N/A,0.1376,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,21,4.5,Financial Services,Asset Management,27190000.0,N/A,N/A,N/A,0.1319,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,22,4.55,Financial Services,Asset Management,27500000.0,N/A,N/A,N/A,0.1333,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,25,4.3,Financial Services,Asset Management,25980000.0,N/A,N/A,N/A,0.1333,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,26,4.46,Financial Services,Asset Management,26950000.0,N/A,N/A,N/A,0.13949999999999999,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,27,4.45,Financial Services,Asset Management,26890000.0,N/A,N/A,N/A,0.13949999999999999,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,28,4.47,Financial Services,Asset Management,27010000.0,N/A,N/A,N/A,0.1348,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,1,29,4.33,Financial Services,Asset Management,26170000.0,N/A,N/A,N/A,0.13419999999999999,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,1,4.5,Financial Services,Asset Management,27190000.0,N/A,N/A,N/A,0.13419999999999999,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,1,4.5,Financial Services,Asset Management,27190000.0,N/A,N/A,N/A,0.13419999999999999,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,2,4.5,Financial Services,Asset Management,27190000.0,N/A,N/A,N/A,0.1333,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,3,4.44,Financial Services,Asset Management,26830000.0,N/A,N/A,N/A,0.1333,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,4,4.49,Financial Services,Asset Management,27130000.0,N/A,N/A,N/A,0.1351,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,5,4.45,Financial Services,Asset Management,26890000.0,N/A,N/A,N/A,0.1336,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,8,4.5,Financial Services,Asset Management,27190000.0,N/A,N/A,N/A,0.1336,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,9,4.55,Financial Services,Asset Management,27500000.0,N/A,N/A,N/A,0.1333,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,9,4.55,Financial Services,Asset Management,27500000.0,N/A,N/A,N/A,0.1333,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,10,4.6,Financial Services,Asset Management,27800000.0,N/A,N/A,N/A,0.1333,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,11,4.65,Financial Services,Asset Management,28100000.0,N/A,N/A,N/A,0.1304,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,12,4.73,Financial Services,Asset Management,28580000.0,N/A,N/A,N/A,0.129,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,16,4.9,Financial Services,Asset Management,29610000.0,N/A,N/A,N/A,0.129,N/A,N/A
Brookfield Select Opportunities Income Fund,BSO-UN,2021,2,17,4.95,Financial Services,Asset Management,29910000.0,N/A,N/A,N/A,0.12240000000000001,N/A,N/A
