Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
BTB Real Estate Investment Trust,BTB-UN,2021,1,6,3.55,Real Estate,REIT—Diversified,223820000.0,5.47,N/A,0.66,0.08470000000000001,0.5440999999999999,3.3282935373836082
BTB Real Estate Investment Trust,BTB-UN,2021,1,7,3.59,Real Estate,REIT—Diversified,226340000.0,5.53,N/A,0.66,0.08449999999999999,0.5440999999999999,3.365421853388659
BTB Real Estate Investment Trust,BTB-UN,2021,1,8,3.58,Real Estate,REIT—Diversified,225710000.0,5.52,N/A,0.66,0.0836,0.5440999999999999,3.3621262458471763
BTB Real Estate Investment Trust,BTB-UN,2021,1,11,3.59,Real Estate,REIT—Diversified,226340000.0,5.53,N/A,0.66,0.08380000000000001,0.5440999999999999,3.3675954973242295
BTB Real Estate Investment Trust,BTB-UN,2021,1,12,3.61,Real Estate,REIT—Diversified,227600000.0,5.56,N/A,0.67,0.0836,0.5440999999999999,3.4377999261720196
BTB Real Estate Investment Trust,BTB-UN,2021,1,13,3.61,Real Estate,REIT—Diversified,227600000.0,5.56,N/A,0.67,0.08310000000000001,0.5440999999999999,3.439386944880436
BTB Real Estate Investment Trust,BTB-UN,2021,1,14,3.63,Real Estate,REIT—Diversified,228860000.0,5.59,N/A,0.67,0.08310000000000001,0.5440999999999999,3.4579447881082084
BTB Real Estate Investment Trust,BTB-UN,2021,1,15,3.63,Real Estate,REIT—Diversified,228860000.0,5.59,N/A,0.67,0.08259999999999999,0.5440999999999999,3.459541843709588
BTB Real Estate Investment Trust,BTB-UN,2021,1,18,3.68,Real Estate,REIT—Diversified,232010000.0,5.67,N/A,0.68,0.08259999999999999,0.5440999999999999,3.5614261961943474
BTB Real Estate Investment Trust,BTB-UN,2021,1,19,3.68,Real Estate,REIT—Diversified,232010000.0,5.67,N/A,0.68,0.0815,0.5440999999999999,3.565048543689321
BTB Real Estate Investment Trust,BTB-UN,2021,1,20,3.78,Real Estate,REIT—Diversified,238320000.0,5.82,N/A,0.7,0.0815,0.5440999999999999,3.766990291262136
BTB Real Estate Investment Trust,BTB-UN,2021,1,21,3.77,Real Estate,REIT—Diversified,237690000.0,5.81,N/A,0.7,0.0794,0.5440999999999999,3.7678339818417634
BTB Real Estate Investment Trust,BTB-UN,2021,1,22,3.75,Real Estate,REIT—Diversified,236430000.0,5.78,N/A,0.69,0.0796,0.5440999999999999,3.6941459799925895
BTB Real Estate Investment Trust,BTB-UN,2021,1,25,3.73,Real Estate,REIT—Diversified,235170000.0,5.75,N/A,0.69,0.08,0.5440999999999999,3.6736111111111107
BTB Real Estate Investment Trust,BTB-UN,2021,1,26,3.75,Real Estate,REIT—Diversified,236430000.0,5.78,N/A,0.69,0.08039999999999999,0.5440999999999999,3.6914105886708626
BTB Real Estate Investment Trust,BTB-UN,2021,1,27,3.68,Real Estate,REIT—Diversified,232010000.0,5.67,N/A,0.68,0.08,0.5440999999999999,3.5700000000000003
BTB Real Estate Investment Trust,BTB-UN,2021,1,28,3.65,Real Estate,REIT—Diversified,230120000.0,5.62,N/A,0.67,0.0815,0.5440999999999999,3.481645862228387
BTB Real Estate Investment Trust,BTB-UN,2021,1,29,3.57,Real Estate,REIT—Diversified,225080000.0,5.5,N/A,0.66,0.084,0.5440999999999999,3.348708487084871
BTB Real Estate Investment Trust,BTB-UN,2021,2,1,3.57,Real Estate,REIT—Diversified,225080000.0,5.5,N/A,0.66,0.084,0.5440999999999999,3.348708487084871
BTB Real Estate Investment Trust,BTB-UN,2021,2,2,3.56,Real Estate,REIT—Diversified,224450000.0,5.49,N/A,0.66,0.084,0.5440999999999999,3.3426199261992617
BTB Real Estate Investment Trust,BTB-UN,2021,2,3,3.59,Real Estate,REIT—Diversified,226340000.0,5.53,N/A,0.66,0.0843,0.5440999999999999,3.3660426081342805
BTB Real Estate Investment Trust,BTB-UN,2021,2,4,3.69,Real Estate,REIT—Diversified,232640000.0,5.69,N/A,0.68,0.0836,0.5440999999999999,3.570690291620525
BTB Real Estate Investment Trust,BTB-UN,2021,2,5,3.84,Real Estate,REIT—Diversified,242100000.0,5.92,N/A,0.71,0.08130000000000001,0.5440999999999999,3.8871728474983818
BTB Real Estate Investment Trust,BTB-UN,2021,2,8,3.82,Real Estate,REIT—Diversified,240840000.0,5.89,N/A,0.7,0.0781,0.5440999999999999,3.8243205639551054
BTB Real Estate Investment Trust,BTB-UN,2021,2,9,3.82,Real Estate,REIT—Diversified,240840000.0,5.89,N/A,0.7,0.0785,0.5440999999999999,3.8229021789522477
BTB Real Estate Investment Trust,BTB-UN,2021,2,10,3.8,Real Estate,REIT—Diversified,239580000.0,5.86,N/A,0.7,0.0785,0.5440999999999999,3.8034306907742237
BTB Real Estate Investment Trust,BTB-UN,2021,2,11,3.74,Real Estate,REIT—Diversified,235800000.0,5.76,N/A,0.69,0.0789,0.5440999999999999,3.6837519695986654
BTB Real Estate Investment Trust,BTB-UN,2021,2,12,3.82,Real Estate,REIT—Diversified,240840000.0,5.89,N/A,0.7,0.0802,0.5440999999999999,3.816885761895944
BTB Real Estate Investment Trust,BTB-UN,2021,2,16,3.81,Real Estate,REIT—Diversified,240210000.0,5.87,N/A,0.7,0.0785,0.5440999999999999,3.809921186833565
BTB Real Estate Investment Trust,BTB-UN,2021,2,17,3.83,Real Estate,REIT—Diversified,241470000.0,5.9,N/A,0.71,0.0787,0.5440999999999999,3.88337814035413
BTB Real Estate Investment Trust,BTB-UN,2021,2,18,3.78,Real Estate,REIT—Diversified,238320000.0,5.82,N/A,0.7,0.0783,0.5440999999999999,3.778169340628767
BTB Real Estate Investment Trust,BTB-UN,2021,2,19,3.835,Real Estate,REIT—Diversified,241790000.0,5.91,N/A,0.71,0.0794,0.5440999999999999,3.887437465258477
BTB Real Estate Investment Trust,BTB-UN,2021,2,22,3.95,Real Estate,REIT—Diversified,249040000.0,6.09,N/A,0.73,0.0782,0.5440999999999999,4.123260990539788
BTB Real Estate Investment Trust,BTB-UN,2021,2,23,3.91,Real Estate,REIT—Diversified,246510000.0,6.02,N/A,0.72,0.0759,0.5440999999999999,4.028627195836044
BTB Real Estate Investment Trust,BTB-UN,2021,2,24,3.95,Real Estate,REIT—Diversified,249040000.0,6.09,N/A,0.73,0.0767,0.5440999999999999,4.129005293953747
BTB Real Estate Investment Trust,BTB-UN,2021,2,25,3.92,Real Estate,REIT—Diversified,247140000.0,6.04,N/A,0.72,0.0759,0.5440999999999999,4.042011339343805
BTB Real Estate Investment Trust,BTB-UN,2021,2,26,3.9,Real Estate,REIT—Diversified,245880000.0,6.01,N/A,0.72,0.0765,0.5440999999999999,4.019693450998606
BTB Real Estate Investment Trust,BTB-UN,2021,3,1,3.96,Real Estate,REIT—Diversified,249670000.0,6.1,N/A,0.73,0.07690000000000001,0.5440999999999999,4.135017178939548
BTB Real Estate Investment Trust,BTB-UN,2021,3,2,3.94,Real Estate,REIT—Diversified,248410000.0,6.07,N/A,0.73,0.0758,0.5440999999999999,4.1188882691950175
BTB Real Estate Investment Trust,BTB-UN,2021,3,3,3.95,Real Estate,REIT—Diversified,249040000.0,6.09,N/A,0.73,0.0761,0.5440999999999999,4.1313074993030385
