Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,6,19.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,7,22.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,8,23.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,11,18.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,12,18.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,13,19.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,14,20.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,15,18.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,18,19.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,19,17.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,20,16.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,21,14.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,22,16.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,25,16.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,26,14.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,27,14.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CI Galaxy Bitcoin Fund,BTCG-U,2021,1,28,15.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
