Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,6,5.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,7,5.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,7,5.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,7,5.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,7,5.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,13,5.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,14,5.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,15,6.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,18,6.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,18,6.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,18,6.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,18,6.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,22,6.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,22,6.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,26,6.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,26,6.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,26,6.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,26,6.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,1,26,6.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,2,2,5.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,2,2,5.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,2,2,5.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,2,2,5.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,2,8,6.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,2,8,6.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,2,8,6.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,2,11,6.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom U.S. Income & Growth Fund,BUA-UN,2021,2,12,6.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
