Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Canaccord Genuity Group Inc.,CF,2021,1,6,11.37,Financial Services,Capital Markets,1100000000.0,13.49,0.74,1.51,0.0196,0.244,19.978324833267948
Canaccord Genuity Group Inc.,CF,2021,1,7,11.59,Financial Services,Capital Markets,1120000000.0,13.75,0.74,1.54,0.019299999999999998,0.244,20.77406062984401
Canaccord Genuity Group Inc.,CF,2021,1,8,11.68,Financial Services,Capital Markets,1130000000.0,13.86,0.77,1.55,0.019,0.244,21.082433758586852
Canaccord Genuity Group Inc.,CF,2021,1,11,11.65,Financial Services,Capital Markets,1130000000.0,13.82,0.77,1.55,0.018799999999999997,0.244,21.0257165292501
Canaccord Genuity Group Inc.,CF,2021,1,12,11.64,Financial Services,Capital Markets,1130000000.0,13.81,0.77,1.54,0.0189,0.244,20.87290214937678
Canaccord Genuity Group Inc.,CF,2021,1,13,11.67,Financial Services,Capital Markets,1130000000.0,13.84,0.77,1.55,0.0189,0.244,21.05407792717637
Canaccord Genuity Group Inc.,CF,2021,1,14,11.84,Financial Services,Capital Markets,1150000000.0,14.05,0.77,1.57,0.0189,0.244,21.64932770634999
Canaccord Genuity Group Inc.,CF,2021,1,15,11.67,Financial Services,Capital Markets,1130000000.0,13.84,0.77,1.55,0.018600000000000002,0.244,21.060278814058513
Canaccord Genuity Group Inc.,CF,2021,1,18,11.69,Financial Services,Capital Markets,1130000000.0,13.87,0.77,1.55,0.0189,0.244,21.099715379330654
Canaccord Genuity Group Inc.,CF,2021,1,19,11.54,Financial Services,Capital Markets,1120000000.0,13.69,0.77,1.53,0.018799999999999997,0.244,20.559187279151942
Canaccord Genuity Group Inc.,CF,2021,1,20,11.8,Financial Services,Capital Markets,1140000000.0,14.0,0.77,1.57,0.0191,0.244,21.568050240408205
