Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Calfrac Well Services Ltd.,CFW,2021,1,6,3.6,Energy,Oil & Gas Equipment & Services,134670000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,7,4.16,Energy,Oil & Gas Equipment & Services,155620000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,8,4.54,Energy,Oil & Gas Equipment & Services,169830000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,11,4.38,Energy,Oil & Gas Equipment & Services,163850000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,12,4.26,Energy,Oil & Gas Equipment & Services,159360000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,13,4.17,Energy,Oil & Gas Equipment & Services,155990000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,14,4.3,Energy,Oil & Gas Equipment & Services,160860000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,15,4.2,Energy,Oil & Gas Equipment & Services,157120000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,18,4.08,Energy,Oil & Gas Equipment & Services,152630000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,19,4.2,Energy,Oil & Gas Equipment & Services,157120000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,20,4.03,Energy,Oil & Gas Equipment & Services,150760000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,21,4.02,Energy,Oil & Gas Equipment & Services,150380000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,22,3.95,Energy,Oil & Gas Equipment & Services,147760000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,25,4.0,Energy,Oil & Gas Equipment & Services,149630000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,26,3.86,Energy,Oil & Gas Equipment & Services,144400000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,27,3.76,Energy,Oil & Gas Equipment & Services,140660000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,28,3.84,Energy,Oil & Gas Equipment & Services,143650000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,1,29,3.82,Energy,Oil & Gas Equipment & Services,142900000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,1,3.72,Energy,Oil & Gas Equipment & Services,139160000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,2,3.65,Energy,Oil & Gas Equipment & Services,136540000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,3,3.63,Energy,Oil & Gas Equipment & Services,135790000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,4,3.63,Energy,Oil & Gas Equipment & Services,135790000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,5,3.76,Energy,Oil & Gas Equipment & Services,140660000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,8,3.74,Energy,Oil & Gas Equipment & Services,139910000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,9,3.81,Energy,Oil & Gas Equipment & Services,142530000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,9,3.81,Energy,Oil & Gas Equipment & Services,142530000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,10,3.86,Energy,Oil & Gas Equipment & Services,144400000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,11,3.75,Energy,Oil & Gas Equipment & Services,140280000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,12,3.95,Energy,Oil & Gas Equipment & Services,147760000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,16,4.22,Energy,Oil & Gas Equipment & Services,157860000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,17,4.21,Energy,Oil & Gas Equipment & Services,157490000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,18,4.18,Energy,Oil & Gas Equipment & Services,156370000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,19,4.1,Energy,Oil & Gas Equipment & Services,153370000.0,N/A,0.0,N/A,N/A,0.0,N/A
Calfrac Well Services Ltd.,CFW,2021,2,22,4.03,Energy,Oil & Gas Equipment & Services,150760000.0,N/A,0.0,N/A,N/A,0.0,N/A
