Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Cardinal Energy Ltd.,CJ,2021,1,6,0.85,Energy,Oil & Gas E&P,103410000.0,N/A,0.01,0.38,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,7,0.91,Energy,Oil & Gas E&P,110710000.0,N/A,0.01,0.41,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,8,0.91,Energy,Oil & Gas E&P,110710000.0,N/A,0.01,0.41,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,11,0.89,Energy,Oil & Gas E&P,108280000.0,N/A,0.01,0.4,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,12,0.98,Energy,Oil & Gas E&P,119230000.0,N/A,0.01,0.44,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,13,0.99,Energy,Oil & Gas E&P,120440000.0,N/A,0.01,0.45,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,14,1.02,Energy,Oil & Gas E&P,124090000.0,N/A,0.01,0.46,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,15,0.96,Energy,Oil & Gas E&P,116790000.0,N/A,0.01,0.43,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,18,0.91,Energy,Oil & Gas E&P,110710000.0,N/A,0.01,0.41,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,19,0.97,Energy,Oil & Gas E&P,118010000.0,N/A,0.01,0.44,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,20,0.98,Energy,Oil & Gas E&P,119230000.0,N/A,0.01,0.44,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,21,0.95,Energy,Oil & Gas E&P,115580000.0,N/A,0.01,0.43,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,22,0.97,Energy,Oil & Gas E&P,118010000.0,N/A,0.01,0.44,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,25,0.99,Energy,Oil & Gas E&P,120440000.0,N/A,0.01,0.45,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,26,1.01,Energy,Oil & Gas E&P,122880000.0,N/A,0.01,0.46,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,27,1.08,Energy,Oil & Gas E&P,131389999.99999999,N/A,0.01,0.49,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,28,1.05,Energy,Oil & Gas E&P,127740000.0,N/A,0.01,0.47,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,1,29,1.04,Energy,Oil & Gas E&P,126530000.0,N/A,0.01,0.47,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,1,1.06,Energy,Oil & Gas E&P,128960000.00000001,N/A,0.01,0.48,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,2,1.13,Energy,Oil & Gas E&P,137480000.0,N/A,0.01,0.51,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,3,1.225,Energy,Oil & Gas E&P,149030000.0,N/A,0.02,0.55,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,4,1.32,Energy,Oil & Gas E&P,160590000.0,N/A,0.02,0.59,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,5,1.29,Energy,Oil & Gas E&P,156940000.0,N/A,0.01,0.58,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,8,1.35,Energy,Oil & Gas E&P,164240000.0,N/A,0.01,0.61,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,9,1.38,Energy,Oil & Gas E&P,167890000.0,N/A,0.01,0.62,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,9,1.38,Energy,Oil & Gas E&P,167890000.0,N/A,0.01,0.62,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,10,1.44,Energy,Oil & Gas E&P,175190000.0,N/A,0.01,0.65,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,11,1.44,Energy,Oil & Gas E&P,175190000.0,N/A,0.01,0.65,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,12,1.47,Energy,Oil & Gas E&P,178840000.0,N/A,0.01,0.66,N/A,N/A,N/A
Cardinal Energy Ltd.,CJ,2021,2,16,1.5,Energy,Oil & Gas E&P,182490000.0,N/A,0.01,0.68,N/A,N/A,N/A
