Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
CNOOC Limited,CNU,2021,1,6,116.23,Energy,Oil & Gas E&P,51910000000.0,10.11,N/A,0.86,0.0967,0.7759,7.927965715327801
CNOOC Limited,CNU,2021,1,6,116.23,Energy,Oil & Gas E&P,53720000000.0,10.11,N/A,0.86,0.0968,0.7759,7.927242888402625
CNOOC Limited,CNU,2021,1,8,112.9,Energy,Oil & Gas E&P,51380000000.0,9.82,N/A,0.84,0.0968,0.7759,7.520787746170678
CNOOC Limited,CNU,2021,1,8,112.9,Energy,Oil & Gas E&P,52020000000.0,9.82,N/A,0.84,0.09960000000000001,0.7759,7.501636958894143
CNOOC Limited,CNU,2021,1,8,112.9,Energy,Oil & Gas E&P,52490000000.0,9.82,N/A,0.84,0.09960000000000001,0.7759,7.501636958894143
CNOOC Limited,CNU,2021,1,13,122.63,Energy,Oil & Gas E&P,58320000000.0,10.66,N/A,0.91,0.09960000000000001,0.7759,8.821935249181521
CNOOC Limited,CNU,2021,1,14,128.49,Energy,Oil & Gas E&P,59040000000.0,11.17,N/A,0.95,0.0917,0.7759,9.720161216451407
CNOOC Limited,CNU,2021,1,15,130.98,Energy,Oil & Gas E&P,60970000000.0,11.39,N/A,0.97,0.0875,0.7759,10.159356321839082
CNOOC Limited,CNU,2021,1,18,131.2,Energy,Oil & Gas E&P,59030000000.0,11.41,N/A,0.97,0.0859,0.7759,10.192190809466801
CNOOC Limited,CNU,2021,1,19,140.25,Energy,Oil & Gas E&P,64830000000.0,12.2,N/A,1.04,0.0857,0.7759,11.686469558809982
CNOOC Limited,CNU,2021,1,19,140.25,Energy,Oil & Gas E&P,61900000000.0,12.2,N/A,1.04,0.0802,0.7759,11.745972967968893
CNOOC Limited,CNU,2021,1,21,129.0,Energy,Oil & Gas E&P,56750000000.0,11.22,N/A,0.96,0.0802,0.7759,9.971486761710795
CNOOC Limited,CNU,2021,1,22,120.73,Energy,Oil & Gas E&P,56220000000.0,10.5,N/A,0.9,0.0872,0.7759,8.692052980132452
CNOOC Limited,CNU,2021,1,22,120.73,Energy,Oil & Gas E&P,56830000000.0,10.5,N/A,0.9,0.0932,0.7759,8.644346871569706
CNOOC Limited,CNU,2021,1,22,120.73,Energy,Oil & Gas E&P,57090000000.0,10.5,N/A,0.9,0.0932,0.7759,8.644346871569706
CNOOC Limited,CNU,2021,1,27,130.26,Energy,Oil & Gas E&P,60170000000.0,11.33,N/A,0.97,0.0932,0.7759,10.053146725210391
CNOOC Limited,CNU,2021,1,28,131.5,Energy,Oil & Gas E&P,59490000000.0,11.43,N/A,0.98,0.0864,0.7759,10.310567010309278
CNOOC Limited,CNU,2021,1,29,127.0,Energy,Oil & Gas E&P,56310000000.0,11.04,N/A,0.94,0.0886,0.7759,9.53297813705677
CNOOC Limited,CNU,2021,2,1,131.53,Energy,Oil & Gas E&P,58320000000.0,11.44,N/A,0.98,0.0886,0.7759,10.298732316737093
CNOOC Limited,CNU,2021,2,2,134.5,Energy,Oil & Gas E&P,59340000000.0,11.7,N/A,1.0,0.0855,0.7759,10.778443113772456
CNOOC Limited,CNU,2021,2,2,134.5,Energy,Oil & Gas E&P,60450000000.0,11.7,N/A,1.0,0.0836,0.7759,10.79734219269103
CNOOC Limited,CNU,2021,2,2,134.5,Energy,Oil & Gas E&P,62310000000.0,11.7,N/A,1.0,0.0836,0.7759,10.79734219269103
