Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Ceres Global Ag Corp.,CRP,2021,1,6,3.9,Industrials,Specialty Business Services,120010000.0,73.58,N/A,0.83,N/A,0.0,61.0714
Ceres Global Ag Corp.,CRP,2021,1,7,4.02,Industrials,Specialty Business Services,123710000.0,75.85,N/A,0.86,N/A,0.0,65.231
Ceres Global Ag Corp.,CRP,2021,1,8,3.9,Industrials,Specialty Business Services,120010000.0,73.58,N/A,0.83,N/A,0.0,61.0714
Ceres Global Ag Corp.,CRP,2021,1,11,4.05,Industrials,Specialty Business Services,124630000.0,76.42,N/A,0.86,N/A,0.0,65.7212
Ceres Global Ag Corp.,CRP,2021,1,12,3.91,Industrials,Specialty Business Services,120320000.0,73.77,N/A,0.83,N/A,0.0,61.229099999999995
Ceres Global Ag Corp.,CRP,2021,1,13,4.16,Industrials,Specialty Business Services,128009999.99999999,78.49,N/A,0.89,N/A,0.0,69.8561
Ceres Global Ag Corp.,CRP,2021,1,14,4.18,Industrials,Specialty Business Services,128630000.0,78.87,N/A,0.89,N/A,0.0,70.1943
Ceres Global Ag Corp.,CRP,2021,1,15,3.93,Industrials,Specialty Business Services,120940000.0,74.15,N/A,0.84,N/A,0.0,62.286
Ceres Global Ag Corp.,CRP,2021,1,18,3.81,Industrials,Specialty Business Services,117240000.0,71.89,N/A,0.81,N/A,0.0,58.230900000000005
Ceres Global Ag Corp.,CRP,2021,1,19,4.0,Industrials,Specialty Business Services,123090000.0,75.47,N/A,0.85,N/A,0.0,64.1495
Ceres Global Ag Corp.,CRP,2021,1,20,4.03,Industrials,Specialty Business Services,124010000.0,76.04,N/A,0.86,N/A,0.0,65.3944
Ceres Global Ag Corp.,CRP,2021,1,20,4.03,Industrials,Specialty Business Services,124010000.0,76.04,N/A,0.86,N/A,0.0,65.3944
Ceres Global Ag Corp.,CRP,2021,1,22,4.03,Industrials,Specialty Business Services,124010000.0,76.04,N/A,0.86,N/A,0.0,65.3944
Ceres Global Ag Corp.,CRP,2021,1,25,4.0,Industrials,Specialty Business Services,123090000.0,75.47,N/A,0.85,N/A,0.0,64.1495
Ceres Global Ag Corp.,CRP,2021,1,25,4.0,Industrials,Specialty Business Services,123090000.0,75.47,N/A,0.85,N/A,0.0,64.1495
Ceres Global Ag Corp.,CRP,2021,1,27,4.03,Industrials,Specialty Business Services,124010000.0,76.04,N/A,0.86,N/A,0.0,65.3944
Ceres Global Ag Corp.,CRP,2021,1,28,4.01,Industrials,Specialty Business Services,123400000.0,75.66,N/A,0.86,N/A,0.0,65.0676
Ceres Global Ag Corp.,CRP,2021,1,28,4.01,Industrials,Specialty Business Services,123400000.0,75.66,N/A,0.86,N/A,0.0,65.0676
Ceres Global Ag Corp.,CRP,2021,2,1,3.81,Industrials,Specialty Business Services,117240000.0,71.89,N/A,0.81,N/A,0.0,58.230900000000005
Ceres Global Ag Corp.,CRP,2021,2,1,3.81,Industrials,Specialty Business Services,117240000.0,71.89,N/A,0.81,N/A,0.0,58.230900000000005
Ceres Global Ag Corp.,CRP,2021,2,2,3.9,Industrials,Specialty Business Services,120010000.0,73.58,N/A,0.83,N/A,0.0,61.0714
Ceres Global Ag Corp.,CRP,2021,2,3,3.95,Industrials,Specialty Business Services,121550000.0,74.53,N/A,0.84,N/A,0.0,62.605199999999996
Ceres Global Ag Corp.,CRP,2021,2,4,3.92,Industrials,Specialty Business Services,120630000.0,73.96,N/A,0.84,N/A,0.0,62.12639999999999
Ceres Global Ag Corp.,CRP,2021,2,5,4.1,Industrials,Specialty Business Services,126170000.0,77.36,N/A,0.88,N/A,0.0,68.0768
Ceres Global Ag Corp.,CRP,2021,2,8,4.09,Industrials,Specialty Business Services,125860000.0,77.17,N/A,0.87,N/A,0.0,67.1379
Ceres Global Ag Corp.,CRP,2021,2,9,4.14,Industrials,Specialty Business Services,127400000.0,78.11,N/A,0.88,N/A,0.0,68.7368
Ceres Global Ag Corp.,CRP,2021,2,10,4.2,Industrials,Specialty Business Services,129250000.0,79.25,N/A,0.9,N/A,0.0,71.325
Ceres Global Ag Corp.,CRP,2021,2,11,4.2,Industrials,Specialty Business Services,129250000.0,79.25,N/A,0.9,N/A,0.0,71.325
