Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Corby Spirit and Wine Limited,CSW-B,2021,1,6,16.95,Consumer Defensive,Beverages—Wineries & Distilleries,504540000.0,15.55,N/A,2.71,0.0535,0.7706000000000001,40.00047460844803
Corby Spirit and Wine Limited,CSW-B,2021,1,7,16.6,Consumer Defensive,Beverages—Wineries & Distilleries,482810000.0,15.23,N/A,2.65,0.0519,0.7706000000000001,38.3681908926704
Corby Spirit and Wine Limited,CSW-B,2021,1,8,16.74,Consumer Defensive,Beverages—Wineries & Distilleries,491260000.0,15.36,N/A,2.68,0.053,0.7706000000000001,39.09287749287749
Corby Spirit and Wine Limited,CSW-B,2021,1,11,16.71,Consumer Defensive,Beverages—Wineries & Distilleries,487100000.0,15.33,N/A,2.67,0.0526,0.7706000000000001,38.885711571347144
Corby Spirit and Wine Limited,CSW-B,2021,1,12,16.68,Consumer Defensive,Beverages—Wineries & Distilleries,485040000.0,15.3,N/A,2.67,0.0527,0.7706000000000001,38.80592761470504
Corby Spirit and Wine Limited,CSW-B,2021,1,13,16.8,Consumer Defensive,Beverages—Wineries & Distilleries,489770000.0,15.41,N/A,2.69,0.0528,0.7706000000000001,39.37395516717326
Corby Spirit and Wine Limited,CSW-B,2021,1,14,16.8,Consumer Defensive,Beverages—Wineries & Distilleries,493810000.0,15.41,N/A,2.69,0.0524,0.7706000000000001,39.38892056252376
Corby Spirit and Wine Limited,CSW-B,2021,1,15,16.99,Consumer Defensive,Beverages—Wineries & Distilleries,495960000.0,15.59,N/A,2.72,0.0524,0.7706000000000001,40.29342455340175
Corby Spirit and Wine Limited,CSW-B,2021,1,18,16.85,Consumer Defensive,Beverages—Wineries & Distilleries,489570000.0,15.46,N/A,2.69,0.0518,0.7706000000000001,39.53926602015592
Corby Spirit and Wine Limited,CSW-B,2021,1,19,16.99,Consumer Defensive,Beverages—Wineries & Distilleries,504740000.0,15.59,N/A,2.72,0.052199999999999996,0.7706000000000001,40.301083444212125
