Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
CanWel Building Materials Group Ltd.,CWX,2021,1,6,7.73,Basic Materials,Building Materials,602440000.0,12.63,N/A,1.75,0.063,0.8852,20.7925682031985
CanWel Building Materials Group Ltd.,CWX,2021,1,7,7.78,Basic Materials,Building Materials,606340000.0,12.71,N/A,1.76,0.0621,0.8852,21.061670275868565
CanWel Building Materials Group Ltd.,CWX,2021,1,8,7.77,Basic Materials,Building Materials,605560000.0,12.7,N/A,1.76,0.0617,0.8852,21.053028162381086
CanWel Building Materials Group Ltd.,CWX,2021,1,11,7.74,Basic Materials,Building Materials,603220000.0,12.65,N/A,1.76,0.061799999999999994,0.8852,20.968167263138064
CanWel Building Materials Group Ltd.,CWX,2021,1,12,7.64,Basic Materials,Building Materials,595430000.0,12.48,N/A,1.73,0.062,0.8852,20.329943502824857
CanWel Building Materials Group Ltd.,CWX,2021,1,13,7.55,Basic Materials,Building Materials,588410000.0,12.34,N/A,1.71,0.06280000000000001,0.8852,19.85453519006398
CanWel Building Materials Group Ltd.,CWX,2021,1,14,7.4,Basic Materials,Building Materials,576720000.0,12.09,N/A,1.68,0.06280000000000001,0.8852,19.11102747459541
CanWel Building Materials Group Ltd.,CWX,2021,1,15,7.33,Basic Materials,Building Materials,571270000.0,11.98,N/A,1.66,0.06280000000000001,0.8852,18.7117049303726
CanWel Building Materials Group Ltd.,CWX,2021,1,18,7.22,Basic Materials,Building Materials,562700000.0,11.8,N/A,1.64,0.0655,0.8852,18.1623650868137
CanWel Building Materials Group Ltd.,CWX,2021,1,19,6.86,Basic Materials,Building Materials,534640000.0,11.21,N/A,1.56,0.0665,0.8852,16.3971870604782
CanWel Building Materials Group Ltd.,CWX,2021,1,20,7.31,Basic Materials,Building Materials,569710000.0,11.94,N/A,1.66,0.07,0.8852,18.523738317757008
CanWel Building Materials Group Ltd.,CWX,2021,1,21,7.39,Basic Materials,Building Materials,575940000.0,12.08,N/A,1.68,0.06570000000000001,0.8852,19.04325795251947
CanWel Building Materials Group Ltd.,CWX,2021,1,22,7.31,Basic Materials,Building Materials,569710000.0,11.94,N/A,1.66,0.065,0.8852,18.610704225352112
CanWel Building Materials Group Ltd.,CWX,2021,1,25,7.5,Basic Materials,Building Materials,584520000.0,12.25,N/A,1.7,0.06570000000000001,0.8852,19.541146664164398
CanWel Building Materials Group Ltd.,CWX,2021,1,26,7.82,Basic Materials,Building Materials,609460000.0,12.78,N/A,1.77,0.06570000000000001,0.8852,21.226048606549682
CanWel Building Materials Group Ltd.,CWX,2021,1,27,7.35,Basic Materials,Building Materials,572830000.0,12.01,N/A,1.67,0.061399999999999996,0.8852,18.896457508950444
CanWel Building Materials Group Ltd.,CWX,2021,1,28,7.64,Basic Materials,Building Materials,595430000.0,12.48,N/A,1.73,0.0653,0.8852,20.26696705153478
CanWel Building Materials Group Ltd.,CWX,2021,1,29,7.29,Basic Materials,Building Materials,568150000.0,11.91,N/A,1.65,0.0658,0.8852,18.438262338149745
CanWel Building Materials Group Ltd.,CWX,2021,2,1,7.77,Basic Materials,Building Materials,605560000.0,12.7,N/A,1.76,0.0658,0.8852,20.972039782323137
CanWel Building Materials Group Ltd.,CWX,2021,2,2,7.79,Basic Materials,Building Materials,607120000.0,12.73,N/A,1.77,0.061799999999999994,0.8852,21.220663025051795
CanWel Building Materials Group Ltd.,CWX,2021,2,3,7.92,Basic Materials,Building Materials,617250000.0,12.94,N/A,1.8,0.0616,0.8852,21.94046721929163
CanWel Building Materials Group Ltd.,CWX,2021,2,4,8.02,Basic Materials,Building Materials,625040000.0,13.1,N/A,1.82,0.0616,0.8852,22.458553127354932
CanWel Building Materials Group Ltd.,CWX,2021,2,5,8.03,Basic Materials,Building Materials,625820000.0,13.12,N/A,1.82,0.0599,0.8852,22.528917822436078
CanWel Building Materials Group Ltd.,CWX,2021,2,8,7.95,Basic Materials,Building Materials,619590000.0,12.99,N/A,1.8,0.059800000000000006,0.8852,22.062653330817135
CanWel Building Materials Group Ltd.,CWX,2021,2,9,7.8,Basic Materials,Building Materials,607900000.0,12.75,N/A,1.77,0.059800000000000006,0.8852,21.294112096622
CanWel Building Materials Group Ltd.,CWX,2021,2,10,7.72,Basic Materials,Building Materials,601660000.0,12.61,N/A,1.75,0.061500000000000006,0.8852,20.78897786151672
CanWel Building Materials Group Ltd.,CWX,2021,2,11,7.69,Basic Materials,Building Materials,599330000.0,12.57,N/A,1.74,0.061500000000000006,0.8852,20.60461610927932
CanWel Building Materials Group Ltd.,CWX,2021,2,12,7.87,Basic Materials,Building Materials,613350000.0,12.86,N/A,1.79,0.061500000000000006,0.8852,21.685727743758832
