Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Currency Exchange International Corp.,CXI,2021,1,6,10.87,Financial Services,Capital Markets,70170000.0,N/A,N/A,1.13,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,7,10.88,Financial Services,Capital Markets,71710000.0,N/A,N/A,1.14,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,8,10.96,Financial Services,Capital Markets,73410000.0,N/A,N/A,1.14,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,11,10.99,Financial Services,Capital Markets,73350000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,11,10.99,Financial Services,Capital Markets,71800000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,13,10.9,Financial Services,Capital Markets,71210000.0,N/A,N/A,1.14,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,14,11.0,Financial Services,Capital Markets,71960000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,15,11.0,Financial Services,Capital Markets,72400000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,18,10.76,Financial Services,Capital Markets,72990000.0,N/A,N/A,1.12,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,19,11.0,Financial Services,Capital Markets,77500000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,20,10.9,Financial Services,Capital Markets,73120000.0,N/A,N/A,1.14,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,21,11.0,Financial Services,Capital Markets,72650000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,22,11.0,Financial Services,Capital Markets,75670000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,25,11.0,Financial Services,Capital Markets,75090000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,26,11.0,Financial Services,Capital Markets,71020000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,27,11.0,Financial Services,Capital Markets,71100000.0,N/A,N/A,1.15,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,28,11.1,Financial Services,Capital Markets,70930000.0,N/A,N/A,1.16,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,1,29,11.1,Financial Services,Capital Markets,72780000.0,N/A,N/A,1.22,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,1,11.0,Financial Services,Capital Markets,72130000.0,N/A,N/A,1.21,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,1,11.0,Financial Services,Capital Markets,72130000.0,N/A,N/A,1.21,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,2,11.13,Financial Services,Capital Markets,73430000.0,N/A,N/A,1.23,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,3,11.07,Financial Services,Capital Markets,71480000.0,N/A,N/A,1.22,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,4,11.0,Financial Services,Capital Markets,72400000.0,N/A,N/A,1.21,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,5,11.0,Financial Services,Capital Markets,72510000.0,N/A,N/A,1.21,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,8,10.95,Financial Services,Capital Markets,70780000.0,N/A,N/A,1.21,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,9,10.99,Financial Services,Capital Markets,71180000.0,N/A,N/A,1.21,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,10,11.0,Financial Services,Capital Markets,71000000.0,N/A,N/A,1.21,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,11,11.0,Financial Services,Capital Markets,70860000.0,N/A,N/A,1.21,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,12,11.0,Financial Services,Capital Markets,70790000.0,N/A,N/A,1.21,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,16,10.81,Financial Services,Capital Markets,69470000.0,N/A,N/A,1.19,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,17,11.89,Financial Services,Capital Markets,77000000.0,N/A,N/A,1.31,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,17,11.89,Financial Services,Capital Markets,77840000.0,N/A,N/A,1.31,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,19,11.95,Financial Services,Capital Markets,78680000.0,N/A,N/A,1.32,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,22,11.74,Financial Services,Capital Markets,76850000.0,N/A,N/A,1.29,N/A,0.0,N/A
Currency Exchange International Corp.,CXI,2021,2,23,11.52,Financial Services,Capital Markets,74520000.0,N/A,N/A,1.27,N/A,0.0,N/A
