Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Cymbria Corporation,CYB,2021,1,6,51.25,Financial Services,Asset Management,1170000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Cymbria Corporation,CYB,2021,1,7,52.25,Financial Services,Asset Management,1190000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Cymbria Corporation,CYB,2021,1,8,53.25,Financial Services,Asset Management,1210000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Cymbria Corporation,CYB,2021,1,11,52.95,Financial Services,Asset Management,1200000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Cymbria Corporation,CYB,2021,1,12,52.63,Financial Services,Asset Management,1200000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Cymbria Corporation,CYB,2021,1,13,52.8,Financial Services,Asset Management,1200000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Cymbria Corporation,CYB,2021,1,14,52.25,Financial Services,Asset Management,1190000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Cymbria Corporation,CYB,2021,1,15,52.5,Financial Services,Asset Management,1190000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Cymbria Corporation,CYB,2021,1,18,52.7,Financial Services,Asset Management,1200000000.0,N/A,N/A,N/A,N/A,0.0,N/A
Cymbria Corporation,CYB,2021,1,19,53.2,Financial Services,Asset Management,1210000000.0,N/A,N/A,N/A,N/A,0.0,N/A
