Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
DATA Communications Management Corp.,DCM,2021,1,6,0.72,Industrials,Specialty Business Services,30990000.0,6.0,N/A,4.71,N/A,0.0,28.259999999999998
DATA Communications Management Corp.,DCM,2021,1,7,0.74,Industrials,Specialty Business Services,31850000.0,6.17,N/A,4.84,N/A,0.0,29.8628
DATA Communications Management Corp.,DCM,2021,1,8,0.78,Industrials,Specialty Business Services,33580000.0,6.5,N/A,5.1,N/A,0.0,33.15
DATA Communications Management Corp.,DCM,2021,1,11,0.77,Industrials,Specialty Business Services,33150000.0,6.42,N/A,5.03,N/A,0.0,32.2926
DATA Communications Management Corp.,DCM,2021,1,12,0.77,Industrials,Specialty Business Services,33150000.0,6.42,N/A,5.03,N/A,0.0,32.2926
DATA Communications Management Corp.,DCM,2021,1,13,0.77,Industrials,Specialty Business Services,33150000.0,6.42,N/A,5.03,N/A,0.0,32.2926
DATA Communications Management Corp.,DCM,2021,1,14,0.74,Industrials,Specialty Business Services,31850000.0,6.17,N/A,4.84,N/A,0.0,29.8628
DATA Communications Management Corp.,DCM,2021,1,15,0.7,Industrials,Specialty Business Services,30130000.0,5.83,N/A,4.58,N/A,0.0,26.7014
DATA Communications Management Corp.,DCM,2021,1,18,0.69,Industrials,Specialty Business Services,29700000.0,5.75,N/A,4.51,N/A,0.0,25.932499999999997
DATA Communications Management Corp.,DCM,2021,1,19,0.66,Industrials,Specialty Business Services,28410000.0,5.5,N/A,4.31,N/A,0.0,23.705
DATA Communications Management Corp.,DCM,2021,1,20,0.78,Industrials,Specialty Business Services,33580000.0,6.5,N/A,5.1,N/A,0.0,33.15
DATA Communications Management Corp.,DCM,2021,1,21,0.88,Industrials,Specialty Business Services,37880000.0,7.33,N/A,5.75,N/A,0.0,42.1475
DATA Communications Management Corp.,DCM,2021,1,22,0.99,Industrials,Specialty Business Services,42620000.0,8.25,N/A,6.47,N/A,0.0,53.3775
DATA Communications Management Corp.,DCM,2021,1,25,1.1,Industrials,Specialty Business Services,47350000.0,9.17,N/A,7.19,N/A,0.0,65.9323
DATA Communications Management Corp.,DCM,2021,1,26,1.06,Industrials,Specialty Business Services,45630000.0,8.83,N/A,6.93,N/A,0.0,61.1919
DATA Communications Management Corp.,DCM,2021,1,27,0.95,Industrials,Specialty Business Services,40890000.0,7.92,N/A,6.21,N/A,0.0,49.1832
DATA Communications Management Corp.,DCM,2021,1,28,0.97,Industrials,Specialty Business Services,41760000.0,8.08,N/A,6.34,N/A,0.0,51.227199999999996
DATA Communications Management Corp.,DCM,2021,1,29,0.97,Industrials,Specialty Business Services,41760000.0,8.08,N/A,6.34,N/A,0.0,51.227199999999996
DATA Communications Management Corp.,DCM,2021,2,1,0.88,Industrials,Specialty Business Services,37880000.0,7.33,N/A,5.75,N/A,0.0,42.1475
DATA Communications Management Corp.,DCM,2021,2,2,0.92,Industrials,Specialty Business Services,39600000.0,7.67,N/A,6.01,N/A,0.0,46.0967
DATA Communications Management Corp.,DCM,2021,2,3,0.92,Industrials,Specialty Business Services,39600000.0,7.67,N/A,6.01,N/A,0.0,46.0967
DATA Communications Management Corp.,DCM,2021,2,4,0.87,Industrials,Specialty Business Services,37450000.0,7.25,N/A,5.69,N/A,0.0,41.252500000000005
DATA Communications Management Corp.,DCM,2021,2,5,0.91,Industrials,Specialty Business Services,39170000.0,7.58,N/A,5.95,N/A,0.0,45.101
DATA Communications Management Corp.,DCM,2021,2,8,0.86,Industrials,Specialty Business Services,37020000.0,7.17,N/A,5.62,N/A,0.0,40.2954
DATA Communications Management Corp.,DCM,2021,2,9,0.84,Industrials,Specialty Business Services,36160000.0,7.0,N/A,5.49,N/A,0.0,38.43
DATA Communications Management Corp.,DCM,2021,2,10,0.84,Industrials,Specialty Business Services,36160000.0,7.0,N/A,5.49,N/A,0.0,38.43
DATA Communications Management Corp.,DCM,2021,2,11,0.86,Industrials,Specialty Business Services,37020000.0,7.17,N/A,5.62,N/A,0.0,40.2954
DATA Communications Management Corp.,DCM,2021,2,12,0.86,Industrials,Specialty Business Services,37020000.0,7.17,N/A,5.62,N/A,0.0,40.2954
DATA Communications Management Corp.,DCM,2021,2,16,0.93,Industrials,Specialty Business Services,40030000.0,7.75,N/A,6.08,N/A,0.0,47.12
DATA Communications Management Corp.,DCM,2021,2,17,0.89,Industrials,Specialty Business Services,38310000.0,7.42,N/A,5.82,N/A,0.0,43.184400000000004
