Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Dividend 15 Split Corp. II,DF,2021,1,6,3.09,Financial Services,Asset Management,43170000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,7,3.17,Financial Services,Asset Management,44290000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,8,3.15,Financial Services,Asset Management,44010000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,11,3.11,Financial Services,Asset Management,43450000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,12,3.16,Financial Services,Asset Management,44150000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,13,3.14,Financial Services,Asset Management,43870000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,14,3.22,Financial Services,Asset Management,44980000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,15,3.25,Financial Services,Asset Management,45400000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,18,3.33,Financial Services,Asset Management,46520000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,19,3.33,Financial Services,Asset Management,46520000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,20,3.36,Financial Services,Asset Management,46940000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,21,3.28,Financial Services,Asset Management,45820000.0,N/A,N/A,N/A,N/A,N/A,N/A
Dividend 15 Split Corp. II,DF,2021,1,22,3.17,Financial Services,Asset Management,44290000.0,N/A,N/A,N/A,N/A,N/A,N/A
