Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Dividend 15 Split Corp.,DFN,2021,1,6,6.81,Financial Services,Asset Management,364370000.0,N/A,N/A,1.44,0.1765,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,7,6.86,Financial Services,Asset Management,367050000.0,N/A,N/A,1.45,0.17620000000000002,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,8,6.87,Financial Services,Asset Management,367580000.0,N/A,N/A,1.45,0.17489999999999997,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,11,6.83,Financial Services,Asset Management,365440000.0,N/A,N/A,1.45,0.17489999999999997,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,12,6.86,Financial Services,Asset Management,367050000.0,N/A,N/A,1.45,0.1747,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,13,6.89,Financial Services,Asset Management,368650000.0,N/A,N/A,1.46,0.17489999999999997,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,14,7.01,Financial Services,Asset Management,375070000.0,N/A,N/A,1.48,0.17420000000000002,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,15,7.08,Financial Services,Asset Management,378820000.0,N/A,N/A,1.5,0.17120000000000002,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,18,7.23,Financial Services,Asset Management,386850000.0,N/A,N/A,1.53,0.17120000000000002,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,19,7.23,Financial Services,Asset Management,386850000.0,N/A,N/A,1.53,0.16949999999999998,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,20,7.3,Financial Services,Asset Management,390590000.0,N/A,N/A,1.54,0.166,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,21,7.32,Financial Services,Asset Management,391660000.0,N/A,N/A,1.55,0.16440000000000002,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,22,7.3,Financial Services,Asset Management,390590000.0,N/A,N/A,1.54,0.16390000000000002,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,25,7.3,Financial Services,Asset Management,390590000.0,N/A,N/A,1.54,0.16390000000000002,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,26,7.31,Financial Services,Asset Management,391130000.0,N/A,N/A,1.55,0.16440000000000002,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,27,7.25,Financial Services,Asset Management,387920000.0,N/A,N/A,1.53,0.1642,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,28,7.23,Financial Services,Asset Management,386850000.0,N/A,N/A,1.53,0.1655,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,1,29,7.06,Financial Services,Asset Management,377750000.0,N/A,N/A,1.49,0.166,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,1,7.14,Financial Services,Asset Management,382030000.0,N/A,N/A,1.51,0.166,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,2,7.17,Financial Services,Asset Management,383640000.0,N/A,N/A,1.52,0.17,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,3,7.19,Financial Services,Asset Management,384710000.0,N/A,N/A,1.52,0.1674,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,4,7.17,Financial Services,Asset Management,383640000.0,N/A,N/A,1.52,0.16690000000000002,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,5,7.14,Financial Services,Asset Management,382030000.0,N/A,N/A,1.51,0.1674,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,8,7.2,Financial Services,Asset Management,385240000.0,N/A,N/A,1.52,0.1674,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,9,7.23,Financial Services,Asset Management,386850000.0,N/A,N/A,1.53,0.1681,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,10,6.87,Financial Services,Asset Management,367580000.0,N/A,N/A,1.45,0.166,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,11,6.87,Financial Services,Asset Management,367580000.0,N/A,N/A,1.45,0.1747,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,12,6.93,Financial Services,Asset Management,370790000.0,N/A,N/A,1.47,0.1747,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,16,6.95,Financial Services,Asset Management,371860000.0,N/A,N/A,1.47,0.1747,N/A,N/A
Dividend 15 Split Corp.,DFN,2021,2,17,6.9,Financial Services,Asset Management,369190000.0,N/A,N/A,1.46,0.1732,N/A,N/A
