Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Candente Copper Corp.,DNT,2021,1,6,0.24,Basic Materials,Copper,58440000.0,N/A,N/A,0.91,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,7,0.25,Basic Materials,Copper,60880000.0,N/A,N/A,0.95,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,8,0.235,Basic Materials,Copper,57220000.0,N/A,N/A,0.89,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,11,0.225,Basic Materials,Copper,54790000.0,N/A,N/A,0.85,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,12,0.23,Basic Materials,Copper,56010000.0,N/A,N/A,0.87,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,13,0.225,Basic Materials,Copper,54790000.0,N/A,N/A,0.85,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,14,0.205,Basic Materials,Copper,49920000.0,N/A,N/A,0.78,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,15,0.21,Basic Materials,Copper,51140000.0,N/A,N/A,0.8,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,18,0.205,Basic Materials,Copper,49920000.0,N/A,N/A,0.78,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,19,0.21,Basic Materials,Copper,51140000.0,N/A,N/A,0.8,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,20,0.2,Basic Materials,Copper,48700000.0,N/A,N/A,0.76,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,21,0.2,Basic Materials,Copper,48700000.0,N/A,N/A,0.76,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,22,0.195,Basic Materials,Copper,47480000.0,N/A,N/A,0.74,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,25,0.18,Basic Materials,Copper,43830000.0,N/A,N/A,0.68,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,26,0.18,Basic Materials,Copper,43830000.0,N/A,N/A,0.68,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,27,0.17,Basic Materials,Copper,41400000.0,N/A,N/A,0.64,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,28,0.185,Basic Materials,Copper,45050000.0,N/A,N/A,0.7,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,1,29,0.18,Basic Materials,Copper,45160000.0,N/A,N/A,0.68,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,1,0.18,Basic Materials,Copper,45160000.0,N/A,N/A,0.68,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,2,0.185,Basic Materials,Copper,46420000.0,N/A,N/A,0.7,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,3,0.195,Basic Materials,Copper,48920000.0,N/A,N/A,0.74,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,4,0.185,Basic Materials,Copper,46420000.0,N/A,N/A,0.7,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,5,0.18,Basic Materials,Copper,45160000.0,N/A,N/A,0.68,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,8,0.19,Basic Materials,Copper,47670000.0,N/A,N/A,0.72,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,9,0.195,Basic Materials,Copper,48920000.0,N/A,N/A,0.74,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,9,0.195,Basic Materials,Copper,48920000.0,N/A,N/A,0.74,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,10,0.19,Basic Materials,Copper,47670000.0,N/A,N/A,0.72,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,11,0.19,Basic Materials,Copper,47670000.0,N/A,N/A,0.72,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,12,0.19,Basic Materials,Copper,47670000.0,N/A,N/A,0.72,N/A,0.0,N/A
Candente Copper Corp.,DNT,2021,2,16,0.195,Basic Materials,Copper,48920000.0,N/A,N/A,0.74,N/A,0.0,N/A
