Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Dollarama Inc.,DOL,2021,1,6,52.99,Consumer Defensive,Discount Stores,16490000000,29.08,1.99,62.86,0.0035,0.0967,1821.593224
Dollarama Inc.,DOL,2021,1,7,52.98,Consumer Defensive,Discount Stores,16490000000,29.08,1.98,62.85,0.0035,0.0967,1821.303438
Dollarama Inc.,DOL,2021,1,8,53.47,Consumer Defensive,Discount Stores,16640000000,29.35,1.98,63.43,0.0035,0.0967,1855.177379
Dollarama Inc.,DOL,2021,1,11,54.01,Consumer Defensive,Discount Stores,16810000000,29.64,1.98,64.07,0.0035,0.0967,1892.41136
Dollarama Inc.,DOL,2021,1,12,53.68,Consumer Defensive,Discount Stores,16700000000,29.46,1.98,63.68,0.0035,0.0967,1869.469656
Dollarama Inc.,DOL,2021,1,13,53.07,Consumer Defensive,Discount Stores,16510000000,29.13,1.98,62.95,0.0035,0.0967,1827.337818
Dollarama Inc.,DOL,2021,1,14,51.93,Consumer Defensive,Discount Stores,16160000000,28.5,1.98,61.6,0.0035,0.0967,1749.476831
Dollarama Inc.,DOL,2021,1,15,51.37,Consumer Defensive,Discount Stores,15990000000,28.19,1.98,60.94,0.0036,0.0967,1711.736349
Dollarama Inc.,DOL,2021,1,18,51.24,Consumer Defensive,Discount Stores,15940000000,28.12,1.92,60.78,0.0037,0.0967,1702.833117
Dollarama Inc.,DOL,2021,1,19,51.24,Consumer Defensive,Discount Stores,15940000000,28.12,1.92,60.78,0.0037,0.0967,1702.833117
Dollarama Inc.,DOL,2021,1,20,50.86,Consumer Defensive,Discount Stores,15830000000,27.91,1.92,60.33,0.0037,0.0967,1677.603168
Dollarama Inc.,DOL,2021,1,21,50.8,Consumer Defensive,Discount Stores,15810000000,27.88,1.9,60.26,0.0037,0.0967,1673.855535
Dollarama Inc.,DOL,2021,1,22,51.57,Consumer Defensive,Discount Stores,16050000000,28.3,2.01,61.17,0.0037,0.0967,1724.729501
Dollarama Inc.,DOL,2021,1,25,52.54,Consumer Defensive,Discount Stores,16350000000,28.84,2.01,62.33,0.0036,0.0967,1791.149063
Dollarama Inc.,DOL,2021,1,26,51.68,Consumer Defensive,Discount Stores,16080000000,28.36,2.01,61.3,0.0036,0.0967,1732.231965
Dollarama Inc.,DOL,2021,1,27,50.62,Consumer Defensive,Discount Stores,15750000000,27.78,2.01,60.05,0.0036,0.0967,1662.205062
Dollarama Inc.,DOL,2021,1,28,51.35,Consumer Defensive,Discount Stores,15980000000,28.18,2.01,60.91,0.0037,0.0967,1710.116369
Dollarama Inc.,DOL,2021,1,29,49.99,Consumer Defensive,Discount Stores,15560000000,27.44,2.01,59.3,0.0038,0.0967,1621.032078
Dollarama Inc.,DOL,2021,2,1,50.76,Consumer Defensive,Discount Stores,15800000000,27.86,2.01,60.21,0.0038,0.0967,1671.100418
Dollarama Inc.,DOL,2021,2,2,51.29,Consumer Defensive,Discount Stores,15960000000,28.15,2.01,60.84,0.0037,0.0967,1706.332569
Dollarama Inc.,DOL,2021,2,3,50.83,Consumer Defensive,Discount Stores,15820000000,27.9,2.01,60.3,0.0037,0.0967,1676.168178
Dollarama Inc.,DOL,2021,2,4,51.18,Consumer Defensive,Discount Stores,15930000000,28.09,2.01,60.71,0.0037,0.0967,1699.057388
Dollarama Inc.,DOL,2021,2,5,50.43,Consumer Defensive,Discount Stores,15690000000,27.68,2.01,59.82,0.0037,0.0967,1649.713659
Dollarama Inc.,DOL,2021,2,8,50.32,Consumer Defensive,Discount Stores,15660000000,27.62,2.01,59.69,0.0037,0.0967,1642.560327
Dollarama Inc.,DOL,2021,2,9,50.1,Consumer Defensive,Discount Stores,15590000000,27.5,2.01,59.43,0.0037,0.0967,1628.300289
Dollarama Inc.,DOL,2021,2,9,50.1,Consumer Defensive,Discount Stores,15590000000,27.5,2.01,59.43,0.0037,0.0967,1628.300289
Dollarama Inc.,DOL,2021,2,10,49.4,Consumer Defensive,Discount Stores,15370000000,27.11,2.02,58.6,0.0038,0.0967,1582.631998
Dollarama Inc.,DOL,2021,2,11,48.85,Consumer Defensive,Discount Stores,15200000000,26.81,2.02,57.95,0.0038,0.0967,1547.75802
Dollarama Inc.,DOL,2021,2,12,48.74,Consumer Defensive,Discount Stores,15170000000,26.75,2.02,57.82,0.0038,0.0967,1540.829847
Dollarama Inc.,DOL,2021,2,16,48.1,Consumer Defensive,Discount Stores,14970000000,26.4,2.04,57.06,0.0039,0.0967,1500.531925
Dollarama Inc.,DOL,2021,2,17,47.85,Consumer Defensive,Discount Stores,14890000000,26.26,2.04,56.76,0.0039,0.0967,1484.727164
Dollarama Inc.,DOL,2021,2,18,48.54,Consumer Defensive,Discount Stores,15100000000,26.64,2.04,57.58,0.0039,0.0967,1527.972109
Dollarama Inc.,DOL,2021,2,19,48.2,Consumer Defensive,Discount Stores,15000000000,26.45,2.04,57.18,0.0039,0.0967,1506.535512
Dollarama Inc.,DOL,2021,2,22,47.15,Consumer Defensive,Discount Stores,14670000000,25.88,2.04,55.93,0.0039,0.0967,1441.845204
Dollarama Inc.,DOL,2021,2,23,47.21,Consumer Defensive,Discount Stores,14690000000,25.91,2.04,56,0.004,0.0967,1445.179283
Dollarama Inc.,DOL,2021,2,24,47.2,Consumer Defensive,Discount Stores,14690000000,25.91,2.04,55.99,0.004,0.0967,1444.921215
Dollarama Inc.,DOL,2021,2,25,47.23,Consumer Defensive,Discount Stores,14700000000.0,25.92,2.04,56.03,0.004,0.0967,1446.5115537848606
Dollarama Inc.,DOL,2021,2,26,48.43,Consumer Defensive,Discount Stores,15070000000.0,26.58,2.04,57.45,0.004,0.0967,1520.9372509960158
Dollarama Inc.,DOL,2021,3,1,48.98,Consumer Defensive,Discount Stores,15240000000.0,26.88,2.04,58.1,0.0039000000000000003,0.0967,1555.6609224026297
