Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
BRP Inc.,DOO,2021,1,6,83.46,Consumer Cyclical,Recreational Vehicles,7340000000.0,34.07,1.19,N/A,0.0054,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,7,84.19,Consumer Cyclical,Recreational Vehicles,7400000000.0,34.36,1.19,N/A,0.0053,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,8,85.44,Consumer Cyclical,Recreational Vehicles,7510000000.0,34.87,1.19,N/A,0.0053,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,11,85.28,Consumer Cyclical,Recreational Vehicles,7500000000.0,34.81,1.19,N/A,0.0052,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,12,83.87,Consumer Cyclical,Recreational Vehicles,7370000000.0,34.23,1.19,N/A,0.0051,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,13,81.59,Consumer Cyclical,Recreational Vehicles,7170000000.0,33.3,1.19,N/A,0.0052,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,14,82.9,Consumer Cyclical,Recreational Vehicles,7290000000.0,33.84,1.19,N/A,0.0054,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,15,87.91,Consumer Cyclical,Recreational Vehicles,7730000000.0,35.88,1.17,N/A,0.0054,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,18,88.45,Consumer Cyclical,Recreational Vehicles,7780000000.0,36.1,1.17,N/A,0.0053,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,19,89.71,Consumer Cyclical,Recreational Vehicles,7890000000.0,36.62,1.17,N/A,0.005,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,20,90.86,Consumer Cyclical,Recreational Vehicles,7990000000.0,37.09,1.17,N/A,0.0049,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,21,89.32,Consumer Cyclical,Recreational Vehicles,7850000000.0,36.46,1.17,N/A,0.0048,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,22,87.38,Consumer Cyclical,Recreational Vehicles,7680000000.0,35.67,1.17,N/A,0.0048,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,25,87.65,Consumer Cyclical,Recreational Vehicles,7710000000.0,35.78,1.17,N/A,0.0049,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,26,88.2,Consumer Cyclical,Recreational Vehicles,7750000000.0,36.0,1.23,N/A,0.005,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,27,86.18,Consumer Cyclical,Recreational Vehicles,7580000000.0,35.18,1.23,N/A,0.005,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,28,86.66,Consumer Cyclical,Recreational Vehicles,7620000000.0,35.37,1.23,N/A,0.0051,0.041299999999999996,N/A
BRP Inc.,DOO,2021,1,29,84.17,Consumer Cyclical,Recreational Vehicles,7400000000.0,34.36,1.23,N/A,0.0051,0.041299999999999996,N/A
BRP Inc.,DOO,2021,2,1,87.72,Consumer Cyclical,Recreational Vehicles,7710000000.0,35.8,1.23,N/A,0.0051,0.041299999999999996,N/A
BRP Inc.,DOO,2021,2,2,91.0,Consumer Cyclical,Recreational Vehicles,8000000000.0,37.14,1.23,N/A,0.0052,0.041299999999999996,N/A
