Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Enterprise Group Inc.,E,2021,1,6,0.22,Industrials,Engineering & Construction,10950000.0,N/A,N/A,0.29,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,7,0.22,Industrials,Engineering & Construction,10950000.0,N/A,N/A,0.29,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,8,0.215,Industrials,Engineering & Construction,10700000.0,N/A,N/A,0.29,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,11,0.21,Industrials,Engineering & Construction,10450000.0,N/A,N/A,0.28,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,12,0.21,Industrials,Engineering & Construction,10450000.0,N/A,N/A,0.28,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,13,0.215,Industrials,Engineering & Construction,10700000.0,N/A,N/A,0.29,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,14,0.22,Industrials,Engineering & Construction,10950000.0,N/A,N/A,0.29,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,15,0.235,Industrials,Engineering & Construction,11700000.0,N/A,N/A,0.31,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,18,0.22,Industrials,Engineering & Construction,10950000.0,N/A,N/A,0.29,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,19,0.225,Industrials,Engineering & Construction,11200000.0,N/A,N/A,0.3,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,20,0.22,Industrials,Engineering & Construction,10950000.0,N/A,N/A,0.29,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,21,0.22,Industrials,Engineering & Construction,10950000.0,N/A,N/A,0.29,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,22,0.225,Industrials,Engineering & Construction,11200000.0,N/A,N/A,0.3,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,25,0.205,Industrials,Engineering & Construction,10200000.0,N/A,N/A,0.27,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,26,0.22,Industrials,Engineering & Construction,10950000.0,N/A,N/A,0.29,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,27,0.21,Industrials,Engineering & Construction,10450000.0,N/A,N/A,0.28,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,28,0.21,Industrials,Engineering & Construction,10450000.0,N/A,N/A,0.28,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,1,29,0.2,Industrials,Engineering & Construction,9960000.0,N/A,N/A,0.27,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,2,1,0.2,Industrials,Engineering & Construction,9960000.0,N/A,N/A,0.27,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,2,2,0.195,Industrials,Engineering & Construction,9710000.0,N/A,N/A,0.26,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,2,3,0.205,Industrials,Engineering & Construction,10200000.0,N/A,N/A,0.27,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,2,4,0.2,Industrials,Engineering & Construction,9960000.0,N/A,N/A,0.27,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,2,5,0.21,Industrials,Engineering & Construction,10450000.0,N/A,N/A,0.28,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,2,8,0.2,Industrials,Engineering & Construction,9960000.0,N/A,N/A,0.27,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,2,9,0.2,Industrials,Engineering & Construction,9960000.0,N/A,N/A,0.27,N/A,0.0,N/A
Enterprise Group Inc.,E,2021,2,10,0.2,Industrials,Engineering & Construction,9960000.0,N/A,N/A,0.27,N/A,0.0,N/A
