Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Spectral Medical Inc.,EDT,2021,1,6,0.43,Healthcare,Diagnostics & Research,101740000.0,N/A,N/A,71.67,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,7,0.445,Healthcare,Diagnostics & Research,105290000.0,N/A,N/A,74.17,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,8,0.44,Healthcare,Diagnostics & Research,104110000.0,N/A,N/A,73.33,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,11,0.435,Healthcare,Diagnostics & Research,102920000.0,N/A,N/A,72.5,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,12,0.425,Healthcare,Diagnostics & Research,100560000.0,N/A,N/A,70.83,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,13,0.42,Healthcare,Diagnostics & Research,99370000.0,N/A,N/A,70.0,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,14,0.405,Healthcare,Diagnostics & Research,95830000.0,N/A,N/A,67.5,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,15,0.4,Healthcare,Diagnostics & Research,94640000.0,N/A,N/A,66.67,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,18,0.41,Healthcare,Diagnostics & Research,97010000.0,N/A,N/A,68.33,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,19,0.4,Healthcare,Diagnostics & Research,94640000.0,N/A,N/A,66.67,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,20,0.405,Healthcare,Diagnostics & Research,95830000.0,N/A,N/A,67.5,N/A,0.0,N/A
Spectral Medical Inc.,EDT,2021,1,21,0.41,Healthcare,Diagnostics & Research,97010000.0,N/A,N/A,68.33,N/A,0.0,N/A
