Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,6,4.4,Communication Services,Electronic Gaming & Multimedia,453680000.0,N/A,N/A,3.07,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,7,4.41,Communication Services,Electronic Gaming & Multimedia,454710000.0,N/A,N/A,3.08,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,8,4.39,Communication Services,Electronic Gaming & Multimedia,452650000.0,N/A,N/A,3.06,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,11,4.49,Communication Services,Electronic Gaming & Multimedia,462960000.0,N/A,N/A,3.13,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,12,4.52,Communication Services,Electronic Gaming & Multimedia,466050000.0,N/A,N/A,3.15,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,13,4.62,Communication Services,Electronic Gaming & Multimedia,476360000.0,N/A,N/A,3.22,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,14,5.2,Communication Services,Electronic Gaming & Multimedia,536169999.99999994,N/A,N/A,3.63,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,15,5.41,Communication Services,Electronic Gaming & Multimedia,557820000.0,N/A,N/A,3.78,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,18,6.02,Communication Services,Electronic Gaming & Multimedia,620720000.0,N/A,N/A,4.2,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,19,7.02,Communication Services,Electronic Gaming & Multimedia,723830000.0,N/A,N/A,4.9,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,20,6.1,Communication Services,Electronic Gaming & Multimedia,628960000.0,N/A,N/A,4.26,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,21,6.29,Communication Services,Electronic Gaming & Multimedia,648560000.0,N/A,N/A,4.39,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,22,6.58,Communication Services,Electronic Gaming & Multimedia,683450000.0,N/A,N/A,4.59,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,25,6.64,Communication Services,Electronic Gaming & Multimedia,689680000.0,N/A,N/A,4.63,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,26,6.55,Communication Services,Electronic Gaming & Multimedia,680340000.0,N/A,N/A,4.57,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,27,6.25,Communication Services,Electronic Gaming & Multimedia,649170000.0,N/A,N/A,4.36,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,28,6.36,Communication Services,Electronic Gaming & Multimedia,660600000.0,N/A,N/A,4.44,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,1,29,6.0,Communication Services,Electronic Gaming & Multimedia,623210000.0,N/A,N/A,4.19,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,2,1,6.23,Communication Services,Electronic Gaming & Multimedia,647100000.0,N/A,N/A,4.35,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,2,2,6.18,Communication Services,Electronic Gaming & Multimedia,641900000.0,N/A,N/A,4.31,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,2,3,6.47,Communication Services,Electronic Gaming & Multimedia,672030000.0,N/A,N/A,4.52,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,2,4,6.45,Communication Services,Electronic Gaming & Multimedia,669950000.0,N/A,N/A,4.5,N/A,0.0,N/A
Enthusiast Gaming Holdings Inc.,EGLX,2021,2,5,6.55,Communication Services,Electronic Gaming & Multimedia,680340000.0,N/A,N/A,4.57,N/A,0.0,N/A
