Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Eldorado Gold Corporation,ELD,2021,1,6,17.92,Basic Materials,Gold,3130000000.0,17.87,0.09,0.87,N/A,0.0,15.5469
Eldorado Gold Corporation,ELD,2021,1,7,18.05,Basic Materials,Gold,3160000000.0,18.0,0.09,0.88,N/A,0.0,15.84
Eldorado Gold Corporation,ELD,2021,1,8,16.67,Basic Materials,Gold,2910000000.0,16.62,0.09,0.81,N/A,0.0,13.462200000000001
Eldorado Gold Corporation,ELD,2021,1,11,15.97,Basic Materials,Gold,2790000000.0,15.92,0.08,0.77,N/A,0.0,12.2584
Eldorado Gold Corporation,ELD,2021,1,12,15.59,Basic Materials,Gold,2730000000.0,15.54,0.08,0.76,N/A,0.0,11.8104
Eldorado Gold Corporation,ELD,2021,1,13,15.4,Basic Materials,Gold,2690000000.0,15.35,0.08,0.75,N/A,0.0,11.5125
Eldorado Gold Corporation,ELD,2021,1,14,15.18,Basic Materials,Gold,2650000000.0,15.13,0.08,0.74,N/A,0.0,11.196200000000001
Eldorado Gold Corporation,ELD,2021,1,15,14.36,Basic Materials,Gold,2510000000.0,14.32,0.08,0.7,N/A,0.0,10.024
Eldorado Gold Corporation,ELD,2021,1,18,14.37,Basic Materials,Gold,2510000000.0,14.33,0.07,0.7,N/A,0.0,10.030999999999999
Eldorado Gold Corporation,ELD,2021,1,19,14.42,Basic Materials,Gold,2520000000.0,14.38,0.07,0.7,N/A,0.0,10.066
Eldorado Gold Corporation,ELD,2021,1,20,14.77,Basic Materials,Gold,2580000000.0,14.73,0.07,0.72,N/A,0.0,10.605599999999999
Eldorado Gold Corporation,ELD,2021,1,21,14.3,Basic Materials,Gold,2500000000.0,14.26,0.07,0.69,N/A,0.0,9.8394
Eldorado Gold Corporation,ELD,2021,1,22,14.17,Basic Materials,Gold,2480000000.0,14.13,0.07,0.69,N/A,0.0,9.749699999999999
Eldorado Gold Corporation,ELD,2021,1,25,13.72,Basic Materials,Gold,2400000000.0,13.68,0.08,0.67,N/A,0.0,9.1656
Eldorado Gold Corporation,ELD,2021,1,26,13.74,Basic Materials,Gold,2400000000.0,13.7,0.07,0.67,N/A,0.0,9.179
Eldorado Gold Corporation,ELD,2021,1,27,13.61,Basic Materials,Gold,2380000000.0,13.57,0.07,0.66,N/A,0.0,8.9562
Eldorado Gold Corporation,ELD,2021,1,28,14.27,Basic Materials,Gold,2490000000.0,14.23,0.07,0.69,N/A,0.0,9.8187
Eldorado Gold Corporation,ELD,2021,1,29,14.35,Basic Materials,Gold,2510000000.0,14.31,0.07,0.7,N/A,0.0,10.017
Eldorado Gold Corporation,ELD,2021,2,1,14.87,Basic Materials,Gold,2600000000.0,14.83,0.07,0.72,N/A,0.0,10.6776
Eldorado Gold Corporation,ELD,2021,2,2,14.47,Basic Materials,Gold,2530000000.0,14.43,0.07,0.7,N/A,0.0,10.100999999999999
Eldorado Gold Corporation,ELD,2021,2,3,14.83,Basic Materials,Gold,2590000000.0,14.79,0.07,0.72,N/A,0.0,10.6488
