Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Economic Investment Trust Limited,EVT,2021,1,6,110.0,N/A,N/A,617710000.0,N/A,N/A,0.76,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,7,110.75,N/A,N/A,621920000.0,N/A,N/A,0.76,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,8,112.0,N/A,N/A,628940000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,8,112.0,N/A,N/A,628940000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,8,112.0,N/A,N/A,628940000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,13,110.78,N/A,N/A,622090000.0,N/A,N/A,0.76,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,14,112.0,N/A,N/A,628940000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,15,111.01,N/A,N/A,623380000.0,N/A,N/A,0.76,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,15,111.01,N/A,N/A,623380000.0,N/A,N/A,0.76,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,15,111.01,N/A,N/A,623380000.0,N/A,N/A,0.76,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,15,111.01,N/A,N/A,623380000.0,N/A,N/A,0.76,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,21,111.0,N/A,N/A,623320000.0,N/A,N/A,0.76,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,22,111.0,N/A,N/A,623320000.0,N/A,N/A,0.76,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,25,114.2,N/A,N/A,641290000.0,N/A,N/A,0.79,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,25,114.2,N/A,N/A,641290000.0,N/A,N/A,0.79,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,25,114.2,N/A,N/A,641290000.0,N/A,N/A,0.79,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,28,114.2,N/A,N/A,641290000.0,N/A,N/A,0.79,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,29,111.25,N/A,N/A,624730000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,29,111.25,N/A,N/A,624730000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,1,29,111.25,N/A,N/A,624730000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,2,109.71,N/A,N/A,616080000.0,N/A,N/A,0.75,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,3,112.31,N/A,N/A,630680000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,3,112.31,N/A,N/A,630680000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,3,112.31,N/A,N/A,630680000.0,N/A,N/A,0.77,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,8,115.0,N/A,N/A,645790000.0,N/A,N/A,0.79,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,8,115.0,N/A,N/A,645790000.0,N/A,N/A,0.79,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,8,115.0,N/A,N/A,645790000.0,N/A,N/A,0.79,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,10,115.0,N/A,N/A,645790000.0,N/A,N/A,0.79,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,11,116.6,N/A,N/A,654770000.0,N/A,N/A,0.8,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,11,116.6,N/A,N/A,654770000.0,N/A,N/A,0.8,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,16,116.85,N/A,N/A,656180000.0,N/A,N/A,0.8,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,17,115.25,N/A,N/A,647190000.0,N/A,N/A,0.79,N/A,N/A,N/A
Economic Investment Trust Limited,EVT,2021,2,17,115.25,N/A,N/A,647190000.0,21.42,N/A,0.7,N/A,N/A,14.994
Economic Investment Trust Limited,EVT,2021,2,19,115.0,N/A,N/A,645790000.0,21.38,N/A,0.7,N/A,N/A,14.965999999999998
Economic Investment Trust Limited,EVT,2021,2,19,115.0,N/A,N/A,645790000.0,21.38,N/A,0.7,N/A,N/A,14.965999999999998
Economic Investment Trust Limited,EVT,2021,2,19,115.0,N/A,N/A,645790000.0,21.38,N/A,0.7,N/A,N/A,14.965999999999998
Economic Investment Trust Limited,EVT,2021,2,24,114.95,N/A,N/A,645510000.0,21.37,N/A,0.7,N/A,N/A,14.959
Economic Investment Trust Limited,EVT,2021,2,25,113.0,N/A,N/A,634560000.0,21.01,N/A,0.69,N/A,N/A,14.4969
Economic Investment Trust Limited,EVT,2021,2,26,111.99,N/A,N/A,628880000.0,20.82,N/A,0.68,N/A,N/A,14.1576
Economic Investment Trust Limited,EVT,2021,3,1,112.0,N/A,N/A,628940000.0,20.83,N/A,0.68,N/A,N/A,14.1644
Economic Investment Trust Limited,EVT,2021,3,2,110.6,N/A,N/A,621080000.0,20.57,N/A,0.67,N/A,N/A,13.7819
Economic Investment Trust Limited,EVT,2021,3,2,110.6,N/A,N/A,621080000.0,20.57,N/A,0.67,N/A,N/A,13.7819
Economic Investment Trust Limited,EVT,2021,3,2,110.6,N/A,N/A,621080000.0,20.57,N/A,0.67,N/A,N/A,13.7819
Economic Investment Trust Limited,EVT,2021,3,5,115.0,N/A,N/A,645790000.0,21.38,N/A,0.7,N/A,N/A,14.965999999999998
Economic Investment Trust Limited,EVT,2021,3,8,114.0,N/A,N/A,640170000.0,21.2,N/A,0.7,N/A,N/A,14.839999999999998
Economic Investment Trust Limited,EVT,2021,3,8,114.0,N/A,N/A,640170000.0,21.2,N/A,0.7,N/A,N/A,14.839999999999998
