Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Foraco International SA,FAR,2021,1,6,0.54,Basic Materials,Other Industrial Metals & Mining,48490000.0,11.02,N/A,5.74,N/A,0.0,63.2548
Foraco International SA,FAR,2021,1,7,0.55,Basic Materials,Other Industrial Metals & Mining,49390000.0,11.22,N/A,5.85,N/A,0.0,65.637
Foraco International SA,FAR,2021,1,8,0.55,Basic Materials,Other Industrial Metals & Mining,49390000.0,11.22,N/A,5.85,N/A,0.0,65.637
Foraco International SA,FAR,2021,1,8,0.55,Basic Materials,Other Industrial Metals & Mining,49390000.0,11.22,N/A,5.85,N/A,0.0,65.637
Foraco International SA,FAR,2021,1,12,0.53,Basic Materials,Other Industrial Metals & Mining,47590000.0,10.82,N/A,5.64,N/A,0.0,61.0248
Foraco International SA,FAR,2021,1,12,0.53,Basic Materials,Other Industrial Metals & Mining,47590000.0,10.82,N/A,5.64,N/A,0.0,61.0248
Foraco International SA,FAR,2021,1,14,0.51,Basic Materials,Other Industrial Metals & Mining,45800000.0,10.41,N/A,5.43,N/A,0.0,56.5263
Foraco International SA,FAR,2021,1,15,0.5,Basic Materials,Other Industrial Metals & Mining,44900000.0,10.2,N/A,5.32,N/A,0.0,54.263999999999996
Foraco International SA,FAR,2021,1,15,0.5,Basic Materials,Other Industrial Metals & Mining,44900000.0,10.2,N/A,5.32,N/A,0.0,54.263999999999996
Foraco International SA,FAR,2021,1,19,0.5,Basic Materials,Other Industrial Metals & Mining,44900000.0,10.2,N/A,5.32,N/A,0.0,54.263999999999996
Foraco International SA,FAR,2021,1,20,0.5,Basic Materials,Other Industrial Metals & Mining,44900000.0,10.2,N/A,5.32,N/A,0.0,54.263999999999996
Foraco International SA,FAR,2021,1,20,0.5,Basic Materials,Other Industrial Metals & Mining,44900000.0,10.2,N/A,5.32,N/A,0.0,54.263999999999996
Foraco International SA,FAR,2021,1,22,0.5,Basic Materials,Other Industrial Metals & Mining,44900000.0,10.2,N/A,5.32,N/A,0.0,54.263999999999996
Foraco International SA,FAR,2021,1,25,0.5,Basic Materials,Other Industrial Metals & Mining,44900000.0,10.2,N/A,5.32,N/A,0.0,54.263999999999996
Foraco International SA,FAR,2021,1,26,0.49,Basic Materials,Other Industrial Metals & Mining,44000000.0,10.0,N/A,5.21,N/A,0.0,52.1
Foraco International SA,FAR,2021,1,26,0.49,Basic Materials,Other Industrial Metals & Mining,44000000.0,10.0,N/A,5.21,N/A,0.0,52.1
Foraco International SA,FAR,2021,1,28,0.495,Basic Materials,Other Industrial Metals & Mining,44450000.0,10.1,N/A,5.27,N/A,0.0,53.227
Foraco International SA,FAR,2021,1,28,0.495,Basic Materials,Other Industrial Metals & Mining,44450000.0,10.1,N/A,5.27,N/A,0.0,53.227
Foraco International SA,FAR,2021,2,1,0.52,Basic Materials,Other Industrial Metals & Mining,46690000.0,10.61,N/A,5.53,N/A,0.0,58.6733
Foraco International SA,FAR,2021,2,2,0.51,Basic Materials,Other Industrial Metals & Mining,45800000.0,10.41,N/A,5.43,N/A,0.0,56.5263
Foraco International SA,FAR,2021,2,3,0.5,Basic Materials,Other Industrial Metals & Mining,44900000.0,10.2,N/A,5.32,N/A,0.0,54.263999999999996
Foraco International SA,FAR,2021,2,3,0.5,Basic Materials,Other Industrial Metals & Mining,44900000.0,10.2,N/A,5.32,N/A,0.0,54.263999999999996
Foraco International SA,FAR,2021,2,5,0.55,Basic Materials,Other Industrial Metals & Mining,49390000.0,11.22,N/A,5.85,N/A,0.0,65.637
Foraco International SA,FAR,2021,2,8,0.52,Basic Materials,Other Industrial Metals & Mining,46690000.0,10.61,N/A,5.53,N/A,0.0,58.6733
Foraco International SA,FAR,2021,2,9,0.55,Basic Materials,Other Industrial Metals & Mining,49390000.0,11.22,N/A,5.85,N/A,0.0,65.637
Foraco International SA,FAR,2021,2,9,0.55,Basic Materials,Other Industrial Metals & Mining,49390000.0,11.22,N/A,5.85,N/A,0.0,65.637
