Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
First Capital Real Estate Investment Trust,FCR-UN,2021,1,6,14.1,Real Estate,REIT由etail,3090000000.0,19.64,N/A,0.73,0.06269999999999999,0.9806,13.49129575609297
First Capital Real Estate Investment Trust,FCR-UN,2021,1,7,14.27,Real Estate,REIT由etail,3130000000.0,19.87,N/A,0.74,0.061,0.9806,13.858435438265788
First Capital Real Estate Investment Trust,FCR-UN,2021,1,8,14.31,Real Estate,REIT由etail,3140000000.0,19.93,N/A,0.74,0.0603,0.9806,13.909459586909364
First Capital Real Estate Investment Trust,FCR-UN,2021,1,11,14.31,Real Estate,REIT由etail,3140000000.0,19.93,N/A,0.74,0.0601,0.9806,13.912083765682482
First Capital Real Estate Investment Trust,FCR-UN,2021,1,12,14.44,Real Estate,REIT由etail,3170000000.0,20.11,N/A,0.75,0.0601,0.9806,14.227431374398641
First Capital Real Estate Investment Trust,FCR-UN,2021,1,13,14.29,Real Estate,REIT由etail,3130000000.0,19.9,N/A,0.74,0.0596,0.9806,13.897697244243108
First Capital Real Estate Investment Trust,FCR-UN,2021,1,14,14.43,Real Estate,REIT由etail,3160000000.0,20.1,N/A,0.75,0.0302,0.9806,14.63308095515434
First Capital Real Estate Investment Trust,FCR-UN,2021,1,15,14.54,Real Estate,REIT由etail,3190000000.0,20.25,N/A,0.75,0.029900000000000003,0.9806,14.746577337605592
First Capital Real Estate Investment Trust,FCR-UN,2021,1,18,14.56,Real Estate,REIT由etail,3190000000.0,20.28,N/A,0.75,0.0297,0.9806,14.771292609497912
First Capital Real Estate Investment Trust,FCR-UN,2021,1,19,14.75,Real Estate,REIT由etail,3230000000.0,20.54,N/A,0.76,0.0297,0.9806,15.160143731183839
First Capital Real Estate Investment Trust,FCR-UN,2021,1,20,14.91,Real Estate,REIT由etail,3270000000.0,20.77,N/A,0.77,0.029300000000000003,0.9806,15.537646944525404
First Capital Real Estate Investment Trust,FCR-UN,2021,1,21,14.87,Real Estate,REIT由etail,3260000000.0,20.71,N/A,0.77,0.028999999999999998,0.9806,15.497278911564628
First Capital Real Estate Investment Trust,FCR-UN,2021,1,22,14.86,Real Estate,REIT由etail,3260000000.0,20.7,N/A,0.77,0.0291,0.9806,15.488290739481101
First Capital Real Estate Investment Trust,FCR-UN,2021,1,25,14.78,Real Estate,REIT由etail,3240000000.0,20.58,N/A,0.77,0.0291,0.9806,15.398503546788456
First Capital Real Estate Investment Trust,FCR-UN,2021,1,26,14.65,Real Estate,REIT由etail,3210000000.0,20.4,N/A,0.76,0.0292,0.9806,15.064127477652546
First Capital Real Estate Investment Trust,FCR-UN,2021,1,27,14.6,Real Estate,REIT由etail,3200000000.0,20.33,N/A,0.76,0.029500000000000002,0.9806,15.008062166100046
First Capital Real Estate Investment Trust,FCR-UN,2021,1,28,14.75,Real Estate,REIT由etail,3230000000.0,20.54,N/A,0.76,0.0296,0.9806,15.16161616161616
First Capital Real Estate Investment Trust,FCR-UN,2021,1,29,14.74,Real Estate,REIT由etail,3230000000.0,20.53,N/A,0.76,0.029300000000000003,0.9806,15.15865151073545
First Capital Real Estate Investment Trust,FCR-UN,2021,2,1,14.7,Real Estate,REIT由etail,3220000000.0,20.47,N/A,0.76,0.029300000000000003,0.9806,15.114349557952005
First Capital Real Estate Investment Trust,FCR-UN,2021,2,1,14.7,Real Estate,REIT由etail,3220000000.0,20.47,N/A,0.76,0.029300000000000003,0.9806,15.114349557952005
First Capital Real Estate Investment Trust,FCR-UN,2021,2,2,14.55,Real Estate,REIT由etail,3190000000.0,20.26,N/A,0.75,0.0294,0.9806,14.761025840295316
First Capital Real Estate Investment Trust,FCR-UN,2021,2,3,14.48,Real Estate,REIT由etail,3180000000.0,20.17,N/A,0.75,0.0297,0.9806,14.691172186073613
First Capital Real Estate Investment Trust,FCR-UN,2021,2,4,14.64,Real Estate,REIT由etail,3210000000.0,20.39,N/A,0.76,0.0297,0.9806,15.049431873361174
First Capital Real Estate Investment Trust,FCR-UN,2021,2,5,14.61,Real Estate,REIT由etail,3200000000.0,20.35,N/A,0.76,0.029500000000000002,0.9806,15.022826614861582
First Capital Real Estate Investment Trust,FCR-UN,2021,2,8,14.6,Real Estate,REIT由etail,3200000000.0,20.33,N/A,0.76,0.0296,0.9806,15.006604506604505
First Capital Real Estate Investment Trust,FCR-UN,2021,2,9,14.51,Real Estate,REIT由etail,3180000000.0,20.21,N/A,0.75,0.0296,0.9806,14.721736596736596
First Capital Real Estate Investment Trust,FCR-UN,2021,2,10,14.72,Real Estate,REIT由etail,3230000000.0,20.5,N/A,0.76,0.0298,0.9806,15.129151291512914
First Capital Real Estate Investment Trust,FCR-UN,2021,2,11,14.71,Real Estate,REIT由etail,3230000000.0,1225.83,N/A,0.76,0.029300000000000003,0.9806,905.1110463421741
First Capital Real Estate Investment Trust,FCR-UN,2021,2,12,14.85,Real Estate,REIT由etail,3260000000.0,1237.5,N/A,0.77,0.0294,69.7766,925.6605789780454
First Capital Real Estate Investment Trust,FCR-UN,2021,2,16,15.04,Real Estate,REIT由etail,3300000000.0,1253.33,N/A,0.78,0.0291,69.7766,949.9537459916432
First Capital Real Estate Investment Trust,FCR-UN,2021,2,17,14.99,Real Estate,REIT由etail,3290000000.0,1249.17,N/A,0.78,0.0287,69.7766,947.1688538932634
First Capital Real Estate Investment Trust,FCR-UN,2021,2,18,14.9,Real Estate,REIT由etail,3270000000.0,1241.67,N/A,0.77,0.0288,69.7766,929.3214424572318
First Capital Real Estate Investment Trust,FCR-UN,2021,2,19,14.92,Real Estate,REIT由etail,3270000000.0,1243.33,N/A,0.77,0.028999999999999998,69.7766,930.382993197279
First Capital Real Estate Investment Trust,FCR-UN,2021,2,22,15.42,Real Estate,REIT由etail,3380000000.0,1285.0,N/A,0.8,0.028999999999999998,69.7766,999.0281827016522
First Capital Real Estate Investment Trust,FCR-UN,2021,2,23,15.61,Real Estate,REIT由etail,3420000000.0,1300.83,N/A,0.81,0.027999999999999997,69.7766,1024.973054474708
First Capital Real Estate Investment Trust,FCR-UN,2021,2,24,15.82,Real Estate,REIT由etail,3470000000.0,1318.33,N/A,0.82,0.0277,69.7766,1051.893159482339
