Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Fission Uranium Corp.,FCU,2021,1,6,0.455,Energy,Uranium,262800000.0,N/A,N/A,0.7,N/A,0.0,N/A
Fission Uranium Corp.,FCU,2021,1,7,0.465,Energy,Uranium,268580000.0,N/A,N/A,0.72,N/A,0.0,N/A
Fission Uranium Corp.,FCU,2021,1,8,0.455,Energy,Uranium,262800000.0,N/A,N/A,0.7,N/A,0.0,N/A
Fission Uranium Corp.,FCU,2021,1,11,0.43,Energy,Uranium,248360000.0,N/A,N/A,0.66,N/A,0.0,N/A
Fission Uranium Corp.,FCU,2021,1,12,0.4,Energy,Uranium,231040000.0,N/A,N/A,0.62,N/A,0.0,N/A
Fission Uranium Corp.,FCU,2021,1,13,0.375,Energy,Uranium,216600000.0,N/A,N/A,0.58,N/A,0.0,N/A
Fission Uranium Corp.,FCU,2021,1,14,0.425,Energy,Uranium,245480000.0,N/A,N/A,0.65,N/A,0.0,N/A
Fission Uranium Corp.,FCU,2021,1,15,0.415,Energy,Uranium,239700000.0,N/A,N/A,0.64,N/A,0.0,N/A
Fission Uranium Corp.,FCU,2021,1,18,0.395,Energy,Uranium,228150000.0,N/A,N/A,0.61,N/A,0.0,N/A
Fission Uranium Corp.,FCU,2021,1,19,0.41,Energy,Uranium,236810000.0,N/A,N/A,0.63,N/A,0.0,N/A
