Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Forza Petroleum Limited,FORZ,2021,1,6,0.07,Energy,Oil & Gas E&P,40470000.0,N/A,N/A,0.12,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,7,0.07,Energy,Oil & Gas E&P,40470000.0,N/A,N/A,0.12,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,8,0.07,Energy,Oil & Gas E&P,40470000.0,N/A,N/A,0.12,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,11,0.07,Energy,Oil & Gas E&P,40470000.0,N/A,N/A,0.12,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,11,0.07,Energy,Oil & Gas E&P,40470000.0,N/A,N/A,0.12,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,13,0.105,Energy,Oil & Gas E&P,60710000.0,N/A,N/A,0.18,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,14,0.095,Energy,Oil & Gas E&P,54930000.0,N/A,N/A,0.16,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,15,0.125,Energy,Oil & Gas E&P,72270000.0,N/A,N/A,0.21,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,18,0.125,Energy,Oil & Gas E&P,72270000.0,N/A,N/A,0.21,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,19,0.12,Energy,Oil & Gas E&P,69380000.0,N/A,N/A,0.2,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,20,0.12,Energy,Oil & Gas E&P,69380000.0,N/A,N/A,0.2,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,21,0.12,Energy,Oil & Gas E&P,69380000.0,N/A,N/A,0.2,N/A,0.0,N/A
Forza Petroleum Limited,FORZ,2021,1,22,0.13,Energy,Oil & Gas E&P,75170000.0,N/A,N/A,0.22,N/A,0.0,N/A
