Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
First Majestic Silver Corp.,FR,2021,1,6,18.01,Basic Materials,Silver,3980000000.0,N/A,0.22,4.94,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,7,17.75,Basic Materials,Silver,3930000000.0,N/A,0.22,4.87,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,8,16.69,Basic Materials,Silver,3690000000.0,N/A,0.23,4.58,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,11,16.06,Basic Materials,Silver,3550000000.0,N/A,0.23,4.4,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,12,16.08,Basic Materials,Silver,3560000000.0,N/A,0.23,4.41,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,13,15.51,Basic Materials,Silver,3430000000.0,N/A,0.23,4.25,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,14,15.94,Basic Materials,Silver,3530000000.0,N/A,0.23,4.37,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,15,15.07,Basic Materials,Silver,3330000000.0,N/A,0.23,4.13,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,18,15.34,Basic Materials,Silver,3390000000.0,N/A,0.19,4.21,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,19,16.09,Basic Materials,Silver,3560000000.0,N/A,0.19,4.41,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,20,17.58,Basic Materials,Silver,3890000000.0,N/A,0.19,4.82,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,21,17.11,Basic Materials,Silver,3790000000.0,N/A,0.23,4.69,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,22,17.8,Basic Materials,Silver,3940000000.0,N/A,0.24,4.88,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,25,17.79,Basic Materials,Silver,3940000000.0,N/A,0.24,4.88,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,26,18.11,Basic Materials,Silver,4010000000.0,N/A,0.24,4.97,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,27,17.76,Basic Materials,Silver,3930000000.0,N/A,0.24,4.87,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,28,21.6,Basic Materials,Silver,4780000000.0,N/A,0.24,5.92,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,1,29,23.07,Basic Materials,Silver,5100000000.0,N/A,0.24,6.33,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,2,1,28.5,Basic Materials,Silver,6310000000.0,N/A,0.24,7.82,N/A,0.0,N/A
