Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,6,7.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,7,7.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,7,7.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,11,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,12,6.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,13,7.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,14,7.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,15,7.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,15,7.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,19,6.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,20,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,21,6.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,22,6.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crescent Senior Secured Floating Rate Loan Fund LLC,FRL-UN,2021,1,22,6.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
