Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Freehold Royalties Ltd.,FRU,2021,1,6,5.53,Energy,Oil & Gas E&P,656670000.0,N/A,3.62,0.99,0.0436,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,7,5.57,Energy,Oil & Gas E&P,661420000.0,N/A,3.84,0.99,0.0434,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,8,5.59,Energy,Oil & Gas E&P,663790000.0,N/A,3.87,1.0,0.0434,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,11,5.58,Energy,Oil & Gas E&P,662600000.0,N/A,3.87,1.0,0.0431,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,12,6.02,Energy,Oil & Gas E&P,714850000.0,N/A,3.87,1.08,0.0429,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,13,5.98,Energy,Oil & Gas E&P,710100000.0,N/A,3.87,1.07,0.039900000000000005,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,14,6.29,Energy,Oil & Gas E&P,746910000.0,N/A,3.87,1.12,0.0401,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,15,6.03,Energy,Oil & Gas E&P,716040000.0,N/A,4.37,1.08,0.0401,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,18,5.94,Energy,Oil & Gas E&P,705350000.0,N/A,4.19,1.06,0.0382,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,19,5.96,Energy,Oil & Gas E&P,707730000.0,N/A,4.19,1.06,0.0398,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,20,6.08,Energy,Oil & Gas E&P,721980000.0,N/A,4.14,1.09,0.0403,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,21,5.97,Energy,Oil & Gas E&P,708910000.0,N/A,4.22,1.07,0.0395,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,22,5.72,Energy,Oil & Gas E&P,679230000.0,N/A,4.22,1.02,0.0395,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,25,5.66,Energy,Oil & Gas E&P,672100000.0,N/A,4.22,1.01,0.04019999999999999,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,26,5.57,Energy,Oil & Gas E&P,661420000.0,N/A,4.22,0.99,0.042,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,27,5.64,Energy,Oil & Gas E&P,669730000.0,N/A,4.22,1.01,0.0431,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,28,5.62,Energy,Oil & Gas E&P,667350000.0,N/A,4.22,1.0,0.0426,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,1,29,5.48,Energy,Oil & Gas E&P,650730000.0,N/A,4.22,0.98,0.0426,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,2,1,5.73,Energy,Oil & Gas E&P,680410000.0,N/A,4.22,1.02,0.042699999999999995,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,2,2,5.72,Energy,Oil & Gas E&P,679230000.0,N/A,4.22,1.02,0.0438,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,2,3,5.81,Energy,Oil & Gas E&P,689910000.0,N/A,4.22,1.04,0.042699999999999995,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,2,4,5.86,Energy,Oil & Gas E&P,695850000.0,N/A,4.22,1.05,0.041299999999999996,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,2,5,6.03,Energy,Oil & Gas E&P,716040000.0,N/A,4.22,1.08,0.041299999999999996,N/A,N/A
Freehold Royalties Ltd.,FRU,2021,2,8,6.18,Energy,Oil & Gas E&P,733850000.0,N/A,4.22,1.1,0.040999999999999995,N/A,N/A
