Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Fortune Minerals Limited,FT,2021,1,6,0.095,Basic Materials,Other Industrial Metals & Mining,34160000.0,N/A,N/A,0.53,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,7,0.1,Basic Materials,Other Industrial Metals & Mining,35960000.0,N/A,N/A,0.56,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,8,0.095,Basic Materials,Other Industrial Metals & Mining,34160000.0,N/A,N/A,0.53,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,11,0.095,Basic Materials,Other Industrial Metals & Mining,34160000.0,N/A,N/A,0.53,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,12,0.095,Basic Materials,Other Industrial Metals & Mining,34160000.0,N/A,N/A,0.53,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,13,0.085,Basic Materials,Other Industrial Metals & Mining,30560000.0,N/A,N/A,0.47,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,14,0.085,Basic Materials,Other Industrial Metals & Mining,30560000.0,N/A,N/A,0.47,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,15,0.085,Basic Materials,Other Industrial Metals & Mining,30560000.0,N/A,N/A,0.47,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,18,0.09,Basic Materials,Other Industrial Metals & Mining,32360000.0,N/A,N/A,0.5,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,19,0.1,Basic Materials,Other Industrial Metals & Mining,35960000.0,N/A,N/A,0.56,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,20,0.1,Basic Materials,Other Industrial Metals & Mining,35960000.0,N/A,N/A,0.56,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,21,0.11,Basic Materials,Other Industrial Metals & Mining,39550000.0,N/A,N/A,0.61,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,22,0.12,Basic Materials,Other Industrial Metals & Mining,43150000.0,N/A,N/A,0.67,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,25,0.13,Basic Materials,Other Industrial Metals & Mining,46740000.0,N/A,N/A,0.73,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,26,0.13,Basic Materials,Other Industrial Metals & Mining,46740000.0,N/A,N/A,0.73,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,27,0.14,Basic Materials,Other Industrial Metals & Mining,50340000.0,N/A,N/A,0.78,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,28,0.12,Basic Materials,Other Industrial Metals & Mining,43150000.0,N/A,N/A,0.67,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,1,29,0.12,Basic Materials,Other Industrial Metals & Mining,43150000.0,N/A,N/A,0.67,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,2,1,0.14,Basic Materials,Other Industrial Metals & Mining,50340000.0,N/A,N/A,0.78,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,2,2,0.13,Basic Materials,Other Industrial Metals & Mining,46740000.0,N/A,N/A,0.73,N/A,0.0,N/A
Fortune Minerals Limited,FT,2021,2,3,0.14,Basic Materials,Other Industrial Metals & Mining,50340000.0,N/A,N/A,0.78,N/A,0.0,N/A
