Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Fury Gold Mines Limited,FURY,2021,1,6,1.89,Basic Materials,Other Industrial Metals & Mining,222690000.0,N/A,N/A,2.65,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,7,1.85,Basic Materials,Other Industrial Metals & Mining,217970000.0,N/A,N/A,2.59,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,8,1.77,Basic Materials,Other Industrial Metals & Mining,208550000.0,N/A,N/A,2.48,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,11,1.73,Basic Materials,Other Industrial Metals & Mining,203840000.0,N/A,N/A,2.42,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,12,1.73,Basic Materials,Other Industrial Metals & Mining,203840000.0,N/A,N/A,2.42,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,13,1.69,Basic Materials,Other Industrial Metals & Mining,199120000.0,N/A,N/A,2.37,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,14,1.69,Basic Materials,Other Industrial Metals & Mining,199120000.0,N/A,N/A,2.37,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,15,1.69,Basic Materials,Other Industrial Metals & Mining,199120000.0,N/A,N/A,2.37,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,18,1.69,Basic Materials,Other Industrial Metals & Mining,199120000.0,N/A,N/A,2.37,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,19,1.73,Basic Materials,Other Industrial Metals & Mining,203840000.0,N/A,N/A,2.42,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,20,1.74,Basic Materials,Other Industrial Metals & Mining,205010000.0,N/A,N/A,2.44,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,21,1.74,Basic Materials,Other Industrial Metals & Mining,205010000.0,N/A,N/A,2.44,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,22,1.76,Basic Materials,Other Industrial Metals & Mining,207370000.0,N/A,N/A,2.46,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,25,1.8,Basic Materials,Other Industrial Metals & Mining,212080000.0,N/A,N/A,2.52,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,26,1.77,Basic Materials,Other Industrial Metals & Mining,208550000.0,N/A,N/A,2.48,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,27,1.78,Basic Materials,Other Industrial Metals & Mining,209730000.0,N/A,N/A,2.49,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,28,1.84,Basic Materials,Other Industrial Metals & Mining,216800000.0,N/A,N/A,2.58,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,1,29,1.83,Basic Materials,Other Industrial Metals & Mining,215620000.0,N/A,N/A,2.56,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,1,2.21,Basic Materials,Other Industrial Metals & Mining,260390000.0,N/A,N/A,3.1,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,2,2.06,Basic Materials,Other Industrial Metals & Mining,242720000.0,N/A,N/A,2.89,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,3,2.08,Basic Materials,Other Industrial Metals & Mining,245070000.0,N/A,N/A,2.91,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,4,2.01,Basic Materials,Other Industrial Metals & Mining,236830000.0,N/A,N/A,2.82,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,5,2.08,Basic Materials,Other Industrial Metals & Mining,245070000.0,N/A,N/A,2.91,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,8,2.17,Basic Materials,Other Industrial Metals & Mining,255680000.0,N/A,N/A,3.04,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,9,2.27,Basic Materials,Other Industrial Metals & Mining,267459999.99999997,N/A,N/A,3.18,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,9,2.27,Basic Materials,Other Industrial Metals & Mining,267459999.99999997,N/A,N/A,3.18,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,10,2.25,Basic Materials,Other Industrial Metals & Mining,265100000.00000003,N/A,N/A,3.15,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,11,2.17,Basic Materials,Other Industrial Metals & Mining,255680000.0,N/A,N/A,3.04,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,12,2.12,Basic Materials,Other Industrial Metals & Mining,249790000.0,N/A,N/A,2.97,N/A,0.0,N/A
Fury Gold Mines Limited,FURY,2021,2,16,2.06,Basic Materials,Other Industrial Metals & Mining,242720000.0,N/A,N/A,2.89,N/A,0.0,N/A
