Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Fortuna Silver Mines Inc.,FVI,2021,1,6,11.89,Basic Materials,Silver,2190000000.0,98.26,N/A,3.1,N/A,0.0,304.60600000000005
Fortuna Silver Mines Inc.,FVI,2021,1,7,11.86,Basic Materials,Silver,2180000000.0,98.02,N/A,3.09,N/A,0.0,302.8818
Fortuna Silver Mines Inc.,FVI,2021,1,8,10.98,Basic Materials,Silver,2020000000.0,90.74,N/A,2.86,N/A,0.0,259.5164
Fortuna Silver Mines Inc.,FVI,2021,1,11,10.87,Basic Materials,Silver,2000000000.0,89.83,N/A,2.83,N/A,0.0,254.2189
Fortuna Silver Mines Inc.,FVI,2021,1,12,10.9,Basic Materials,Silver,2009999999.9999998,90.08,N/A,2.84,N/A,0.0,255.82719999999998
Fortuna Silver Mines Inc.,FVI,2021,1,13,10.5,Basic Materials,Silver,1930000000.0,86.78,N/A,2.74,N/A,0.0,237.77720000000002
Fortuna Silver Mines Inc.,FVI,2021,1,14,10.42,Basic Materials,Silver,1920000000.0,86.12,N/A,2.72,N/A,0.0,234.24640000000002
Fortuna Silver Mines Inc.,FVI,2021,1,15,9.63,Basic Materials,Silver,1770000000.0,79.59,N/A,2.51,N/A,0.0,199.77089999999998
Fortuna Silver Mines Inc.,FVI,2021,1,18,9.78,Basic Materials,Silver,1800000000.0,80.83,N/A,2.55,N/A,0.0,206.11649999999997
Fortuna Silver Mines Inc.,FVI,2021,1,19,9.46,Basic Materials,Silver,1740000000.0,78.18,N/A,2.47,N/A,0.0,193.10460000000003
Fortuna Silver Mines Inc.,FVI,2021,1,20,9.73,Basic Materials,Silver,1790000000.0,80.41,N/A,2.54,N/A,0.0,204.2414
Fortuna Silver Mines Inc.,FVI,2021,1,21,9.24,Basic Materials,Silver,1700000000.0,76.36,N/A,2.41,N/A,0.0,184.0276
Fortuna Silver Mines Inc.,FVI,2021,1,22,9.1,Basic Materials,Silver,1680000000.0,75.21,N/A,2.37,N/A,0.0,178.24769999999998
Fortuna Silver Mines Inc.,FVI,2021,1,25,8.78,Basic Materials,Silver,1620000000.0,72.56,N/A,2.29,N/A,0.0,166.16240000000002
Fortuna Silver Mines Inc.,FVI,2021,1,26,8.95,Basic Materials,Silver,1650000000.0,73.97,N/A,2.33,N/A,0.0,172.3501
Fortuna Silver Mines Inc.,FVI,2021,1,27,8.54,Basic Materials,Silver,1570000000.0,70.58,N/A,2.23,N/A,0.0,157.39339999999999
Fortuna Silver Mines Inc.,FVI,2021,1,28,9.73,Basic Materials,Silver,1790000000.0,80.41,N/A,2.54,N/A,0.0,204.2414
Fortuna Silver Mines Inc.,FVI,2021,1,29,9.89,Basic Materials,Silver,1820000000.0,81.74,N/A,2.58,N/A,0.0,210.8892
Fortuna Silver Mines Inc.,FVI,2021,2,1,11.72,Basic Materials,Silver,2160000000.0,96.86,N/A,3.05,N/A,0.0,295.423
Fortuna Silver Mines Inc.,FVI,2021,2,2,9.83,Basic Materials,Silver,1810000000.0,81.24,N/A,2.56,N/A,0.0,207.9744
Fortuna Silver Mines Inc.,FVI,2021,2,3,9.59,Basic Materials,Silver,1770000000.0,79.26,N/A,2.5,N/A,0.0,198.15
Fortuna Silver Mines Inc.,FVI,2021,2,4,9.45,Basic Materials,Silver,1740000000.0,78.1,N/A,2.46,N/A,0.0,192.12599999999998
Fortuna Silver Mines Inc.,FVI,2021,2,5,9.69,Basic Materials,Silver,1780000000.0,80.08,N/A,2.53,N/A,0.0,202.6024
Fortuna Silver Mines Inc.,FVI,2021,2,8,9.84,Basic Materials,Silver,1810000000.0,81.32,N/A,2.56,N/A,0.0,208.17919999999998
Fortuna Silver Mines Inc.,FVI,2021,2,9,9.73,Basic Materials,Silver,1790000000.0,80.41,N/A,2.54,N/A,0.0,204.2414
Fortuna Silver Mines Inc.,FVI,2021,2,10,9.62,Basic Materials,Silver,1770000000.0,79.5,N/A,2.51,N/A,0.0,199.545
Fortuna Silver Mines Inc.,FVI,2021,2,11,9.46,Basic Materials,Silver,1740000000.0,78.18,N/A,2.47,N/A,0.0,193.10460000000003
Fortuna Silver Mines Inc.,FVI,2021,2,12,9.73,Basic Materials,Silver,1790000000.0,80.41,N/A,2.54,N/A,0.0,204.2414
