Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
GVIC Communications Corp.,GCT,2020,12,8,0.135,Communication Services,Publishing,25750000.0,N/A,N/A,0.4,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,7,0.125,Communication Services,Publishing,19730000.0,N/A,N/A,0.37,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,8,0.13,Communication Services,Publishing,22110000.0,N/A,N/A,0.38,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,11,0.13,Communication Services,Publishing,21280000.0,N/A,N/A,0.38,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,12,0.15,Communication Services,Publishing,24560000.0,N/A,N/A,0.44,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,13,0.28,Communication Services,Publishing,39880000.0,N/A,N/A,0.82,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,14,0.32,Communication Services,Publishing,85980000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,15,0.33,Communication Services,Publishing,65540000.00000001,N/A,N/A,0.97,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,18,0.35,Communication Services,Publishing,67450000.0,N/A,N/A,1.03,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,18,0.35,Communication Services,Publishing,63680000.0,N/A,N/A,1.03,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,18,0.35,Communication Services,Publishing,60720000.0,N/A,N/A,1.03,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,18,0.35,Communication Services,Publishing,60720000.0,N/A,N/A,1.03,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,22,0.29,Communication Services,Publishing,50310000.0,N/A,N/A,0.85,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,25,0.27,Communication Services,Publishing,56290000.0,N/A,N/A,0.79,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,25,0.27,Communication Services,Publishing,73710000.0,N/A,N/A,0.79,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,27,0.27,Communication Services,Publishing,79630000.0,N/A,N/A,0.79,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,28,0.28,Communication Services,Publishing,71830000.0,N/A,N/A,0.82,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,1,29,0.29,Communication Services,Publishing,93050000.0,N/A,N/A,0.85,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,1,0.33,Communication Services,Publishing,105880000.0,N/A,N/A,0.97,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,1,0.33,Communication Services,Publishing,105880000.0,N/A,N/A,0.97,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,1,0.33,Communication Services,Publishing,112470000.0,N/A,N/A,0.97,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,3,0.36,Communication Services,Publishing,122690000.0,N/A,N/A,1.06,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,4,0.3,Communication Services,Publishing,93830000.0,N/A,N/A,0.88,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,119830000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,112430000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,90210000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,90210000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,90210000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,90210000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,96140000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,96140000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,81330000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,5,0.32,Communication Services,Publishing,81330000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,19,0.31,Communication Services,Publishing,81650000.0,N/A,N/A,0.91,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,19,0.31,Communication Services,Publishing,84250000.0,N/A,N/A,0.91,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,23,0.28,Communication Services,Publishing,76090000.0,N/A,N/A,0.82,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,23,0.28,Communication Services,Publishing,84120000.0,N/A,N/A,0.82,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,23,0.28,Communication Services,Publishing,84120000.0,N/A,N/A,0.82,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,2,26,0.32,Communication Services,Publishing,96140000.0,N/A,N/A,0.94,N/A,0.0,N/A
GVIC Communications Corp.,GCT,2021,3,1,0.35,Communication Services,Publishing,92190000.0,N/A,N/A,1.03,N/A,0.0,N/A
