Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
CGI Inc.,GIB-A,2021,1,6,99.71,Technology,Information Technology Services,25630000000.0,23.74,2.69,3.55,N/A,0.0,84.27699999999999
CGI Inc.,GIB-A,2021,1,7,99.98,Technology,Information Technology Services,25700000000.0,23.8,2.66,3.56,N/A,0.0,84.72800000000001
CGI Inc.,GIB-A,2021,1,8,101.94,Technology,Information Technology Services,26200000000.0,24.27,2.67,3.63,N/A,0.0,88.1001
CGI Inc.,GIB-A,2021,1,11,100.67,Technology,Information Technology Services,25880000000.0,23.97,2.67,3.58,N/A,0.0,85.8126
CGI Inc.,GIB-A,2021,1,12,100.32,Technology,Information Technology Services,25790000000.0,23.89,2.67,3.57,N/A,0.0,85.2873
CGI Inc.,GIB-A,2021,1,13,100.88,Technology,Information Technology Services,25930000000.0,24.02,2.67,3.59,N/A,0.0,86.23179999999999
CGI Inc.,GIB-A,2021,1,14,98.9,Technology,Information Technology Services,25420000000.0,23.55,2.67,3.52,N/A,0.0,82.896
CGI Inc.,GIB-A,2021,1,15,99.32,Technology,Information Technology Services,25530000000.0,23.65,2.67,3.53,N/A,0.0,83.4845
CGI Inc.,GIB-A,2021,1,18,100.18,Technology,Information Technology Services,25750000000.0,23.85,2.67,3.56,N/A,0.0,84.906
CGI Inc.,GIB-A,2021,1,19,100.2,Technology,Information Technology Services,25760000000.0,23.86,2.67,3.56,N/A,0.0,84.9416
CGI Inc.,GIB-A,2021,1,20,100.63,Technology,Information Technology Services,25870000000.0,23.96,2.67,3.58,N/A,0.0,85.77680000000001
CGI Inc.,GIB-A,2021,1,21,100.91,Technology,Information Technology Services,25940000000.0,24.03,2.68,3.59,N/A,0.0,86.2677
CGI Inc.,GIB-A,2021,1,22,100.53,Technology,Information Technology Services,25840000000.0,23.94,2.68,3.58,N/A,0.0,85.7052
CGI Inc.,GIB-A,2021,1,25,100.16,Technology,Information Technology Services,25750000000.0,23.85,2.68,3.56,N/A,0.0,84.906
CGI Inc.,GIB-A,2021,1,26,98.57,Technology,Information Technology Services,25340000000.0,23.47,2.67,3.51,N/A,0.0,82.37969999999999
CGI Inc.,GIB-A,2021,1,27,99.11,Technology,Information Technology Services,25480000000.0,23.6,2.49,3.53,N/A,0.0,83.308
CGI Inc.,GIB-A,2021,1,28,103.42,Technology,Information Technology Services,26580000000.0,23.2,2.49,3.66,N/A,0.0,84.912
CGI Inc.,GIB-A,2021,1,29,102.5,Technology,Information Technology Services,26010000000.0,23.0,2.45,3.63,N/A,0.0,83.49
CGI Inc.,GIB-A,2021,2,1,102.64,Technology,Information Technology Services,26050000000.0,23.03,2.45,3.63,N/A,0.0,83.5989
CGI Inc.,GIB-A,2021,2,2,103.97,Technology,Information Technology Services,26390000000.0,23.33,2.45,3.68,N/A,0.0,85.8544
CGI Inc.,GIB-A,2021,2,3,103.01,Technology,Information Technology Services,26140000000.0,23.11,2.45,3.65,N/A,0.0,84.3515
CGI Inc.,GIB-A,2021,2,4,101.0,Technology,Information Technology Services,25630000000.0,22.66,2.45,3.57,N/A,0.0,80.8962
CGI Inc.,GIB-A,2021,2,5,102.25,Technology,Information Technology Services,25950000000.0,22.94,2.45,3.62,N/A,0.0,83.04280000000001
