Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Gildan Activewear Inc.,GIL,2021,1,6,36.27,Consumer Cyclical,Apparel Manufacturing,7190000000.0,N/A,N/A,4.87,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,7,36.51,Consumer Cyclical,Apparel Manufacturing,7240000000.0,N/A,N/A,4.91,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,8,36.21,Consumer Cyclical,Apparel Manufacturing,7180000000.0,N/A,N/A,4.87,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,11,35.46,Consumer Cyclical,Apparel Manufacturing,7030000000.0,N/A,N/A,4.77,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,12,35.19,Consumer Cyclical,Apparel Manufacturing,6980000000.0,N/A,N/A,4.73,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,13,35.07,Consumer Cyclical,Apparel Manufacturing,6950000000.0,N/A,N/A,4.71,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,14,35.27,Consumer Cyclical,Apparel Manufacturing,6990000000.0,N/A,N/A,4.74,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,15,34.51,Consumer Cyclical,Apparel Manufacturing,6840000000.0,N/A,N/A,4.64,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,18,34.95,Consumer Cyclical,Apparel Manufacturing,6930000000.0,N/A,N/A,4.7,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,19,34.95,Consumer Cyclical,Apparel Manufacturing,6930000000.0,N/A,N/A,4.7,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,20,34.41,Consumer Cyclical,Apparel Manufacturing,6820000000.0,N/A,N/A,4.62,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,21,33.51,Consumer Cyclical,Apparel Manufacturing,6650000000.0,N/A,N/A,4.5,N/A,N/A,N/A
Gildan Activewear Inc.,GIL,2021,1,22,33.34,Consumer Cyclical,Apparel Manufacturing,6610000000.0,N/A,N/A,4.48,N/A,N/A,N/A
