Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Granite Real Estate Investment Trust,GRT-UN,2021,1,6,77.99,Real Estate,REIT—Industrial,4810000000.0,12.79,N/A,1.25,0.0387,0.5075,15.39183594878213
Granite Real Estate Investment Trust,GRT-UN,2021,1,7,77.52,Real Estate,REIT—Industrial,4780000000.0,12.71,N/A,1.24,0.0385,0.5075,15.176119402985076
Granite Real Estate Investment Trust,GRT-UN,2021,1,8,78.11,Real Estate,REIT—Industrial,4820000000.0,12.81,N/A,1.25,0.0387,0.5075,15.415904496004622
Granite Real Estate Investment Trust,GRT-UN,2021,1,11,76.24,Real Estate,REIT—Industrial,4700000000.0,12.5,N/A,1.22,0.0384,0.5075,14.686055469953775
Granite Real Estate Investment Trust,GRT-UN,2021,1,12,75.45,Real Estate,REIT—Industrial,4650000000.0,12.37,N/A,1.21,0.0393,0.5075,14.401712691234485
Granite Real Estate Investment Trust,GRT-UN,2021,1,13,75.85,Real Estate,REIT—Industrial,4680000000.0,12.44,N/A,1.21,0.0398,0.5075,14.476245431813808
Granite Real Estate Investment Trust,GRT-UN,2021,1,14,75.44,Real Estate,REIT—Industrial,4650000000.0,12.37,N/A,1.21,0.039599999999999996,0.5075,14.39755675259715
Granite Real Estate Investment Trust,GRT-UN,2021,1,15,75.22,Real Estate,REIT—Industrial,4640000000.0,12.33,N/A,1.2,0.0398,0.5075,14.229659549913443
Granite Real Estate Investment Trust,GRT-UN,2021,1,18,76.0,Real Estate,REIT—Industrial,4690000000.0,12.46,N/A,1.21,0.039900000000000005,0.5075,14.498124819694201
Granite Real Estate Investment Trust,GRT-UN,2021,1,19,75.63,Real Estate,REIT—Industrial,4670000000.0,12.4,N/A,1.21,0.0395,0.5075,14.433862433862432
Granite Real Estate Investment Trust,GRT-UN,2021,1,20,76.91,Real Estate,REIT—Industrial,4740000000.0,12.61,N/A,1.23,0.0397,0.5075,14.918053284601326
Granite Real Estate Investment Trust,GRT-UN,2021,1,21,76.94,Real Estate,REIT—Industrial,4750000000.0,12.62,N/A,1.23,0.039,0.5075,14.939942252165544
Granite Real Estate Investment Trust,GRT-UN,2021,1,22,77.04,Real Estate,REIT—Industrial,4750000000.0,12.63,N/A,1.23,0.039,0.5075,14.951780558229068
Granite Real Estate Investment Trust,GRT-UN,2021,1,25,76.77,Real Estate,REIT—Industrial,4740000000.0,12.59,N/A,1.23,0.038900000000000004,0.5075,14.905861969390703
Granite Real Estate Investment Trust,GRT-UN,2021,1,26,77.89,Real Estate,REIT—Industrial,4800000000.0,12.77,N/A,1.24,0.0391,0.5075,15.238956789529402
Granite Real Estate Investment Trust,GRT-UN,2021,1,27,76.05,Real Estate,REIT—Industrial,4690000000.0,12.47,N/A,1.22,0.0385,0.5075,14.649398170438133
Granite Real Estate Investment Trust,GRT-UN,2021,1,28,75.87,Real Estate,REIT—Industrial,4680000000.0,12.44,N/A,1.21,0.0394,0.5075,14.481816432557242
Granite Real Estate Investment Trust,GRT-UN,2021,1,29,74.9,Real Estate,REIT—Industrial,4620000000.0,12.28,N/A,1.2,0.0401,0.5075,14.167868474185173
Granite Real Estate Investment Trust,GRT-UN,2021,2,1,75.53,Real Estate,REIT—Industrial,4660000000.0,12.38,N/A,1.21,0.0401,0.5075,14.402269012594944
Granite Real Estate Investment Trust,GRT-UN,2021,2,2,77.19,Real Estate,REIT—Industrial,4760000000.0,12.66,N/A,1.23,0.0397,0.5075,14.977204962970086
Granite Real Estate Investment Trust,GRT-UN,2021,2,3,75.99,Real Estate,REIT—Industrial,4690000000.0,12.46,N/A,1.21,0.038900000000000004,0.5075,14.512080084704978
Granite Real Estate Investment Trust,GRT-UN,2021,2,4,76.27,Real Estate,REIT—Industrial,4700000000.0,12.51,N/A,1.22,0.038900000000000004,0.5075,14.6907305804216
Granite Real Estate Investment Trust,GRT-UN,2021,2,5,76.01,Real Estate,REIT—Industrial,4690000000.0,12.46,N/A,1.21,0.0393,0.5075,14.506494756085829
Granite Real Estate Investment Trust,GRT-UN,2021,2,8,76.31,Real Estate,REIT—Industrial,4710000000.0,12.51,N/A,1.22,0.0395,0.5075,14.682251082251081
Granite Real Estate Investment Trust,GRT-UN,2021,2,9,76.52,Real Estate,REIT—Industrial,4720000000.0,12.55,N/A,1.22,0.0393,0.5075,14.732031174829213
Granite Real Estate Investment Trust,GRT-UN,2021,2,10,76.97,Real Estate,REIT—Industrial,4750000000.0,12.62,N/A,1.23,0.0393,0.5075,14.935629750793805
Granite Real Estate Investment Trust,GRT-UN,2021,2,11,76.39,Real Estate,REIT—Industrial,4710000000.0,12.53,N/A,1.22,0.0393,0.5075,14.708553834311555
Granite Real Estate Investment Trust,GRT-UN,2021,2,12,76.12,Real Estate,REIT—Industrial,4700000000.0,12.48,N/A,1.22,0.0393,0.5075,14.649860483017417
Granite Real Estate Investment Trust,GRT-UN,2021,2,16,75.89,Real Estate,REIT—Industrial,4680000000.0,12.44,N/A,1.21,0.0394,0.5075,14.481816432557242
Granite Real Estate Investment Trust,GRT-UN,2021,2,17,75.55,Real Estate,REIT—Industrial,4660000000.0,12.39,N/A,1.21,0.0395,0.5075,14.422222222222222
Granite Real Estate Investment Trust,GRT-UN,2021,2,18,75.15,Real Estate,REIT—Industrial,4640000000.0,12.32,N/A,1.2,0.0397,0.5075,14.219486390304894
Granite Real Estate Investment Trust,GRT-UN,2021,2,19,75.59,Real Estate,REIT—Industrial,4660000000.0,12.39,N/A,1.21,0.039900000000000005,0.5075,14.416674680257717
Granite Real Estate Investment Trust,GRT-UN,2021,2,22,74.62,Real Estate,REIT—Industrial,4600000000.0,12.23,N/A,1.19,0.0397,0.5075,13.997980186592285
Granite Real Estate Investment Trust,GRT-UN,2021,2,23,73.7,Real Estate,REIT—Industrial,4550000000.0,12.08,N/A,1.18,0.04019999999999999,0.5075,13.703518554124205
Granite Real Estate Investment Trust,GRT-UN,2021,2,24,73.09,Real Estate,REIT—Industrial,4510000000.0,11.98,N/A,1.17,0.0407,0.5075,13.468434707408475
Granite Real Estate Investment Trust,GRT-UN,2021,2,25,72.75,Real Estate,REIT—Industrial,4490000000.0,11.93,N/A,1.16,0.040999999999999995,0.5075,13.293756003842459
Granite Real Estate Investment Trust,GRT-UN,2021,2,26,72.9,Real Estate,REIT—Industrial,4500000000.0,11.95,N/A,1.16,0.0412,0.5075,13.313484441029582
Granite Real Estate Investment Trust,GRT-UN,2021,3,1,73.24,Real Estate,REIT—Industrial,4520000000.0,12.01,N/A,1.17,0.0412,0.5075,13.49567806377257
Granite Real Estate Investment Trust,GRT-UN,2021,3,2,73.43,Real Estate,REIT—Industrial,4530000000.0,12.04,N/A,1.17,0.040999999999999995,0.5075,13.531988472622478
Granite Real Estate Investment Trust,GRT-UN,2021,3,3,72.55,Real Estate,REIT—Industrial,4480000000.0,11.9,N/A,1.16,0.0409,0.5075,13.261600537995966
Granite Real Estate Investment Trust,GRT-UN,2021,3,4,72.89,Real Estate,REIT—Industrial,4500000000.0,11.95,N/A,1.16,0.0409,0.5075,13.317321548659812
