Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Hydro One Limited,H,2021,1,6,29.23,Utilities,Utilities由egulated Electric,17470000000.0,9.65,8.86,1.66,0.0351,0.3268,15.475799439667664
Hydro One Limited,H,2021,1,7,29.17,Utilities,Utilities由egulated Electric,17430000000.0,9.63,8.86,1.66,0.035,0.3268,15.44521739130435
Hydro One Limited,H,2021,1,8,29.34,Utilities,Utilities由egulated Electric,17530000000.0,9.68,9.02,1.67,0.0347,0.3268,15.623465738861505
Hydro One Limited,H,2021,1,11,29.02,Utilities,Utilities由egulated Electric,17340000000.0,9.58,9.02,1.65,0.0346,0.3268,15.278368451575487
Hydro One Limited,H,2021,1,12,29.03,Utilities,Utilities由egulated Electric,17350000000.0,9.58,9.02,1.65,0.035,0.3268,15.272463768115943
Hydro One Limited,H,2021,1,13,29.38,Utilities,Utilities由egulated Electric,17560000000.0,9.7,9.02,1.67,0.035,0.3268,15.651207729468599
Hydro One Limited,H,2021,1,14,29.32,Utilities,Utilities由egulated Electric,17520000000.0,9.68,9.02,1.67,0.0349,0.3268,15.620446419943955
Hydro One Limited,H,2021,1,15,29.44,Utilities,Utilities由egulated Electric,17590000000.0,9.72,9.12,1.67,0.0345,0.3268,15.69105848235863
Hydro One Limited,H,2021,1,18,29.45,Utilities,Utilities由egulated Electric,17600000000.0,9.72,9.16,1.67,0.0345,0.3268,15.69105848235863
Hydro One Limited,H,2021,1,19,29.17,Utilities,Utilities由egulated Electric,17430000000.0,9.63,9.16,1.66,0.0344,0.3268,15.45417633410673
Hydro One Limited,H,2021,1,20,29.46,Utilities,Utilities由egulated Electric,17600000000.0,9.72,9.16,1.67,0.0344,0.3268,15.692575406032484
Hydro One Limited,H,2021,1,21,29.68,Utilities,Utilities由egulated Electric,17740000000.0,9.8,9.11,1.69,0.0348,0.3268,16.005025125628144
Hydro One Limited,H,2021,1,22,30.13,Utilities,Utilities由egulated Electric,18000000000.0,9.94,9.11,1.71,0.0344,0.3268,16.432134570765662
Hydro One Limited,H,2021,1,25,30.28,Utilities,Utilities由egulated Electric,18090000000.0,9.99,9.11,1.72,0.0337,0.3268,16.62261778078746
Hydro One Limited,H,2021,1,26,30.02,Utilities,Utilities由egulated Electric,17940000000.0,9.91,9.42,1.71,0.0335,0.3268,16.396806966618286
Hydro One Limited,H,2021,1,27,29.94,Utilities,Utilities由egulated Electric,17890000000.0,9.88,9.42,1.7,0.0335,0.3268,16.251572327044023
