Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Haivision Systems Inc.,HAI,2021,1,6,9.52,Industrials,Specialty Business Services,253350000.0,0.29,N/A,0.06,N/A,0.0,0.0174
Haivision Systems Inc.,HAI,2021,1,7,9.63,Industrials,Specialty Business Services,256269999.99999997,0.3,N/A,0.06,N/A,0.0,0.018
Haivision Systems Inc.,HAI,2021,1,8,9.0,Industrials,Specialty Business Services,239510000.0,0.28,N/A,0.06,N/A,0.0,0.016800000000000002
Haivision Systems Inc.,HAI,2021,1,11,8.75,Industrials,Specialty Business Services,232860000.0,0.27,N/A,0.06,N/A,0.0,0.0162
Haivision Systems Inc.,HAI,2021,1,12,8.55,Industrials,Specialty Business Services,227530000.0,0.26,N/A,0.05,N/A,0.0,0.013000000000000001
Haivision Systems Inc.,HAI,2021,1,13,8.2,Industrials,Specialty Business Services,218220000.0,0.25,N/A,0.05,N/A,0.0,0.0125
Haivision Systems Inc.,HAI,2021,1,14,8.2,Industrials,Specialty Business Services,218220000.0,0.25,N/A,0.05,N/A,0.0,0.0125
Haivision Systems Inc.,HAI,2021,1,15,9.15,Industrials,Specialty Business Services,243500000.0,0.28,N/A,0.06,N/A,0.0,0.016800000000000002
Haivision Systems Inc.,HAI,2021,1,18,10.35,Industrials,Specialty Business Services,275430000.0,0.32,N/A,0.07,N/A,0.0,0.022400000000000003
Haivision Systems Inc.,HAI,2021,1,19,10.2,Industrials,Specialty Business Services,271440000.0,0.31,N/A,0.06,N/A,0.0,0.0186
Haivision Systems Inc.,HAI,2021,1,20,10.23,Industrials,Specialty Business Services,272240000.0,0.31,N/A,0.06,N/A,0.0,0.0186
Haivision Systems Inc.,HAI,2021,1,21,9.92,Industrials,Specialty Business Services,263990000.0,0.3,N/A,0.06,N/A,0.0,0.018
Haivision Systems Inc.,HAI,2021,1,22,12.89,Industrials,Specialty Business Services,343030000.0,0.4,N/A,0.08,N/A,0.0,0.032
Haivision Systems Inc.,HAI,2021,1,25,15.45,Industrials,Specialty Business Services,411160000.0,0.47,N/A,0.1,N/A,0.0,0.047
