Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Helix BioPharma Corp.,HBP,2021,1,6,0.66,Healthcare,Biotechnology,93150000.0,N/A,N/A,33.0,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,7,0.65,Healthcare,Biotechnology,91740000.0,N/A,N/A,32.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,8,0.69,Healthcare,Biotechnology,97380000.0,N/A,N/A,34.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,11,0.75,Healthcare,Biotechnology,105850000.0,N/A,N/A,37.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,12,0.86,Healthcare,Biotechnology,121370000.0,N/A,N/A,43.0,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,13,0.95,Healthcare,Biotechnology,134080000.00000001,N/A,N/A,47.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,14,0.89,Healthcare,Biotechnology,125610000.0,N/A,N/A,44.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,15,0.89,Healthcare,Biotechnology,125610000.0,N/A,N/A,44.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,18,0.89,Healthcare,Biotechnology,125610000.0,N/A,N/A,44.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,19,0.9,Healthcare,Biotechnology,127020000.0,N/A,N/A,45.0,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,20,0.84,Healthcare,Biotechnology,118550000.0,N/A,N/A,42.0,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,21,0.93,Healthcare,Biotechnology,131250000.0,N/A,N/A,46.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,22,0.93,Healthcare,Biotechnology,131250000.0,N/A,N/A,46.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,25,1.01,Healthcare,Biotechnology,142540000.0,N/A,N/A,50.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,26,0.98,Healthcare,Biotechnology,138310000.0,N/A,N/A,49.0,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,27,0.97,Healthcare,Biotechnology,136900000.0,N/A,N/A,48.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,28,1.0,Healthcare,Biotechnology,141130000.0,N/A,N/A,50.0,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,1,29,0.97,Healthcare,Biotechnology,136900000.0,N/A,N/A,48.5,N/A,0.0,N/A
Helix BioPharma Corp.,HBP,2021,2,1,0.97,Healthcare,Biotechnology,136900000.0,N/A,N/A,48.5,N/A,0.0,N/A
