Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Hardwoods Distribution Inc.,HDI,2021,1,6,25.03,Industrials,Industrial Distribution,529000000.0,14.48,N/A,1.7,0.0143,0.1936,24.268953958394953
Hardwoods Distribution Inc.,HDI,2021,1,7,25.69,Industrials,Industrial Distribution,542950000.0,14.87,N/A,1.74,0.014199999999999999,0.1936,25.511536186156576
Hardwoods Distribution Inc.,HDI,2021,1,8,25.9,Industrials,Industrial Distribution,547390000.0,14.99,N/A,1.76,0.0138,0.1936,26.02327875320576
Hardwoods Distribution Inc.,HDI,2021,1,11,25.65,Industrials,Industrial Distribution,542110000.0,14.84,N/A,1.74,0.0137,0.1936,25.472625036993193
Hardwoods Distribution Inc.,HDI,2021,1,12,25.68,Industrials,Industrial Distribution,542740000.0,14.86,N/A,1.74,0.0138,0.1936,25.504438745314655
Hardwoods Distribution Inc.,HDI,2021,1,13,25.45,Industrials,Industrial Distribution,537880000.0,14.73,N/A,1.72,0.0138,0.1936,24.990727954231602
Hardwoods Distribution Inc.,HDI,2021,1,14,26.28,Industrials,Industrial Distribution,555420000.0,15.21,N/A,1.78,0.0139,0.1936,26.702633395798404
Hardwoods Distribution Inc.,HDI,2021,1,15,26.65,Industrials,Industrial Distribution,563240000.0,15.42,N/A,1.81,0.013500000000000002,0.1936,27.538431179082387
Hardwoods Distribution Inc.,HDI,2021,1,18,26.6,Industrials,Industrial Distribution,562180000.0,15.39,N/A,1.8,0.013300000000000001,0.1936,27.33839928945031
Hardwoods Distribution Inc.,HDI,2021,1,19,26.73,Industrials,Industrial Distribution,564930000.0,15.47,N/A,1.81,0.013300000000000001,0.1936,27.633178722984308
