Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,5,8.45,N/A,N/A,3400000.0,N/A,N/A,N/A,0.08039999999999999,N/A,N/A
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,5,8.45,N/A,N/A,3400000.0,N/A,N/A,N/A,0.0852,N/A,N/A
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,8,9.04,N/A,N/A,3640000.0,N/A,N/A,N/A,0.0852,N/A,N/A
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,8,9.04,N/A,N/A,3640000.0,N/A,N/A,N/A,0.0852,N/A,N/A
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,8,9.04,N/A,N/A,3640000.0,N/A,N/A,N/A,0.0796,N/A,N/A
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,8,9.04,N/A,N/A,3640000.0,N/A,N/A,N/A,0.0796,N/A,N/A
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,14,8.84,N/A,N/A,3560000.0,N/A,N/A,N/A,0.0796,N/A,N/A
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,15,8.8,N/A,N/A,3540000.0,N/A,N/A,N/A,0.0796,N/A,N/A
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,15,8.8,N/A,N/A,3540000.0,N/A,N/A,N/A,0.0814,N/A,N/A
Global Telecom & Utilities Income Fund,HGI-UN,2021,1,15,8.8,N/A,N/A,3540000.0,N/A,N/A,N/A,0.0818,N/A,N/A
