Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
BSR Real Estate Investment Trust,HOM-U,2021,1,6,11.08,Real Estate,REIT由esidential,253410000.0,5.1,N/A,0.73,0.0447,0.2335,3.563702498324878
BSR Real Estate Investment Trust,HOM-U,2021,1,7,10.75,Real Estate,REIT由esidential,245860000.0,4.94,N/A,0.71,0.0452,0.2335,3.3557213930348264
BSR Real Estate Investment Trust,HOM-U,2021,1,8,10.85,Real Estate,REIT由esidential,248150000.0,4.99,N/A,0.72,0.0452,0.2335,3.437428243398393
BSR Real Estate Investment Trust,HOM-U,2021,1,11,11.03,Real Estate,REIT由esidential,252270000.0,5.07,N/A,0.73,0.04650000000000001,0.2335,3.5366459627329196
BSR Real Estate Investment Trust,HOM-U,2021,1,12,11.12,Real Estate,REIT由esidential,254320000.0,5.11,N/A,0.74,0.0461,0.2335,3.614759583213842
BSR Real Estate Investment Trust,HOM-U,2021,1,13,11.1,Real Estate,REIT由esidential,253870000.0,5.11,N/A,0.73,0.045,0.2335,3.5696650717703355
BSR Real Estate Investment Trust,HOM-U,2021,1,14,10.9,Real Estate,REIT由esidential,249290000.0,5.01,N/A,0.72,0.0451,0.2335,3.45153573820687
BSR Real Estate Investment Trust,HOM-U,2021,1,15,10.85,Real Estate,REIT由esidential,248150000.0,4.99,N/A,0.72,0.0451,0.2335,3.4377571524256054
BSR Real Estate Investment Trust,HOM-U,2021,1,18,11.08,Real Estate,REIT由esidential,253410000.0,5.1,N/A,0.73,0.045899999999999996,0.2335,3.5596137298020842
BSR Real Estate Investment Trust,HOM-U,2021,1,19,11.08,Real Estate,REIT由esidential,253410000.0,5.1,N/A,0.73,0.0461,0.2335,3.558933180384284
BSR Real Estate Investment Trust,HOM-U,2021,1,20,11.15,Real Estate,REIT由esidential,255010000.0,5.13,N/A,0.74,0.0452,0.2335,3.63203214695752
BSR Real Estate Investment Trust,HOM-U,2021,1,21,11.29,Real Estate,REIT由esidential,258209999.99999997,5.19,N/A,0.75,0.0449,0.2335,3.7252368647717486
BSR Real Estate Investment Trust,HOM-U,2021,1,22,10.95,Real Estate,REIT由esidential,250440000.0,5.04,N/A,0.72,0.0449,0.2335,3.472868217054264
BSR Real Estate Investment Trust,HOM-U,2021,1,25,10.94,Real Estate,REIT由esidential,250210000.0,5.03,N/A,0.72,0.0443,0.2335,3.467968974432634
BSR Real Estate Investment Trust,HOM-U,2021,1,26,11.2,Real Estate,REIT由esidential,256149999.99999997,5.15,N/A,0.74,0.045700000000000005,0.2335,3.6444486946542987
BSR Real Estate Investment Trust,HOM-U,2021,1,27,11.15,Real Estate,REIT由esidential,255010000.0,5.13,N/A,0.74,0.0447,0.2335,3.633770460419259
BSR Real Estate Investment Trust,HOM-U,2021,1,28,11.08,Real Estate,REIT由esidential,253410000.0,5.1,N/A,0.73,0.0449,0.2335,3.563020384725811
BSR Real Estate Investment Trust,HOM-U,2021,1,29,11.13,Real Estate,REIT由esidential,254550000.0,5.12,N/A,0.74,0.0452,0.2335,3.6249521622655956
BSR Real Estate Investment Trust,HOM-U,2021,2,1,11.27,Real Estate,REIT由esidential,257760000.0,5.18,N/A,0.75,0.0452,0.2335,3.7169919632606203
BSR Real Estate Investment Trust,HOM-U,2021,2,2,11.4,Real Estate,REIT由esidential,260730000.00000003,5.24,N/A,0.75,0.045,0.2335,3.7607655502392348
BSR Real Estate Investment Trust,HOM-U,2021,2,3,10.93,Real Estate,REIT由esidential,249980000.0,5.03,N/A,0.72,0.043899999999999995,0.2335,3.469297825462209
BSR Real Estate Investment Trust,HOM-U,2021,2,4,10.85,Real Estate,REIT由esidential,248150000.0,4.99,N/A,0.72,0.043899999999999995,0.2335,3.4417089759555513
BSR Real Estate Investment Trust,HOM-U,2021,2,5,10.85,Real Estate,REIT由esidential,248150000.0,4.99,N/A,0.72,0.0458,0.2335,3.435456110154905
