Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
American Hotel Income Properties REIT LP,HOT-UN,2021,1,6,3.27,Real Estate,REIT—Hotel & Motel,255820000.0,N/A,N/A,0.71,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,7,3.39,Real Estate,REIT—Hotel & Motel,265209999.99999997,N/A,N/A,0.73,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,8,3.33,Real Estate,REIT—Hotel & Motel,260519999.99999997,N/A,N/A,0.72,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,11,3.33,Real Estate,REIT—Hotel & Motel,260519999.99999997,N/A,N/A,0.72,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,12,3.31,Real Estate,REIT—Hotel & Motel,258950000.0,N/A,N/A,0.71,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,13,3.28,Real Estate,REIT—Hotel & Motel,256600000.00000003,N/A,N/A,0.71,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,14,3.35,Real Estate,REIT—Hotel & Motel,262079999.99999997,N/A,N/A,0.72,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,15,3.3,Real Estate,REIT—Hotel & Motel,258170000.00000003,N/A,N/A,0.71,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,18,3.37,Real Estate,REIT—Hotel & Motel,263640000.0,N/A,N/A,0.73,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,19,3.51,Real Estate,REIT—Hotel & Motel,274600000.0,N/A,N/A,0.76,N/A,N/A,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,1,20,3.54,Real Estate,REIT—Hotel & Motel,276940000.0,N/A,N/A,0.76,N/A,N/A,N/A
