Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
High Arctic Energy Services Inc,HWO,2021,1,6,1.26,Energy,Oil & Gas Equipment & Services,61440000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,7,1.29,Energy,Oil & Gas Equipment & Services,62900000.0,N/A,N/A,0.33,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,8,1.34,Energy,Oil & Gas Equipment & Services,65340000.0,N/A,N/A,0.35,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,11,1.26,Energy,Oil & Gas Equipment & Services,61440000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,12,1.31,Energy,Oil & Gas Equipment & Services,63880000.0,N/A,N/A,0.34,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,13,1.27,Energy,Oil & Gas Equipment & Services,61920000.0,N/A,N/A,0.33,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,14,1.21,Energy,Oil & Gas Equipment & Services,59000000.0,N/A,N/A,0.31,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,15,1.24,Energy,Oil & Gas Equipment & Services,60460000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,18,1.21,Energy,Oil & Gas Equipment & Services,59000000.0,N/A,N/A,0.31,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,19,1.26,Energy,Oil & Gas Equipment & Services,61440000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,20,1.27,Energy,Oil & Gas Equipment & Services,61920000.0,N/A,N/A,0.33,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,21,1.26,Energy,Oil & Gas Equipment & Services,61440000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,22,1.24,Energy,Oil & Gas Equipment & Services,60460000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,25,1.18,Energy,Oil & Gas Equipment & Services,57540000.0,N/A,N/A,0.3,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,26,1.16,Energy,Oil & Gas Equipment & Services,56560000.0,N/A,N/A,0.3,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,27,1.1,Energy,Oil & Gas Equipment & Services,53640000.0,N/A,N/A,0.28,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,28,1.05,Energy,Oil & Gas Equipment & Services,51200000.0,N/A,N/A,0.27,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,1,29,1.0,Energy,Oil & Gas Equipment & Services,48760000.0,N/A,N/A,0.26,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,1,1.0,Energy,Oil & Gas Equipment & Services,48760000.0,N/A,N/A,0.26,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,2,1.05,Energy,Oil & Gas Equipment & Services,51200000.0,N/A,N/A,0.27,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,3,1.15,Energy,Oil & Gas Equipment & Services,56070000.0,N/A,N/A,0.3,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,4,1.12,Energy,Oil & Gas Equipment & Services,54610000.0,N/A,N/A,0.29,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,5,1.1,Energy,Oil & Gas Equipment & Services,53640000.0,N/A,N/A,0.28,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,8,1.23,Energy,Oil & Gas Equipment & Services,59970000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,9,1.23,Energy,Oil & Gas Equipment & Services,59970000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,10,1.23,Energy,Oil & Gas Equipment & Services,59970000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,11,1.19,Energy,Oil & Gas Equipment & Services,58020000.0,N/A,N/A,0.31,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,12,1.2,Energy,Oil & Gas Equipment & Services,58510000.0,N/A,N/A,0.31,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,16,1.22,Energy,Oil & Gas Equipment & Services,59490000.0,N/A,N/A,0.31,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,17,1.21,Energy,Oil & Gas Equipment & Services,59000000.0,N/A,N/A,0.31,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,18,1.19,Energy,Oil & Gas Equipment & Services,58020000.0,N/A,N/A,0.31,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,19,1.15,Energy,Oil & Gas Equipment & Services,56070000.0,N/A,N/A,0.3,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,22,1.2,Energy,Oil & Gas Equipment & Services,58510000.0,N/A,N/A,0.31,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,23,1.23,Energy,Oil & Gas Equipment & Services,59970000.0,N/A,N/A,0.32,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,24,1.44,Energy,Oil & Gas Equipment & Services,70210000.0,N/A,N/A,0.37,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,25,1.44,Energy,Oil & Gas Equipment & Services,70210000.0,N/A,N/A,0.37,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,2,26,1.51,Energy,Oil & Gas Equipment & Services,73630000.0,N/A,N/A,0.39,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,3,1,1.53,Energy,Oil & Gas Equipment & Services,74600000.0,N/A,N/A,0.39,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,3,2,1.53,Energy,Oil & Gas Equipment & Services,74600000.0,N/A,N/A,0.39,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,3,3,1.53,Energy,Oil & Gas Equipment & Services,74600000.0,N/A,N/A,0.39,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,3,4,1.48,Energy,Oil & Gas Equipment & Services,72160000.0,N/A,N/A,0.38,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,3,5,1.5,Energy,Oil & Gas Equipment & Services,73140000.0,N/A,N/A,0.39,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,3,8,1.49,Energy,Oil & Gas Equipment & Services,72650000.0,N/A,N/A,0.38,N/A,N/A,N/A
High Arctic Energy Services Inc,HWO,2021,3,9,1.5,Energy,Oil & Gas Equipment & Services,73140000.0,N/A,N/A,0.39,N/A,N/A,N/A
