Company Name,Symbol,Year,Month,Day,Close Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
iA Financial Corporation Inc.,IAG,2021,1,6,56.66,Financial Services,Insurance—Diversified,6060000000.0,9.94,1.25,1.03,0.0354,0.3348,9.888159165539886
iA Financial Corporation Inc.,IAG,2021,1,7,56.86,Financial Services,Insurance—Diversified,6090000000.0,9.98,1.25,1.04,0.0354,0.3348,10.024338419934324
iA Financial Corporation Inc.,IAG,2021,1,8,56.63,Financial Services,Insurance—Diversified,6060000000.0,9.94,1.29,1.03,0.0354,0.3348,9.888159165539886
iA Financial Corporation Inc.,IAG,2021,1,11,56.23,Financial Services,Insurance—Diversified,6020000000.0,9.86,1.29,1.02,0.034300000000000004,0.3348,9.723677849753456
iA Financial Corporation Inc.,IAG,2021,1,12,56.28,Financial Services,Insurance—Diversified,6020000000.0,9.87,1.29,1.02,0.034300000000000004,0.3348,9.733539591994585
iA Financial Corporation Inc.,IAG,2021,1,13,55.99,Financial Services,Insurance—Diversified,5990000000.0,9.82,1.29,1.02,0.0345,0.3348,9.682358627356212
iA Financial Corporation Inc.,IAG,2021,1,14,58.47,Financial Services,Insurance—Diversified,6260000000.0,10.26,1.29,1.06,0.0346,0.3348,10.51188865261937
iA Financial Corporation Inc.,IAG,2021,1,15,58.36,Financial Services,Insurance—Diversified,6250000000.0,10.24,1.32,1.06,0.0332,0.3348,10.505613627564848
iA Financial Corporation Inc.,IAG,2021,1,18,59.91,Financial Services,Insurance—Diversified,6410000000.0,10.51,1.32,1.09,0.0332,0.3348,11.087785520712352
iA Financial Corporation Inc.,IAG,2021,1,19,58.86,Financial Services,Insurance—Diversified,6300000000.0,10.33,1.32,1.07,0.032400000000000005,0.3348,10.706218519953508
iA Financial Corporation Inc.,IAG,2021,1,20,59.21,Financial Services,Insurance—Diversified,6340000000.0,10.39,1.32,1.08,0.033,0.3348,10.862729912875123
iA Financial Corporation Inc.,IAG,2021,1,21,60.05,Financial Services,Insurance—Diversified,6430000000.0,10.54,1.32,1.09,0.032799999999999996,0.3348,11.123741285824943
iA Financial Corporation Inc.,IAG,2021,1,22,58.72,Financial Services,Insurance—Diversified,6280000000.0,10.3,1.32,1.07,0.0323,0.3348,10.67616003099874
iA Financial Corporation Inc.,IAG,2021,1,25,58.48,Financial Services,Insurance—Diversified,6260000000.0,10.26,1.32,1.06,0.033,0.3348,10.528170377541144
iA Financial Corporation Inc.,IAG,2021,1,26,58.01,Financial Services,Insurance—Diversified,6210000000.0,10.18,1.32,1.06,0.0332,0.3348,10.444057297715837
iA Financial Corporation Inc.,IAG,2021,1,27,56.66,Financial Services,Insurance—Diversified,6060000000.0,9.94,1.31,1.03,0.0334,0.3348,9.90729630346429
iA Financial Corporation Inc.,IAG,2021,1,28,58.05,Financial Services,Insurance—Diversified,6210000000.0,10.18,1.31,1.06,0.0342,0.3348,10.433958615354864
iA Financial Corporation Inc.,IAG,2021,1,29,56.98,Financial Services,Insurance—Diversified,6100000000.0,10.0,1.31,1.04,0.034,0.3348,10.058027079303676
iA Financial Corporation Inc.,IAG,2021,2,1,56.94,Financial Services,Insurance—Diversified,6090000000.0,9.99,1.31,1.04,0.034,0.3348,10.04796905222437
iA Financial Corporation Inc.,IAG,2021,2,2,58.52,Financial Services,Insurance—Diversified,6260000000.0,10.27,1.31,1.07,0.034,0.3348,10.627562862669246
iA Financial Corporation Inc.,IAG,2021,2,3,58.51,Financial Services,Insurance—Diversified,6260000000.0,10.26,1.31,1.07,0.034,0.3348,10.617214700193424
iA Financial Corporation Inc.,IAG,2021,2,4,59.02,Financial Services,Insurance—Diversified,6320000000.0,10.35,1.31,1.07,0.0332,0.3348,10.71864111498258
iA Financial Corporation Inc.,IAG,2021,2,5,59.68,Financial Services,Insurance—Diversified,6390000000.0,10.47,1.31,1.09,0.0329,0.3348,11.048794655823412
iA Financial Corporation Inc.,IAG,2021,2,8,61.92,Financial Services,Insurance—Diversified,6630000000.0,10.86,1.31,1.13,0.0325,0.3348,11.8855205811138
iA Financial Corporation Inc.,IAG,2021,2,9,61.28,Financial Services,Insurance—Diversified,6560000000.0,10.75,1.31,1.12,0.0325,0.3348,11.661016949152543
iA Financial Corporation Inc.,IAG,2021,2,10,62.7,Financial Services,Insurance—Diversified,6710000000.0,11.0,1.31,1.14,0.0317,0.3348,12.154696132596683
